티커,종가,시가총액,거래량,거래대금,상장주식수
005930,52300,312219627365000,13012411,677400213024,5969782550
000660,84700,61661800315500,2182879,184780044800,728002365
005935,43000,35384128100000,1554596,66418608213,822886700
035420,164500,27111803477500,455199,74746326500,164813395
207940,401000,26532165000000,87311,34941492500,66165000
005380,124000,26494855188000,475831,58931363000,213668187
068270,198500,25474761108000,486729,96787153000,128336328
012330,242500,23111873295000,208980,50606899500,95306694
051910,315000,22236588045000,236514,74015000000,70592343
055550,42800,20295742323600,1054312,45240999800,474199587
028260,104000,19727764472000,371539,38543404500,189690043
051900,1260000,19678928220000,31639,39810017000,15618197
017670,236000,19055987796000,153745,36416355500,80745711
005490,217000,18919543195000,290354,63297008000,87186835
034730,268000,18856559596000,171705,45919212432,70360297
105560,43200,18062418398400,857938,37022254350,418111537
000270,42500,17227942247500,635623,27001847450,405363347
015760,25300,16241691148100,1439718,36448714700,641964077
006400,233000,16022135490000,187139,43774544000,68764530
018260,204500,15823760100000,63590,13031154500,77377800
096770,160500,14840723022000,187604,30246192500,92465564
032830,72100,14420000000000,173253,12453849400,200000000
033780,102000,14003834694000,191010,19423438500,137292497
035720,146500,12286947089000,436509,63919066000,83869946
003550,70900,12234300587900,232735,16449956700,172557131
036570,539000,11833217858000,52520,28456727000,21954022
090430,196000,11457864040000,227870,44647869500,58458490
010950,101000,11370861992000,212619,21544749500,112582792
066570,67100,10980768319400,450676,30375605000,163647814
000810,224500,10635650906500,81466,18258875000,47374837
086790,34700,10418399551400,760722,26347740600,300242062
316140,12100,8739438964300,1015567,12239158850,722267683
009540,121500,8598933594000,142490,17086115500,70773116
009150,114000,8515081344000,547310,62210609500,74693696
010130,438000,8265060000000,17696,7745703500,18870000
251270,91800,7871080348800,255255,23354093000,85741616
091990,54100,7785966396800,542390,29494578500,143918048
011170,220000,7540592180000,351305,77590341500,34275419
002790,87600,7223336568000,218253,19006128300,82458180
024110,12100,6983599445900,1088262,13107154200,577156979
030200,26650,6958629683200,457427,12221998100,261111808
028300,172400,6822196422000,1381859,237148016900,39571905
021240,92400,6819084795600,165243,15242618600,73799619
035250,31250,6685640625000,522549,16426073450,213940500
018880,11800,6298840000000,552932,6521983700,533800000
086280,154000,5775000000000,69069,10660795000,37500000
032640,13200,5763269965200,1504143,19845363550,436611361
267250,344000,5602596248000,24530,8395621000,16286617
000720,44400,4944195966000,502191,22109869150,111355765
034220,13800,4937856660000,1926460,26421072550,357815700
006800,7420,4884707747360,2345234,17241397200,658316408
078930,50000,4645768900000,137308,6863298000,92915378
010140,7280,4586400000000,2849713,20577036420,630000000
271560,112000,4428046784000,157001,17652719000,39536132
004020,32250,4303626566250,385707,12427233950,133445785
088980,11850,4136175381600,353640,4185569550,349044336
161390,32950,4081683523550,244761,8007589100,123875069
071050,71000,3956545432000,237029,16631705900,55725992
029780,34100,3950788183100,90058,3086208150,115858891
128940,335500,3895887732000,22787,7661547000,11612184
004990,36850,3865905383450,117085,4299989650,104909237
035760,173200,3798129472800,79600,13753296500,21929154
047810,38650,3767412885550,323007,12451485550,97475107
081660,61300,3746353791000,733603,45271539700,61115070
000120,163500,3729818244000,99150,16061500000,22812344
005830,52000,3681600000000,134273,6930450050,70800000
036460,39850,3678673050000,84266,3345992550,92313000
023530,130000,3677538150000,178989,22969807000,28288755
028050,18750,3675000000000,1977773,36693857150,196000000
012750,96600,3670720594800,48048,4641834200,37999178
005940,12850,3616104197950,2274495,28774332500,281408887
097950,239000,3597950454000,85481,20257082500,15054186
139480,120500,3359036189500,330153,39477245000,27875819
000210,93100,3239880000000,91436,8512799400,34800000
282330,187000,3232090422000,35995,6660787000,17283906
241560,31800,3187923478800,107750,3422896600,100249166
008770,80400,3155548928400,358250,28696932600,39248121
042660,29100,3119687383200,122386,3534116550,107205752
016360,34850,3112105000000,258567,8937426400,89300000
003670,49700,3031114534000,306600,15134637050,60988220
007070,38650,2976050000000,113293,4376088750,77000000
005387,81000,2955321531000,32571,2640106200,36485451
003410,5780,2912308459100,972699,5635111150,503859595
011070,122500,2899220607500,69661,8519440000,23667107
008930,44750,2897242985000,120843,5414951150,64742860
008560,4610,2845802331610,1150188,5310209345,617310701
030000,24650,2835766196250,200162,4920939150,115041225
