티커,종가,시가총액,거래량,거래대금,상장주식수
005930,72700,434003191385000,22364803,1633795697700,5969782550
000660,102500,74620242412500,4719139,485591369000,728002365
035420,422500,69401284387500,587940,249944432000,164263395
207940,986000,65238690000000,145247,143979818000,66165000
035720,144000,64037828160000,2776813,403451033500,444707140
051910,898000,63391924014000,220082,198033049000,70592343
005935,68400,56285450280000,1812735,123587685500,822886700
006400,772000,53086217160000,286500,221407418000,68764530
323410,91000,43234121567000,15815275,1446903524600,475100237
005380,201500,43054139680500,1310974,265652412500,213668187
068270,266000,36690634456000,647705,175015687000,137934716
000270,79400,32185849751800,2503057,199103667540,405363347
005490,308000,26853545180000,479910,148877063000,87186835
302440,330500,25283250000000,1991352,638498910000,76500000
259960,491500,24033401405000,1100068,541710327000,48898070
066570,146500,23974404751000,802093,118489286000,163647814
012330,251500,23840463141000,367806,93218405500,94793094
028260,127000,23734659287000,400224,51295468500,186887081
051900,1414000,22084130558000,32248,45963599152,15618197
096770,233000,21544476412000,622372,143861139000,92465564
105560,50800,21123042336000,1843597,93766306100,415807920
017670,284500,20501110683500,403106,115284566000,72060143
055550,37100,19165843453400,1491054,55341946100,516599554
034730,259500,18258497071500,196208,51169637000,70360297
036570,826000,18134022172000,213974,179370201500,21954022
091990,110800,17176123925200,936721,105597304800,155019169
011200,38200,15485993003400,4360505,167031216100,405392487
015760,23800,15278745032600,2077156,49388644300,641964077
003550,94300,14833483639900,377965,36062314155,157300993
361610,205000,14616006360000,655215,134624977000,71297592
032830,70700,14140000000000,492615,35033779400,200000000
018260,166000,12844714800000,153844,25811858000,77377800
090430,215500,12597804595000,126021,27150116000,58458490
086790,41900,12580142397800,1390015,58510865950,300242062
009150,166000,12399153536000,874473,146853463000,74693696
003670,143000,11077240460000,490835,70751353000,77463220
033780,80400,11038316758800,575151,46347608900,137292497
251270,125000,10744187750000,230207,28967995000,85953502
352820,274000,10699923858000,374222,103203670000,39050817
000810,220500,10446151558500,113287,24958009500,47374837
034020,19500,10020445929000,6913642,135958393750,513869022
010950,87100,9805961183200,306443,26877455300,112582792
003490,27600,9599854770000,2550946,71112010700,347820825
010130,486000,9170820000000,65279,31932014500,18870000
326030,113000,8849397250000,297982,34065160000,78313250
030200,31950,8342522265600,1929384,62409366900,261111808
018880,15100,8060380000000,1178731,18012565050,533800000
011170,234500,8037585755500,177178,41694451500,34275419
009540,109500,7749656202000,424122,46868145000,70773116
316140,10550,7619924055650,2815436,29808441500,722267683
024110,9870,7346246793690,2087014,20700221250,744300587
034220,19700,7048969290000,4924138,98496485450,357815700
009830,36050,6895589816850,1279712,46861265700,191278497
247540,312500,6849833125000,410677,129281824700,21919466
086280,175500,6581250000000,135873,24010861500,37500000
011790,172000,6513347256000,1090655,188091926500,37868298
097950,426000,6413083236000,46465,19871394000,15054186
004020,46000,6138506110000,1036481,47913829650,133445785
032640,13650,5959745077650,1836386,25193637200,436611361
068760,162000,5920485048000,685073,112188554800,36546204
