티커,종가,시가총액,거래량,거래대금,상장주식수
005930,52900,315801496895000,9257116,488509940000,5969782550
000660,83600,60860997714000,1594558,133259685800,728002365
005935,43500,35795571450000,998055,43200523100,822886700
035420,165500,27276616872500,390866,64005639000,164813395
207940,404500,26763742500000,98668,39802007500,66165000
005380,123500,26388021094500,853783,105537087000,213668187
068270,191000,24512238648000,1023475,198426766500,128336328
012330,247000,23540753418000,169598,41961068000,95306694
051910,316500,22342476559500,108717,34317116000,70592343
055550,43300,20532842117100,670608,29025979550,474199587
017670,243000,19621207773000,316789,76809501500,80745711
028260,103000,19538074429000,390444,40101280500,189690043
051900,1249000,19507128053000,19611,24465542000,15618197
005490,217500,18963136612500,149466,32447699500,87186835
034730,268000,18856559596000,161469,43175535500,70360297
105560,43200,18062418398400,1170943,50704845144,418111537
000270,43250,17531964757750,902522,38804776050,405363347
015760,26950,17300931875150,3014943,81127455400,641964077
006400,232000,15953370960000,167175,38594780500,68764530
018260,200000,15475560000000,62548,12542330500,77377800
032830,74100,14820000000000,277568,20479329900,200000000
096770,160000,14794490240000,136468,21856058000,92465564
033780,99700,13688061950900,387933,38717617600,137292497
035720,151000,12664361846000,1222184,183650747500,83869946
003550,71800,12389602005800,145261,10414579100,172557131
090430,204500,11954761205000,395396,81698683000,58458490
036570,540000,11855171880000,49236,26576646000,21954022
066570,69100,11308063947400,427382,29493884800,163647814
010950,99900,11247020920800,140888,14033071200,112582792
000810,229000,10848837673000,79766,18263959000,47374837
086790,35350,10613556891700,889018,31505361200,300242062
316140,12300,8883892500900,695662,8510186950,722267683
009150,114000,8515081344000,315061,35999093500,74693696
009540,118000,8351227688000,103690,12272869500,70773116
010130,434000,8189580000000,19418,8432856500,18870000
251270,92700,7948247803200,186927,17444394900,85741616
091990,52700,7584481129600,947469,50532391200,143918048
011170,220500,7557729889500,80697,17776607500,34275419
002790,86900,7165615842000,304773,26315227300,82458180
024110,12250,7070172992750,997816,12166707050,577156979
030200,27050,7063074406400,885646,23897455200,261111808
021240,92900,6855984605100,127120,11781942500,73799619
035250,30350,6493094175000,235538,7141761400,213940500
032640,14100,6156220190100,2956971,41598285900,436611361
018880,11500,6138700000000,772342,8928927150,533800000
028300,151500,6021040563000,6059277,889092084500,39742842
086280,154000,5775000000000,46499,7126736000,37500000
267250,344500,5610739556500,19021,6553071500,16286617
034220,14150,5063092155000,1825253,26086666300,357815700
000720,45000,5011009425000,229234,10307484000,111355765
006800,7440,4897874075520,1068088,7981070870,658316408
078930,50200,4664351975600,77917,3900280700,92915378
010140,7260,4573800000000,1781248,12939910140,630000000
004020,32700,4363677169500,368971,12013864750,133445785
161390,35100,4348014921900,303002,10554121750,123875069
271560,109000,4309438388000,76027,8285509000,39536132
088980,11850,4136175381600,1040962,12343675150,349044336
071050,71200,3967690630400,153111,10891930700,55725992
029780,34200,3962374072200,68742,2352660600,115858891
004990,37500,3934096387500,97945,3680438700,104909237
023530,137000,3875559435000,133914,18432980500,28288755
005830,54500,3858600000000,200516,10854458200,70800000
128940,328000,3808796352000,35033,11506257000,11612184
047810,38950,3796655417650,374958,14536326250,97475107
081660,61500,3758576805000,418223,25925700429,61115070
036460,40550,3743292150000,156236,6353536550,92313000
097950,248500,3740965221000,66309,16393447500,15054186
000120,163000,3718412072000,165321,26940626500,22812344
028050,18950,3714200000000,950487,17979782850,196000000
035760,167300,3668747464200,89747,15000842600,21929154
012750,96500,3666920677000,37608,3621029700,37999178
139480,129000,3595980651000,492337,63580435000,27875819
005940,12600,3545751976200,518570,6525337600,281408887
282330,189500,3275300187000,11903,2239184500,17283906
008770,82900,3253669230900,438745,36495471600,39248121
000210,93200,3243360000000,73873,6887734500,34800000
241560,32150,3223010686900,69994,2246095350,100249166
042660,29100,3119687383200,79794,2325925200,107205752
016360,34550,3085315000000,120137,4149684200,89300000
005387,82800,3020995342800,90117,7368682392,36485451
007070,38650,2976050000000,99323,3837002700,77000000
003410,5830,2937501438850,447210,2609279320,503859595
003670,48000,2927434560000,300094,14406553450,60988220
011070,121000,2863719947000,84673,10272236000,23667107
030000,24350,2801253828750,239676,5844254200,115041225
000100,219000,2798188185000,23915,5233427500,12777115
008930,43050,2787180123000,143391,6225872200,64742860
008560,4470,2759378833470,1686824,7546017965,617310701
009830,16800,2712852072000,345929,5790242900,161479290
001040,91900,2681366116200,54510,5004512800,29176998
006360,32200,2573564649600,224655,7201100300,79924368
263750,196900,2564228700000,159481,31123654000,13023000
003490,26950,2556062886300,760127,20471257350,94844634
004170,256000,2520366336000,46591,11993697000,9845181
001450,27900,2494260000000,422281,11666520850,89400000
002380,235000,2480780555000,26588,6308607500,10556513
079440,28800,2361600000000,173210,4985061400,82000000
028670,4400,2352104510800,1028913,4518911520,534569207
138930,7200,2346733771200,820245,5889489885,325935246
047050,18700,2307115286300,148854,2776358850,123375149
011780,74400,2266796210400,126233,9402488000,30467691
012510,75500,2240288850000,250086,18868874300,29672700
253450,78300,2199858858000,115164,9025488800,28095260
000060,19150,2176972000000,163237,3125486650,113680000
088350,2445,2123555850000,2653843,6445406635,868530000
007310,581000,2094642697000,2311,1339410000,3605237
017800,76400,2078029117600,165807,12677489900,27199334
000080,29600,2075954885600,235748,6940801400,70133611
084990,96800,2072980518400,497057,48680484700,21415088
140410,233000,2028486816000,160435,37162014000,8705952
047040,4775,1984598096450,787202,3751722419,415622638
180640,33200,1964459205600,776045,26273114200,59170458
032500,49000,1950360524000,1349934,65613283000,39803276
145020,378000,1935271170000,7119,2699624500,5119765
086900,331800,1929446862000,32896,10999557100,5815090
012450,37100,1912876000000,1093160,41789860550,51560000
000880,24900,1866472501500,107275,2669229100,74958735
034230,20300,1846136241600,2746143,56202329500,90942672
036490,175000,1845842775000,42312,7462246100,10547673
069960,78200,1830070886200,49737,3925735400,23402441
005385,74800,1821880038000,47658,3552991700,24356685
020150,38650,1782183772750,261681,10154581300,46110835
026960,17550,1749735000000,64086,1129049700,99700000
138040,12400,1738781493600,76975,960075400,140224314
009420,32750,1710880894500,252281,8294566850,52240638
010620,42600,1701535547400,116972,5019891700,39942149
007700,110000,1694000000000,116765,12909752500,15400000
004800,79900,1683574897500,46610,3738490900,21071025
204320,35500,1666977760000,218405,7719864000,46957120
011790,44100,1655273875500,163325,7225637250,37534555
069620,141500,1639500362500,38241,5421254500,11586575
039490,73300,1619910942000,31139,2295558200,22099740
240810,32450,1592772587450,257853,8335948050,49083901
006260,49100,1581020000000,55942,2753117250,32200000
051905,750000,1574772750000,725,543992000,2099697
111770,35250,1561979247000,67275,2378516000,44311468
010060,64900,1547824177900,65239,4209952600,23849371
009240,64500,1517938356000,45719,2966382100,23533928
051600,33700,1516500000000,80935,2723854250,45000000
010120,50300,1509000000000,47637,2385973150,30000000
031430,211000,1506540000000,63464,13682613000,7140000
004370,245000,1490247290000,11382,2797410000,6082642
056190,41500,1490213540000,164173,6831172950,35908760
067630,31650,1489146837450,6742061,209725026200,47050453
001740,5970,1481680252590,769629,4587806810,248187647
294870,33500,1471930370000,311816,10424907400,43938220
006280,122500,1431600905000,26364,3248019500,11686538
064350,16400,1394000000000,348122,5712828700,85000000
011210,51200,1392388249600,61183,3131712300,27195083
051915,178000,1368606400000,18567,3296652000,7688800
095700,58800,1368454516800,265973,15662100700,23273036
068760,40050,1365268655250,276480,11313541350,34089105
114090,21750,1345360822500,126643,2762608050,61855670
120110,49750,1342197290000,424069,21502411900,26978840
098460,96100,1316469191100,62576,6072280300,13698951
214320,65800,1316000000000,32566,2141361400,20000000
000240,13750,1279027378750,42200,580983700,93020173
036830,73200,1273553437200,294862,21926859900,17398271
000150,75900,1254159076500,61726,4691977300,16523835
215600,17600,1250517400000,5157194,93940545500,71052125
078340,97000,1248042740000,27442,2683538700,12866420
003240,1105000,1230307000000,406,451085000,1113400
139130,7240,1224615830920,898036,6483922920,169145833
181710,61900,1211075047500,48228,2984716700,19565025
073240,4190,1203620602530,232257,975357065,287260287
004000,46450,1198410000000,41698,1929967800,25800000
034020,5860,1184580687500,667100,3931284670,202146875
020560,5310,1174759411140,15227775,85733754510,221235294
042670,5640,1174029613560,875889,4963465870,208161279
000670,633000,1166011320000,712,452293000,1842040
013890,81800,1162112068200,72763,5913242500,14206749
330590,6670,1147032456280,2137229,14109902840,171968884
001800,18150,1137014409300,94963,1713270650,62645422
307950,53600,1125600000000,17476,937769700,21000000
039030,90700,1117383185000,133716,11980382500,12319550
005300,138500,1107094210000,10077,1392337000,7993460
161890,48200,1102872876000,133541,6455584150,22881180
005440,11250,1099175422500,108005,1221378150,97704482
175330,5500,1083405917000,190790,1049003330,196982894
011200,3360,1063615375200,380552,1282613020,316552195
010780,34200,1056527125200,63184,2166741150,30892606
090435,100000,1055783000000,9736,981545100,10557830
057050,87700,1052400000000,23280,2054470600,12000000
014680,92100,1040287459500,23497,2153213300,11295195
247540,50400,1036020686400,112048,5644277700,20555966
003520,5560,1016883584360,1117975,6200813080,182892731
005850,21050,1014678980850,37730,796545450,48203277
025980,11900,1004889478600,1536778,18299986200,84444494
028150,153000,1004062500000,10660,1631077800,6562500
009410,13050,997020000000,123869,1635037400,76400000
185750,95800,993473782000,14350,1371065100,10370290
214150,15650,993217547000,196247,3050267350,63464380
005250,21100,992295231000,38337,804847950,47028210
082270,26900,977924267800,609103,16319198550,36354062
298380,21500,974022025000,2447121,53836079700,45303350
003690,8050,968971383800,75620,607398750,120369116
003000,15200,965676778400,189843,2894792300,63531367
178920,32600,957342097200,410770,13387442700,29366322
002350,9800,957145194600,72180,704227110,97667877
280360,147000,943257399000,8188,1204504000,6416717
032350,13400,924738556000,409416,5544022950,69010340
192080,50300,918503250600,42794,2154923700,18260502
041960,14200,907726125000,238354,3406791100,63924375
069260,22100,903416794800,39931,882739600,40878588
067160,78400,901189732800,72389,5622913100,11494767
041510,38350,898996903350,123142,4702386850,23441901
241590,14750,892915882500,378369,5586670900,60536670
284740,39500,886274535000,186071,7518350600,22437330
192820,85300,857223117700,172152,14833521500,10049509
170900,101000,852830668000,29453,2977686800,8443868
023590,18850,845735730450,132077,2486311150,44866617
005610,97600,842191278400,9092,883598300,8629009
049770,218000,841289032000,4333,943771000,3859124
218410,35100,833354800200,351956,12312670900,23742302
003380,8890,831963520220,101135,903418320,93584198
085660,15700,823944854800,453455,7187360800,52480564
006040,224000,823791584000,2634,590322000,3677641
214370,76500,821839500000,0,0,10743000
003090,14050,816894819000,40035,558990000,58141980
014820,31850,815949575350,23454,749933400,25618511
016380,8130,813072332610,38709,307525530,100008897
005290,15750,809778280500,1747293,27827491600,51414494
008060,10300,803471811600,875170,9005393350,78006972
058470,52500,800224425000,38131,2009994500,15242370
200130,27050,799153243900,80100,2181622650,29543558
046890,13700,798783980000,343685,4726772050,58305400
018250,30000,792298050000,1853845,57982958550,26409935
035900,22250,789763572000,247876,5499923150,35494992
006650,121000,786500000000,24120,2921149500,6500000
030190,12900,783221178000,216710,2799124150,60714820
052690,20400,779688000000,127406,2614180800,38220000
001680,22500,779580562500,120430,2714081300,34648025
071840,32950,777874110400,119206,3942958950,23607712
018670,85000,777051385000,10169,865313500,9141781
020000,31150,767224500000,84911,2649253950,24630000
079160,36150,764981464950,102874,3740816850,21161313
000250,34550,763755839150,119893,4158011200,22105813
012630,12650,755732770650,310773,3927064850,59741721
200230,9100,755174929600,8670443,79947665930,82986256
000990,17000,754775996000,345869,5950549800,44398588
192400,106000,753918322000,7302,772379000,7112437
105630,18800,752000000000,126793,2389490750,40000000
115390,13850,750484410000,194385,2702899800,54186600
022100,4900,744970172100,134905,661151595,152034729
009970,54600,744503323200,1782,97642100,13635592
079550,33750,742500000000,58606,1967603600,22000000
033180,9250,735770123000,24835468,229529456780,79542716
093370,7910,732519938290,1408970,11264196160,92606819
085620,4065,719570808285,41153,167282010,177016189
115450,29100,719085356700,399264,11649158100,24710837
034310,18850,714081355000,128628,2419598800,37882300
039200,25200,708166342800,771033,19515668750,28101839
298020,163000,705412166000,7013,1134910500,4327682
267980,88600,694946326800,16494,1455322100,7843638
003230,91900,692284078500,20388,1864544300,7533015
286940,44450,684366912950,61170,2690851700,15396331
000400,2190,679636540800,113633,248356325,310336320
090460,21000,679485660000,1012444,21448796300,32356460
038540,12250,677771834250,337290,4084103950,55328313
039840,43650,677605227300,51574,2231852800,15523602
064960,45900,671201942400,63299,2901553200,14623136
089590,25450,670779491100,151707,3868335750,26356758
078130,5520,668918214720,14723627,83261902460,121180836
145720,60400,668557332000,93307,5545479800,11068830
007390,10750,657796789250,2946875,32529672700,61190399
003850,14750,651950000000,391301,5825061800,44200000
064760,55700,650297500000,23610,1310818600,11675000
003540,12750,647360850000,49476,628500700,50773400
196170,47100,646420040700,161785,7601584150,13724417
053800,64100,641888105500,74053,4727090900,10013855
091700,11700,633629997000,1453391,16973001200,54156410
006060,11400,630648000000,267443,3033795550,55320000
086450,70600,627775200000,13111,930072600,8892000
278280,62400,624000000000,46642,2923648800,10000000
001060,30500,619699671000,53466,1630606100,20318022
103140,22100,619336543800,94677,2082926850,28024278
082640,3830,618003380550,378125,1463704405,161358585
112610,35750,617964311250,161149,5689475150,17285715
048260,43150,616428688550,494924,21346786500,14285717
069080,17200,607347204800,113631,1968207650,35310884
033660,10550,607109139500,36249,383858050,57545890
039130,52100,605203238500,82371,4325996800,11616185
001120,15600,604656000000,127278,1987032550,38760000
083790,14800,598837822000,150143,2233399750,40462015
285130,51000,598811196000,32189,1637729500,11741396
009450,46850,596846043500,172418,8063080000,12739510
00680K,4260,596400000000,108610,464159605,140000000
033640,25700,592621491400,1842036,47669978900,23059202
001430,16500,591724963500,25777,424036700,35862119
093050,20150,589186000000,58511,1184568800,29240000
230360,36150,585591572550,79584,2888998450,16198937
096530,22150,581083543000,77832,1731606050,26234020
108320,35600,579009080000,164800,5893353950,16264300
001230,6050,577368058850,94266,571248230,95432737
