티커,종가,시가총액,거래량,거래대금,상장주식수
005930,70600,421466648030000,10087450,711487813500,5969782550
000660,106500,77532251872500,1786165,191349195500,728002365
035420,409000,67183728555000,412100,168322070000,164263395
035720,127000,56603677242000,2100660,266586690500,445698246
207940,833000,55115445000000,46428,38657949000,66165000
051910,774000,54638473482000,195369,150018713600,70592343
005935,65500,53899078850000,651103,42532355500,822886700
006400,751000,51642162030000,193895,145619068210,68764530
005380,208000,44442982896000,415172,86372910000,213668187
000270,86800,35185538519600,1452405,125262697500,405363347
323410,62100,29503724717700,2896578,177267252400,475100237
068270,213500,29449061866000,1592862,351383424500,137934716
259960,547000,26779230115000,1351285,726109811000,48956545
005490,285000,24848247975000,500205,142292756500,87186835
105560,56400,23451566688000,687470,38658427200,415807920
012330,243000,23034721842000,162244,39552063000,94793094
017670,309500,22302614258500,0,0,72060143
028260,112500,21024796612500,394536,44117786500,186887081
096770,226500,20943450246000,316530,71584481500,92465564
377300,157500,20532822187500,705982,107361532000,130367125
066570,122000,19965033308000,734937,88942518500,163647814
055550,37550,19398313252700,706892,26582920700,516599554
051900,1215000,18976109355000,35230,42891973000,15618197
302440,237000,18130500000000,727885,169464916000,76500000
034730,247000,17378993359000,401116,97534268000,70360297
036570,715000,15697125730000,1418735,1028848254000,21954022
352820,396500,15483648940500,311455,123593228500,39050817
015760,23150,14861468382550,1290037,29761034050,641964077
003550,90000,14157089370000,153161,13772956900,157300993
034020,26200,13590131024200,12667699,335153922450,518707291
032830,66500,13300000000000,252535,16763415400,200000000
091990,85500,13254138949500,1642141,144099648700,155019169
086790,43550,13075541800100,685460,29844067700,300242062
361610,176000,12548376192000,1482300,255432702000,71297592
247540,563000,12340659358000,281103,157896680400,21919466
009150,164500,12287112992000,653234,107382015500,74693696
018260,154500,11954870100000,86364,13318305000,77377800
033780,85000,11669862245000,379169,32329557200,137292497
251270,132500,11388839015000,675624,91047035500,85953502
011200,27300,11067214895100,12906813,365878529850,405392487
003670,142500,11038508850000,295443,42172126000,77463220
010950,96700,10886755986400,134001,13016216100,112582792
090430,185000,10821160415000,126603,23405841500,58492759
000810,225500,10683025743500,95324,21381248250,47374837
003490,30550,10625926203750,1482218,45886316700,347820825
329180,112000,9942588992000,169377,19010523000,88773116
316140,13150,9573996219350,1832615,24198688500,728060549
010130,505000,9529350000000,64925,32847035000,18870000
024110,11100,8261736515700,771572,8540744550,744300587
030200,31550,8238077542400,980076,30754482600,261111808
066970,229700,7995917640800,1447457,318957061700,34810264
263750,120000,7946580000000,1224952,146299557600,66221500
326030,99700,7807831025000,214051,21404724700,78313250
018880,14050,7499890000000,529684,7440359300,533800000
011170,216000,7403490504000,126487,27470320500,34275419
293490,96900,7237854607800,4450860,426306077600,74694062
034220,20150,7209986355000,1259045,25618598250,357815700
009540,101500,7183471274000,179834,18307733600,70773116
383220,922000,7063824630000,49239,45347386000,7661415
009830,36700,7019920839900,854278,31228080500,191278497
011790,176500,6683754597000,273213,48446524000,37868298
112040,188900,6294576425200,2126948,400964606700,33322268
032640,14300,6243542462300,914189,12981460250,436611361
086280,157000,5887500000000,85931,13415275000,37500000
006800,9210,5851264117680,2793693,25450526120,635316408
021240,78800,5815409977200,125188,9911638900,73799619
011070,242000,5727439894000,460852,110275763000,23667107
035250,26600,5690817300000,614500,16238230050,213940500
088980,13850,5607110825950,637811,8816599750,404845547
000720,50200,5590059403000,272798,13646163700,111355765
004020,41600,5551344656000,870425,36227821100,133445785
097950,368500,5547467541000,34177,12552419000,15054186
161390,41750,5171784130750,140882,5877013900,123875069
011780,168500,5133805933500,165551,28003626500,30467691
137310,49650,5127422676450,4378070,220570823850,103271353
020150,109000,5026081015000,527523,56805858500,46110835
071050,87600,4881596899200,172781,15009254000,55725992
267250,60900,4810678876500,120561,7298197100,78993085
138040,34050,4563084560700,86077,2934859950,134011294
139480,162500,4529820587500,118940,19307387000,27875819
028050,22950,4498200000000,1137142,26057295650,196000000
241560,43950,4405950845700,249808,10899568650,100249166
271560,110000,4348974520000,88132,9760077000,39536132
068760,118300,4323689087900,649959,80329281600,36548513
016360,48050,4290865000000,186552,8932331500,89300000
028300,38900,4147131489600,721548,28074874800,106610064
000100,59100,4135401876900,135241,8007971700,69972959
036490,386800,4079839916400,30511,11581890400,10547673
005830,57500,4071000000000,158110,9054166600,70800000
036460,43200,3987921600000,324385,13964029950,92313000
002790,48250,3978607185000,61056,2951834000,82458180
003410,7890,3975452204550,489970,3875666240,503859595
029780,34200,3962374072200,96028,3280512300,115858891
078930,42550,3953549333900,81548,3465270400,92915378
180640,58300,3890876295900,44380,2568048500,66738873
005940,13050,3876292225350,387517,5056490950,297033887
052690,100500,3841110000000,2355519,235132227200,38220000
008930,55800,3755597293800,56012,3113140600,67304611
014680,329000,3729279155000,76405,25534590500,11335195
035760,169200,3710412856800,81239,13733576700,21929154
005387,100500,3666787825500,77660,7796657100,36485451
010140,5800,3654000000000,3188852,18490315780,630000000
000060,29200,3522250000000,243619,7200445550,120625000
006360,41100,3517399239000,443142,18148505100,85581490
004990,33050,3467250282850,71783,2364403100,104909237
026960,34400,3429680000000,90789,3106856450,99700000
278280,341900,3419000000000,397349,136006527500,10000000
336260,52100,3412223124600,693861,36219747700,65493726
007070,32400,3392860672800,227861,7384041550,104717922
128940,268500,3243018717000,23164,6251183500,12078282
008770,81300,3190872237300,249599,20301730800,39248121
000120,139000,3170915816000,21930,3044741500,22812344
008560,4625,3153003927875,671552,3115339120,681730579
012750,82600,3138732102800,28542,2359929200,37999178
307950,114000,3126333948000,41985,4792555000,27423982
196170,72100,3047252425000,310526,22064887200,42264250
028670,5680,3036354828160,4750273,27051632640,534569512
010620,75900,3031609109100,416908,31518637300,39942149
336370,98800,3022268090400,912469,85634497200,30589758
272210,15650,2956588437850,764761,11874714900,188919389
204320,62700,2944211424000,239148,14971572600,46957120
298050,654000,2929885992000,130131,85563470000,4479948
023530,103000,2913741765000,53539,5484443500,28288755
088350,3330,2892204900000,1296615,4308714035,868530000
047810,29650,2890136922550,259574,7673342900,97475107
086520,154500,2889364291500,1226152,188019817900,18701387
010060,120500,2873849205500,430614,51650818000,23849371
039490,109500,2871036673500,48683,5263246000,26219513
282330,164500,2843202537000,14772,2432477500,17283906
002380,319500,2839227484500,68275,21773044500,8886471
051915,368500,2833322800000,12336,4476597500,7688800
006280,240000,2804769120000,64945,15577031500,11686538
138930,8570,2793265058220,1167696,10013178610,325935246
042660,26000,2789557394000,1011182,25815216250,107290669
001040,94100,2745555511800,58684,5509391400,29176998
096530,52100,2720974287400,793341,40868216700,52225994
058470,177600,2707044912000,27367,4826877800,15242370
030000,23400,2691964665000,226734,5299097700,115041225
000990,60500,2686114574000,661823,39978490400,44398588
253450,89200,2677265302000,125869,11128296100,30014185
112610,63300,2669449809900,202795,12834149700,42171403
285130,151000,2660737780000,207543,31189518500,17620780
047040,6090,2531141865420,1667590,10098320840,415622638
067160,220100,2529998216700,176989,39250443300,11494767
047050,20500,2529190554500,747072,15278793150,123375149
375500,129000,2497277202000,94634,12232606750,19358738
019170,46850,2482346781500,2140460,101883002600,52984990
271940,68300,2480190877000,83280,5635256400,36313190
012510,80900,2457967225600,62602,5073371800,30382784
298020,562000,2432157284000,62633,35575418000,4327682
000880,31950,2394931583250,197719,6344103600,74958735
005385,98300,2394262135500,44150,4354005300,24356685
004170,243000,2392378983000,112430,27413588500,9845181
000080,33950,2381036093450,254317,8603026450,70133611
081660,38550,2341998158100,762786,29089576500,60752222
064350,21300,2324730840900,537225,11436325150,109142293
093370,24900,2305909793100,20073770,480063642100,92606819
000150,138500,2288551147500,102944,14153797500,16523835
001450,25500,2279700000000,436295,11073806450,89400000
078340,173900,2237470438000,2171318,373894227900,12866420
025900,110100,2224149587700,1084518,121640152000,20201177
120110,80600,2218038734600,338008,27357016300,27519091
011210,78900,2145692048700,150052,11835569000,27195083
004000,80900,2087220000000,217945,17717205100,25800000
004800,99000,2086031475000,56288,5586944600,21071025
012450,41050,2078361500000,323854,13263904900,50630000
009240,85900,2021564415200,91233,7816727200,23533928
051600,44400,1998000000000,441688,19454516500,45000000
111770,44500,1971860326000,224338,9961615750,44311468
108320,118900,1933825270000,109288,12963473200,16264300
017800,46900,1914232457900,88903,4149513050,40815191
006260,58500,1883700000000,68811,4022329200,32200000
357780,241900,1881635115400,47212,11317079100,7778566
003090,32000,1860543360000,91849,2885939750,58141980
069960,79300,1855813571300,82721,6561377200,23402441
181710,94500,1848894862500,448792,41411875500,19565025
035900,51800,1838770085600,739942,38823170300,35497492
041510,77000,1826898227000,522569,40450256800,23725951
010120,60200,1806000000000,43067,2589189900,30000000
078600,116600,1805037143800,781628,89983597300,15480593
005290,34700,1784082941800,5853361,206138554300,51414494
240810,35850,1759657850850,554584,19961431500,49083901
348370,116400,1758568057200,1040409,122492252900,15107973
299900,41000,1752021061000,5269252,223021569100,42732221
194480,152000,1742923200000,763095,111287469300,11466600
145020,137500,1716750062500,368186,50834989700,12485455
007310,467000,1714815127000,2216,1036605500,3671981
004370,280500,1706181081000,15294,4309295500,6082642
175330,8500,1674354599000,446947,3786516390,196982894
139130,9800,1657629163400,308918,3038906640,169145833
001230,17100,1631899802700,1313642,22207615400,95432737
048260,114000,1628571738000,140805,16145727200,14285717
000240,17100,1623392604000,53068,901149500,94935240
069620,140000,1622120500000,46513,6395419000,11586575
237690,86500,1613744000000,53878,4610290300,18656000
007700,41150,1609556202050,194229,8085640000,39114367
020560,21600,1607294102400,456209,9863267400,74411764
042700,32200,1592608039400,285946,9153189550,49459877
195940,55000,1589747445000,285593,15608018400,28904499
294870,23850,1571889820500,447501,10595390700,65907330
001440,1820,1558780876380,24925742,45190286415,856473009
005850,31800,1532864208600,95623,3003718900,48203277
034230,16850,1532384023200,436251,7292572600,90942672
095700,61200,1531782878400,145293,8894396400,25029132
073240,5250,1508116506750,324418,1715170510,287260287
032500,37750,1503238333250,118231,4446574900,39820883
014820,51400,1500284325400,75536,3844275150,29188411
064760,128100,1495567500000,34109,4343993600,11675000
009900,28450,1492775283850,252516,7164935950,52470133
060250,60500,1482417524500,576303,35486426000,24502769
383310,96700,1479986924400,261977,25219455900,15304932
140410,165000,1468533990000,131114,21202679600,8900206
300720,21000,1454492340000,939251,19732441500,69261540
010780,46800,1445773960800,97210,4472026350,30892606
089860,39100,1432391863300,124936,4848564650,36634063
222800,43100,1372913563300,1312269,56207024950,31854143
013890,86700,1369899015000,174711,15002315700,15800450
330590,5620,1365485128080,211120,1182004650,242968884
206650,37550,1360410477850,669635,25241898900,36229307
950210,22600,1358173103000,235818,5268539750,60096155
051905,642000,1348005474000,3477,2230956000,2099697
000210,64300,1347463341200,46445,2984144500,20955884
213420,55000,1320550660000,450509,24311761100,24010012
005250,28050,1319141290500,77084,2158497750,47028210
122870,71500,1318557883500,783689,56434551100,18441369
032350,19000,1316237578000,366952,6967736950,69275662
005070,43600,1311788360400,605041,26239884050,30086889
178920,44250,1299459748500,116230,5143046350,29366322
248070,25950,1297644048450,183266,4727217350,50005551
185750,113500,1296862236500,26621,3034450500,11426099
376300,64200,1293708966000,1533104,101936009300,20151230
