티커,종가,시가총액,거래량,거래대금,상장주식수
005930,54500,325353148975000,49257814,2655435431458,5969782550
000660,88700,64573809775500,11642239,1012026187762,728002365
207940,626000,41419290000000,185023,116444865000,66165000
005935,46200,38017365540000,4824403,222373544462,822886700
035420,225500,37041395572500,1476614,336214347000,164263395
068270,227500,30698710087500,1813508,417483283500,134939385
051910,400500,28272233371500,474692,189208496000,70592343
006400,366000,25167817980000,955239,349138834500,68764530
005380,108500,23182998289500,3118795,335572192000,213668187
035720,249500,21746139811500,2302391,579419865000,87158877
051900,1387000,21662439239000,48995,67684857812,15618197
012330,224000,21292251456000,515118,115652292500,95054694
028260,107000,19996917667000,1128887,119943813500,186887081
017670,230000,18571513530000,366533,84050694000,80745711
005490,202500,17655334087500,1148869,228620565000,87186835
036570,792000,17387585424000,120560,96059152000,21954022
055550,35750,17246961624750,7122912,246936556450,482432493
034730,242500,17062372022500,399539,96679557000,70360297
105560,38600,16050185712000,5291169,201341373150,415807920
000270,36800,14917371169600,3786425,141044942700,405363347
018260,186500,14430959700000,253698,47841846000,77377800
015760,22400,14379995324800,4406053,98001848150,641964077
091990,92300,13974804443600,4712567,443832381400,151406332
033780,88000,12081739736000,712211,62951559218,137292497
096770,127500,11789359410000,731734,92580917500,92465564
003550,67900,11716629194900,402015,27189115300,172557131
066570,62100,10162529249400,1433963,88472370400,163647814
032830,50700,10140000000000,1753024,87920236250,200000000
090430,170000,9937943300000,406145,68865185500,58458490
000810,206000,9759216422000,130289,26813281500,47374837
086790,32250,9682806499500,3563430,114861664289,300242062
009150,129500,9672833632000,865794,111814950000,74693696
010950,76800,8646358425600,789557,60134391100,112582792
251270,97000,8322193764000,385618,37300932100,85795812
316140,10350,7475470519050,4612618,46865664340,722267683
010130,388500,7330995000000,109127,42526203000,18870000
009540,103000,7289630948000,920385,93840822200,70773116
011170,199000,6820808381000,468452,92443196000,34275419
030200,25550,6671406694400,1824860,46619430200,261111808
024110,9730,6461297670100,8315050,79845221780,664059370
032640,13300,5806931101300,2803512,37485228100,436611361
028300,133700,5780621379400,1232134,162303516400,43235762
018880,10150,5418070000000,1979748,20333085800,533800000
035250,25300,5412694650000,1586757,39607212000,213940500
180640,89500,5295755991000,1647596,149794352700,59170458
021240,71500,5276672758500,439198,31131960219,73799619
271560,131000,5179233292000,144964,19097612515,39536132
002790,57400,4733099532000,247129,14162223500,82458180
267250,293500,4636894089500,86264,25078612000,15798617
006800,6940,4568715871520,9158624,63168760650,658316408
086280,120500,4518750000000,240030,28862285500,37500000
097950,299500,4508728707000,96388,28889688500,15054186
068760,123000,4404235416000,9493647,1236035456200,35806792
010140,6970,4391100000000,112218100,737162699910,630000000
034220,11800,4222225260000,8077649,93035664600,357815700
000720,36950,4114595516750,2749367,100476262700,111355765
088980,11750,4101270948000,1497279,17602247450,349044336
078930,40850,3795593191300,496828,20138616300,92915378
004990,36050,3781977993850,1221189,44667879100,104909237
000120,165000,3764036760000,76596,12710950000,22812344
029780,31200,3614797399200,739069,22701718050,115858891
011070,152000,3597400264000,208400,31971238000,23667107
012750,94300,3583322485400,78863,7450771200,37999178
003670,58600,3573909692000,425753,25004418600,60988220
000100,52100,3483239801000,596092,31122240600,66856810
012510,114000,3382687800000,506605,58684577500,29672700
004020,25250,3369506071250,7488883,183321501400,133445785
005830,47350,3352380000000,276520,13111028500,70800000
000210,96000,3340800000000,440087,42711425200,34800000
139480,118000,3289346642000,441998,51814532000,27875819
007070,42200,3249400000000,462451,19759496950,77000000
008770,82200,3226195546200,996801,82092356500,39248121
071050,57500,3204244540000,709222,41220316800,55725992
161390,25600,3171201766400,643672,16408949400,123875069
042660,29350,3146488821200,4178023,122043182550,107205752
005940,10900,3067356868300,4453576,48561662250,281408887
128940,246000,2913385134000,103116,25487785000,11843029
096530,108300,2841144366000,1689629,184681866100,26234020
016360,31450,2808485000000,2022916,63042968450,89300000
036460,30200,2787852600000,409261,12292378650,92313000
009830,17250,2757662573250,1660543,28682804500,159864497
282330,157500,2722215195000,51577,8201085500,17283906
196170,193900,2713814705000,1293628,273383265400,13995950
003410,5380,2710764621100,2502050,13376787370,503859595
241560,26850,2691690107100,2476409,67329902900,100249166
035760,122700,2690707195800,198856,24490616200,21929154
263750,204600,2676137310000,51853,10617515500,13079850
001040,91700,2675530716600,138883,12716979100,29176998
000080,38050,2668583898550,779614,29856899000,70133611
028050,13550,2655800000000,8146839,109322167500,196000000
023530,92400,2613880962000,323783,29910590200,28288755
047810,26550,2587964090850,1472650,38883739050,97475107
004170,254000,2500675974000,141866,35832830500,9845181
081660,40800,2478690657600,1351184,54984758056,60752222
032500,60100,2393235068300,768575,46108554000,39820883
247540,113900,2387818507400,946193,109065201900,20964166
006360,29800,2386914559200,940669,27883697300,80097804
005387,65000,2371554315000,325061,21295154240,36485451
001450,26000,2324400000000,465518,12020540100,89400000
008560,3700,2284049593700,8638269,32316472805,617310701
011780,74200,2260702672200,490051,36378617100,30467691
253450,78200,2197136134000,208320,16263645700,28096370
011790,56600,2124455813000,616111,35273063500,37534555
020150,46050,2123403951750,532081,24558643550,46110835
003490,22350,2119777569900,3549822,77950899300,94844634
030000,18400,2116758540000,1399122,25906990500,115041225
009240,89900,2115700127200,215296,19722097500,23533928
028670,3860,2063437139020,14668938,57044206515,534569207
039490,93000,2055275820000,216388,20265397700,22099740
007310,563000,2029748431000,9734,5497256000,3605237
047050,16100,1986339898900,392764,6326004800,123375149
084990,73400,1964603407600,1126091,82182732100,26765714
008930,29600,1953930010400,309526,9235597050,66011149
004370,317000,1928197514000,46148,14740226500,6082642
138930,5780,1883905721880,3619388,20999260030,325935246
036490,168600,1778337667800,29221,4918962800,10547673
095700,74600,1775270896200,1013111,78934988700,23797197
003000,27250,1766834900500,3580694,98083927900,64837978
017800,64600,1757076976400,252825,16314885900,27199334
026960,17550,1749735000000,194436,3436478750,99700000
140410,200000,1741190400000,260157,52987641800,8705952
145020,396100,1711058916500,14424,5749353000,4319765
000060,15000,1705200000000,266227,4012835450,113680000
016380,16900,1690150359300,616074,10106288800,100008897
240810,34200,1678669414200,488264,16667346050,49083901
181710,85200,1666940130000,303499,26048454300,19565025
006280,142500,1665331665000,199831,28823047500,11686538
047040,3985,1656256212430,2756495,11051382365,415622638
084850,71000,1622749233000,326235,23019347700,22855623
011200,5020,1589092018900,5183013,25972581465,316552195
000880,21050,1577881371750,465623,9788147800,74958735
098460,113600,1559836033600,962646,114409630205,13730951
007700,101000,1555400000000,83476,8374485000,15400000
058470,101800,1551673266000,87644,8835021100,15242370
069960,66000,1544561106000,221219,14604403000,23402441
010620,38300,1529784306700,1188427,44405512950,39942149
111770,34050,1508805485400,205140,7041187400,44311468
138040,10750,1507411375500,144694,1556686200,140224314
051905,717000,1505482749000,4853,3463516000,2099697
004800,71000,1496042775000,111439,7960991900,21071025
005385,61200,1490629122000,297922,18234975900,24356685
010120,49450,1483500000000,273224,13343140400,30000000
036830,84900,1477113207900,245597,20923345400,17398271
051600,32650,1469250000000,275913,9043417650,45000000
031430,205500,1467270000000,129919,26467333000,7140000
009420,27200,1420945353600,811698,22490055750,52240638
088350,1620,1407018600000,15220420,24485648685,868530000
051915,181500,1395517200000,45569,8192226000,7688800
078340,108100,1390860002000,89394,9624953500,12866420
002380,154500,1372959769500,189359,29035978000,8886471
034230,15050,1368687213600,1885150,28052598850,90942672
294870,20750,1367577097500,1815005,37853358500,65907330
064350,16050,1364250000000,1043855,16780355250,85000000
001740,5470,1357586429090,1862485,10177129860,248187647
000990,30400,1349717075200,987441,30060191450,44398588
005690,22000,1319096900000,15538251,351212560000,59958950
056190,36700,1317851492000,202447,7436726650,35908760
204320,28050,1317147216000,1129134,31723583100,46957120
006260,40800,1313760000000,268283,10896839100,32200000
042670,6250,1301009156250,43558257,274014934610,208161465
200130,43350,1280713239300,529425,22566490600,29543558
069620,110000,1274523250000,198246,21601683000,11586575
012450,25150,1273344500000,716294,18061279850,50630000
336370,40800,1248062126400,1634283,67039598750,30589758
014680,109500,1236823852500,92187,10126046500,11295195
034020,4875,1234061292750,5950654,29135530260,253140778
041960,18600,1193857293600,507383,9466553950,64185876
013890,82100,1182794092900,139468,11574519800,14406749
235980,58000,1178260836000,1126501,67866928200,20314842
009410,15400,1176560000000,607363,9455334800,76400000
192080,64300,1174471778600,528635,34860915800,18265502
060250,50200,1153163928600,733925,36912053900,22971393
030190,18750,1138402875000,208429,3903968050,60714820
085660,21550,1131210142500,12638061,284973159450,52492350
039030,90500,1114919275000,94023,8505830800,12319550
003090,19000,1104697620000,1163726,22397294600,58141980
214320,54500,1090000000000,151677,8296716100,20000000
285130,92700,1088427409200,500607,46802931800,11741396
011210,39850,1083724057550,428533,17056575350,27195083
005250,22550,1060486135500,115275,2646978550,47028210
019170,19900,1054401301000,2610935,52799908850,52984990
185750,96800,1053734308000,43968,4284117200,10885685
064760,89600,1046080000000,93555,8551429100,11675000
175330,5240,1032190364560,866490,4526258900,196982894
000240,11050,1027872911650,198282,2198192450,93020173
330590,5920,1018055793280,928878,5482351720,171968884
003520,5530,1011396802430,2422024,13578316520,182892731
161890,44050,1007915979000,234257,10275448200,22881180
214150,15500,1002992104000,767652,12100038600,64709168
004000,38750,999750000000,194192,7528559300,25800000
010780,32150,993197282900,105085,3398030000,30892606
139130,5870,992886039710,2429411,14283974760,169145833
000670,538000,991017520000,5008,2661577000,1842040
010060,41350,986171490850,677117,27651187550,23849371
005290,19100,982016835400,2254018,43580683950,51414494
272210,8750,964515903750,512571,4489430020,110230389
032350,13900,962931701800,334331,4616062550,69275662
298380,20700,957296857500,2044100,42603584150,46246225
114090,15450,955670101500,340626,5268765500,61855670
007570,50000,954283200000,4062780,208949381650,19085664
307950,45300,951300000000,66076,2968644300,21000000
003690,7900,950916016400,299845,2355961960,120369116
