티커,종가,시가총액,거래량,거래대금,상장주식수
005930,56300,336098757565000,15558208,878485590900,5969782550
000660,93000,67704219945000,3434310,319636559963,728002365
005935,46700,38428808890000,2691398,125220724700,822886700
035420,178500,29419191007500,310567,55383459000,164813395
005380,123000,26281187001000,1135407,139056993500,213668187
207940,394500,26102092500000,75412,29803443500,66165000
012330,267000,25446887298000,317144,84125132500,95306694
068270,177500,22779968907500,568183,101676613500,128337853
051910,307000,21671849301000,207013,62829821500,70592343
005490,248500,21665928497500,256484,63596087500,87186835
055550,45300,21481241291100,1297107,58543627050,474199587
105560,49400,20654709927800,1315621,64681881750,418111537
051900,1269000,19819491993000,23207,29512227000,15618197
017670,242000,19540462062000,160213,38688152500,80745711
028260,103000,19538074429000,184459,19066729500,189690043
000270,45250,18342691451750,780340,35204621350,405363347
034730,256500,18047416180500,109632,28078867000,70360297
015760,28100,18039190563700,2036395,57333468080,641964077
006400,227000,15609548310000,317750,72495507500,68764530
032830,76200,15240000000000,145564,11093232200,200000000
018260,194500,15049982100000,69993,13628091500,77377800
096770,149500,13823601818000,317487,47413986500,92465564
033780,97000,13317372209000,843695,81778771800,137292497
035720,151000,13018272626000,252752,38074088374,86213726
003550,74500,12855506259500,181839,13544760100,172557131
000810,252000,11938458924000,112325,28237355080,47374837
036570,541000,11877125902000,37838,20443950000,21954022
066570,72500,11864466515000,399504,28883547900,163647814
090430,198000,11574781020000,144815,28577604000,58458490
086790,38400,11529295180800,871348,33276436950,300242062
010950,96500,10864239428000,208620,20060046800,112582792
009150,118500,8851202976000,482662,57497762500,74693696
009540,124000,8775866384000,93974,11688497500,70773116
316140,11900,8594985427700,2104541,25150502450,722267683
010130,427000,8057490000000,21705,9274890116,18870000
011170,228500,7831933241500,117359,26769908500,34275419
251270,90100,7725461599200,103557,9375434900,85743192
091990,51100,7354723252800,737196,37871747900,143928048
024110,12400,7156746539600,1777513,21952501700,577156979
030200,26950,7036963225600,629050,16976566450,261111808
021240,92800,6848604643200,199434,18300251100,73799619
002790,81000,6679112580000,77476,6324909500,82458180
035250,29900,6396820950000,766954,22655782291,213940500
032640,14250,6221711894250,1124621,15968451500,436611361
018880,11200,5978560000000,531525,5905507050,533800000
034220,16150,5778723555000,1573974,25412117400,357815700
267250,350000,5700315950000,48675,17015113500,16286617
086280,146000,5475000000000,46229,6759907000,37500000
006800,7620,5016371028960,1159580,8864555190,658316408
029780,41650,4825522810150,155597,6455544850,115858891
078930,51800,4813016580400,139583,7241668500,92915378
000720,42300,4710348859500,405350,17088949900,111355765
010140,7160,4510800000000,1883243,13529202910,630000000
004020,32150,4290281987750,272231,8764419750,133445785
161390,34450,4267496127050,217496,7425619400,123875069
028300,99000,4231152882000,803231,79414656700,42738918
088980,11850,4136175381600,984677,11704731050,349044336
005830,58400,4134720000000,177461,10272093600,70800000
271560,103500,4091989662000,126028,12919457000,39536132
004990,38050,3991796467850,136054,5177970900,104909237
071050,70900,3950972832800,132165,9426986500,55725992
023530,137000,3875559435000,60711,8296131500,28288755
028050,19200,3763200000000,622439,11960980950,196000000
139480,132000,3679608108000,99449,13078312500,27875819
005940,13000,3658315531000,589582,7640827000,281408887
012750,96100,3651721005800,42678,4108539500,37999178
097950,242000,3643113012000,58139,14144541000,15054186
036460,38500,3554050500000,167428,6459346700,92313000
000120,152000,3467476288000,33348,5068855500,22812344
128940,298000,3460430832000,28517,8496589000,11612184
016360,38200,3411260000000,196435,7540268750,89300000
035760,155400,3407790531600,41567,6473737500,21929154
241560,33600,3368371977600,144467,4827708700,100249166
008770,85800,3367488781800,187694,16108666600,39248121
047810,34050,3319027393350,317987,10877176700,97475107
081660,51900,3171872133000,275350,14193473500,61115070
000210,89300,3107640000000,148697,13263132200,34800000
011070,129500,3064890356500,131652,17181879500,23667107
005387,83200,3035589523200,75802,6290622800,36485451
007070,39300,3026100000000,192921,7547191400,77000000
000100,236000,3015399140000,31535,7430924500,12777115
009830,18650,3011588758500,404457,7577103600,161479290
042660,27700,2969599330400,177589,4889772850,107205752
003670,47950,2924385149000,209966,10096544050,60988220
003410,5630,2836729519850,541641,3050318590,503859595
004170,287000,2825566947000,24409,7028875500,9845181
030000,24350,2801253828750,268598,6585494650,115041225
282330,161000,2782708866000,45400,7312122500,17283906
001040,94900,2768897110200,87172,8349851900,29176998
003490,27750,2631938593500,346523,9668803000,94844634
001450,29150,2606010000000,148366,4301894150,89400000
138930,7820,2548813623720,813953,6374440110,325935246
006360,31100,2485647844800,186322,5785674450,79924368
002380,232000,2449111016000,21728,5069940500,10556513
008930,37700,2440805822000,80476,3027794300,64742860
079440,29500,2419000000000,283836,8346899850,82000000
263750,184500,2402743500000,60327,11154486900,13023000
047050,19350,2387309133150,153054,2980368400,123375149
028670,4450,2378832971150,787918,3508761605,534569207
008560,3850,2376646198850,2576426,9923456755,617310701
011780,78000,2376479898000,98943,7747930000,30467691
180640,39650,2346108659700,743847,29790133050,59170458
012510,75100,2228419770000,90100,6782228100,29672700
253450,76300,2143753031000,74295,5690468700,28096370
000060,18850,2142868000000,131995,2462180200,113680000
