티커,종가,시가총액,거래량,거래대금,상장주식수
005930,47150,281475247232500,7873886,369298053350,5969782550
000660,79800,58094588727000,3095260,245515357600,728002365
005935,38600,31763426620000,1109660,42813139816,822886700
005380,130500,27883698403500,394087,51685859000,213668187
068270,185000,23740877950000,582949,106380964500,128329070
051910,333000,23507250219000,203369,67583568000,70592343
012330,245500,23397793377000,270999,66805130000,95306694
035420,141000,23238688695000,1440686,201137144000,164813395
055550,43650,20698811972550,1877648,82293858062,474199587
005490,232500,20270939137500,196510,45858371000,87186835
017670,245500,19823072050500,194584,47826309500,80745711
051900,1224000,19116673128000,77045,95714311000,15618197
105560,43800,18313285320600,1100728,48085257150,418111537
207940,275500,18228457500000,160441,43855828600,66165000
028260,94500,17925709063500,286882,26785905200,189690043
015760,27600,17718208525200,2045030,56666947200,641964077
000270,43600,17673841929200,1437917,62894288750,405363347
018260,215500,16674915900000,72282,15669376000,77377800
096770,173000,15996542572000,157044,27025323500,92465564
006400,232000,15953370960000,173177,40097219500,68764530
034730,224500,15795886676500,78112,17389830000,70360297
032830,77800,15560000000000,127798,9940973100,200000000
033780,96800,13289913709600,346136,33637390500,137292497
003550,74100,12786483407100,184228,13730135100,172557131
000810,263000,12459582131000,96366,25185189000,47374837
066570,68600,11226240040400,614213,42204747200,163647814
035720,131000,10935304910000,701403,91046564500,83475610
036570,492000,10797688824000,48115,23592600500,21946522
086790,35350,10613556891700,1187254,41691995200,300242062
010950,93000,10470199656000,237335,21865104800,112582792
316140,13500,9182218131000,1269303,17238124950,680164306
090430,155000,9061065950000,220662,34112146000,58458490
010130,439500,8293365000000,60945,26729992500,18870000
011170,235500,8071861174500,117052,27676480500,34275419
251270,91600,7851326188800,135985,12455118100,85713168
024110,13550,7790496538700,754387,10273204850,574944394
091990,51000,7334720448000,343210,17371495550,143818048
009540,103500,7325017506000,221855,22756853000,70773116
030200,27550,7193630310400,309257,8546437368,261111808
009150,91300,6819534444800,668477,60981229600,74693696
035250,30600,6546579300000,267913,8214880700,213940500
018880,11850,6325530000000,992037,11945493600,533800000
021240,84600,6243447767400,174841,14781687160,73799619
086280,154500,5793750000000,67562,10521264000,37500000
034220,15850,5671378845000,1677820,26546196600,357815700
032640,12900,5632286556900,1123975,14534501100,436611361
004020,39500,5271108507500,302285,11885913200,133445785
267250,323000,5260577291000,18539,5999590500,16286617
006800,7900,5200699623200,985866,7787642430,658316408
000720,43350,4827272412750,853988,37037723900,111355765
002790,58400,4815557712000,195196,11486008700,82458180
078930,51100,4747975815800,98620,4999415000,92915378
010140,7090,4466700000000,1884251,13388710260,630000000
071050,78200,4357772574400,165032,12879200400,55725992
097950,283000,4260334638000,26530,7537155500,15054186
029780,36000,4170920076000,55715,2013964750,115858891
088980,11750,4101270948000,805598,9421675150,349044336
081660,66600,4070263662000,334864,22347990200,61115070
023530,143500,4059436342500,87154,12465038000,28288755
036460,42450,3918686850000,195834,8362924800,92313000
161390,31550,3908258426950,208169,6635197500,123875069
005830,54900,3886920000000,172507,9430504750,70800000
005940,13750,3869372196250,1232563,17079296650,281408887
004990,36400,3818696226800,166750,6059257650,104909237
012750,99000,3761918622000,32678,3252119300,37999178
000210,106000,3688800000000,151794,15862515500,34800000
035760,163500,3585416679000,105692,17460041700,21929154
241560,35650,3573882767900,193973,6971717382,100249166
139480,126500,3526291103500,119003,15051799000,27875819
047810,35900,3499356341300,261347,9406355150,97475107
282330,201500,3482707059000,17902,3616798000,17283906
016360,38000,3393400000000,189824,7231610600,89300000
128940,292000,3390757728000,41906,12299155000,11612184
215600,47000,3339449875000,776439,36462380700,71052125
008770,83300,3269368479300,410340,34319539900,39248121
271560,82600,3265684503200,67356,5553113900,39536132
030000,28050,3226906361250,251165,7000537000,115041225
008560,5200,3203011078800,795269,4131485890,615963669
009830,19300,3116550297000,1247481,24100536950,161479290
000120,136000,3102478784000,25746,3518219500,22812344
042660,28850,3092885945200,101431,2935471250,107205752
003670,50400,3073806288000,418777,21097924500,60988220
008930,47050,3046151563000,73397,3490167600,64742860
005387,83200,3035589523200,72576,6037571800,36485451
028050,15450,3028200000000,952311,14719462100,196000000
084990,189500,3023711270000,172326,32801206200,15956260
007070,38300,2949100000000,98805,3776582000,77000000
000100,223500,2855685202500,27032,6054454500,12777115
001040,96200,2806827207600,40094,3853838800,29176998
003410,5570,2806497944150,758959,4260958670,503859595
011070,116500,2757217965500,124327,14412377500,23667107
004170,270000,2658198870000,51223,13854319000,9845181
002380,251500,2654963019500,22381,5594075000,10556513
006360,33200,2653489017600,324958,10740809100,79924368
003490,26850,2546578422900,581319,15566649900,94844634
011780,83200,2534911891200,136623,11438603200,30467691
028670,4725,2525839503075,2091522,9906983085,534569207
001450,27350,2445090000000,244870,6637307350,89400000
086900,418500,2433615165000,17324,7210906800,5815090
138930,7310,2382586648260,751119,5454031850,325935246
007310,658000,2372245946000,2391,1579331000,3605237
047050,18850,2325621558650,244773,4595409400,123375149
079440,28350,2324700000000,103384,2962014500,82000000
000060,19900,2262232000000,196879,3881370100,113680000
088350,2590,2249492700000,2765694,7178933745,868530000
263750,171600,2234472240000,43023,7388117400,13021400
017800,81700,2222185587800,214945,17583490600,27199334
032500,53400,2076079432800,1206869,62849305400,38877892
012510,65800,1952463660000,149446,9708279700,29672700
138040,13850,1942106748900,123684,1697728650,140224314
010060,80300,1915104491300,416543,33853054100,23849371
036490,181000,1909128813000,117653,21170523600,10547673
