티커,종가,시가총액,거래량,거래대금,상장주식수
005930,43500,259685540925000,11033339,477853598650,5969782550
000660,68900,50159362948500,3128787,216749054670,728002365
005935,35000,28801034500000,940190,32724114250,822886700
005380,127000,27135859749000,381004,48457805750,213668187
068270,184500,23676713415000,526469,96900361500,128329070
051910,332000,23436657876000,96373,31949075500,70592343
055550,46050,21836890981350,992972,45710416400,474199587
017670,253000,20428664883000,161492,40952455500,80745711
005490,233500,20358125972500,153967,35961070500,87186835
207940,304000,20114160000000,103565,31404610000,66165000
012330,211000,20109712434000,154425,32596016140,95306694
051900,1282000,20022528554000,30932,39992791000,15618197
105560,46200,19316753009400,918414,42403083200,418111537
035420,113000,18623913635000,567069,64006105000,164813395
028260,95700,18153337115100,291538,27899800200,189690043
034730,238500,16780930834500,129967,30910336000,70360297
000270,41150,16680701729050,1079473,44647316900,405363347
032830,80800,16160000000000,149061,12058271300,200000000
015760,25100,16113298332700,1128442,28431507200,641964077
018260,207000,16017204600000,82882,16972189000,77377800
096770,167500,15487981970000,179583,30166863115,92465564
006400,213000,14646844890000,140341,29704744500,68764530
033780,101000,13866542197000,333240,33788757000,137292497
000810,277000,13122829849000,130632,35980307250,47374837
003550,71700,12372346292700,214740,15287973400,172557131
066570,73100,11962655203400,570131,41645545500,163647814
090430,190500,11136342345000,113957,21766297000,58458490
086790,37050,11123968397100,669002,24773450100,300242062
036570,487000,10684303714000,45831,22216119500,21939022
035720,125500,10466935061500,840648,104106349500,83401873
251270,115500,9869801287500,99493,11491562000,85452825
316140,14050,9556308499300,976568,13623567050,680164306
010950,83100,9355630015200,200808,16695369900,112582792
011170,264500,9065848325500,68546,18116956000,34275419
091990,59000,8485264832000,1896081,108587645500,143818048
010130,433500,8180145000000,36759,15858570500,18870000
024110,13950,8020474296300,592683,8249741850,574944394
009540,109000,7714269644000,157194,17019754000,70773116
009150,97500,7282635360000,686516,67164243400,74693696
030200,27250,7115296768000,436066,11891875316,261111808
035250,30700,6567973350000,303057,9226748800,213940500
032640,14950,6527339846950,792640,11854591200,436611361
034220,16900,6047085330000,1282805,21621297100,357815700
018880,11000,5871800000000,732220,8033774700,533800000
021240,77700,5734230396300,143116,11141049200,73799619
086280,152500,5718750000000,85066,12904749000,37500000
002790,68100,5615402058000,76161,5161868200,82458180
000720,50100,5578923826500,538722,27006894850,111355765
004020,40900,5457932606500,250011,10236901850,133445785
081660,85300,5213115471000,661233,56031869100,61115070
267250,306000,4983704802000,28182,8600375000,16286617
006800,7390,4864958255120,1079957,7984419770,658316408
010140,7620,4800600000000,1693276,12902699500,630000000
128940,408500,4743577164000,16835,6848333500,11612184
078930,49950,4641123131100,90865,4517210950,92915378
023530,162000,4582778310000,37904,6147109500,28288755
004990,43600,4574042733200,165254,7233767950,104909237
161390,35750,4428533716750,276049,9817319700,123875069
008930,67800,4389565908000,29588,2006967800,64742860
005830,60500,4283400000000,96182,5802259700,70800000
035760,191200,4192854244800,38690,7435277600,21929154
097950,278000,4185063708000,34044,9541431000,15054186
029780,36000,4170920076000,92142,3294954200,115858891
088980,11850,4136175381600,294681,3484216950,349044336
139480,146000,4069869574000,114033,16650433000,27875819
215600,57000,4017367125000,492901,27999114200,70480125
071050,70800,3945400233600,157369,11058101400,55725992
008770,99700,3913037663700,500219,49824574000,39248121
036460,42100,3886377300000,148040,6230642250,92313000
005940,13450,3784949530150,537371,7177417650,281408887
000210,104000,3619200000000,68671,7088891000,34800000
012750,93900,3568122814200,45129,4201379200,37999178
009830,21850,3528322486500,996198,21576783900,161479290
