티커,종가,시가총액,거래량,거래대금,상장주식수
005930,41100,245358062805000,11492756,468237873750,5969782550
000660,64000,46592151360000,2413868,152553529100,728002365
005935,33850,27854714795000,1502321,50278652950,822886700
005380,127500,27242693842500,828015,104572972500,213668187
207940,404000,26730660000000,126973,51275241000,66165000
068270,207500,26032147597500,998718,209207354500,125456133
051910,356000,25130874108000,162948,57646539000,70592343
005490,256500,22363423177500,204181,52143247500,87186835
015760,34800,22340349879600,1247907,43385021050,641964077
035420,132500,21837774837500,335999,43815506500,164813395
017670,268500,21680223403500,104085,27973904000,80745711
028260,110500,20960749751500,281229,30987495500,189690043
012330,202000,19663460326000,211778,42511205000,97343863
105560,46750,19546714354750,1317274,60864823900,418111537
055550,39700,18825723603900,1276884,50109839100,474199587
034730,259500,18258497071500,82153,21179719000,70360297
051900,1150000,17960926550000,44161,50243135802,15618197
032830,83300,16660000000000,225666,18768506300,200000000
096770,180000,16643801520000,163204,29320199000,92465564
018260,214500,16597538100000,87521,18840926944,77377800
006400,236500,16262811345000,309743,72867563500,68764530
000270,34550,14005303638850,1033143,35749991000,405363347
033780,100500,13797895948500,284577,28650816000,137292497
000810,271500,12862268245500,57272,15498967500,47374837
003550,73200,12631181989200,204124,14783375800,172557131
090430,189500,11077883855000,187333,35456386000,58458490
086790,36800,11048907881600,1276452,46180538450,300242062
010950,96700,10886755986400,324777,31424432100,112582792
066570,65800,10768026161200,560337,36990346000,163647814
036570,475500,10432004961000,88024,41994670500,21939022
000030,14800,10004800000000,0,0,676000000
009540,138500,9802076566000,206859,28499406000,70773116
091990,69100,9710384535900,1101050,77049019600,140526549
251270,112000,9549776880000,111048,12503793500,85265865
011170,268500,9202950001500,103833,27779535000,34275419
035720,99900,8330438522700,381581,38355663700,83387773
010130,434000,8189580000000,48089,20790293500,18870000
024110,13700,7671709765500,1184853,16137978250,559978815
030200,29300,7650575974400,381458,11213776600,261111808
032640,17050,7444223705050,1632799,27756721700,436611361
009150,97100,7252757881600,1186102,113727900700,74693696
034220,19950,7138423215000,1231078,24456321000,357815700
035250,32200,6888884100000,380420,12277065250,213940500
004020,50900,6792390456500,456718,23075019400,133445785
000720,60900,6781566088500,572027,34696347800,111355765
018880,11850,6325530000000,1911623,22616347500,533800000
023530,206500,5841627907500,57893,11914060500,28288755
267250,357000,5814322269000,37994,13533837500,16286617
021240,76300,5630910929700,105963,8107130500,73799619
002790,68200,5623647876000,132868,9122215000,82458180
139480,197500,5505474252500,131644,26140258888,27875819
004990,51200,5371352934400,80631,4137791300,104909237
086280,140500,5268750000000,101532,14073155000,37500000
097950,338500,5095841961000,26389,8978192500,15054186
128940,447500,5095096722500,25691,11536441000,11385691
215600,70500,4922100826500,653447,46128206600,69817033
036460,52200,4818738600000,151791,7881712500,92313000
078930,51400,4775850429200,109959,5643958900,92915378
010140,7580,4775400000000,3022352,22817820200,630000000
005830,67100,4750680000000,114495,7655499500,70800000
161390,38050,4713446375450,389931,14797077650,123875069
008930,74200,4711645611400,51862,3885872900,63499267
271560,119000,4704541359000,70524,8520254000,39533961
035760,212900,4668127153600,54176,11460043300,21926384
006800,7040,4634547512320,4298158,30049731910,658316408
029780,34700,4020303517700,63914,2230900950,115858891
084990,247100,3942791846000,226313,56721195900,15956260
000120,170500,3889504652000,66344,11188558500,22812344
