티커,종가,시가총액,거래량,거래대금,상장주식수
005930,46250,276102442937500,13697399,634752144300,5969782550
000660,78400,57075385416000,2614388,205682995800,728002365
005935,37500,30858251250000,617457,23132274400,822886700
051910,388500,27425125255500,206847,80173209000,70592343
005380,128000,27349527936000,551990,70245993000,213668187
068270,210500,26409632699000,650857,136067116000,125461438
207940,365000,24150225000000,94887,34440862000,66165000
005490,269500,23496852032500,341974,92557153439,87186835
051900,1453000,22693240241000,32359,46622009000,15618197
012330,226500,22048384969500,207467,46736278500,97343863
055550,45750,21694631105250,1203955,54953948600,474199587
028260,111500,21150439794500,335313,37300124000,189690043
035420,121500,20024827492500,615217,74920703157,164813395
017670,245000,19782699195000,174119,42792127500,80745711
105560,45200,18898641472400,1482977,66925141543,418111537
034730,266500,18751019150500,389805,103515278368,70360297
015760,29200,18745351048400,1509883,44243640950,641964077
018260,235000,18183783000000,76090,17911900500,77377800
096770,185500,17152362122000,230381,42758247216,92465564
032830,84900,16980000000000,240754,20459121300,200000000
000270,40550,16437483720850,1766103,71335834400,405363347
006400,226500,15575166045000,465869,104691373000,68764530
000810,296000,14022951752000,135391,40072029000,47374837
033780,101000,13866542197000,480951,48512944000,137292497
003550,78900,13614757635900,337666,26373600400,172557131
066570,77400,12666340803600,603065,46585945500,163647814
090430,204500,11954761205000,209044,42424268380,58458490
086790,38950,11694428314900,1092610,42630678650,300242062
251270,130000,11084656700000,288933,37346014000,85266590
036570,505000,11079206110000,132088,66632807360,21939022
010950,92000,10357616864000,321960,29729663600,112582792
011170,301000,10316901119000,143797,43104391553,34275419
091990,71300,10019542943700,512011,36241967600,140526549
316140,14350,9760357791100,1882279,26982014600,680164306
010130,481500,9085905000000,31405,15128754416,18870000
035720,102500,8547246732500,253796,25951034500,83387773
009540,118500,8386614246000,341189,40485574500,70773116
009150,112000,8365693952000,1485805,167835893000,74693696
024110,14450,8307946493300,800178,11592234350,574944394
034220,22100,7907726970000,2297910,50645095550,357815700
030200,27400,7154463539200,1030650,28360248450,261111808
021240,92400,6819084795600,175832,16274674600,73799619
035250,31250,6685640625000,461254,14438772750,213940500
018880,12050,6432290000000,879514,10650043550,533800000
