티커,종가,시가총액,거래량,거래대금,상장주식수
005930,70200,419078735010000,13486391,942009349900,5969782550
000660,97100,70689029641500,2111399,205541402600,728002365
035420,396500,65130436117500,448726,177799908500,164263395
051910,827000,58379867661000,185465,154904962000,70592343
207940,858000,56769570000000,45258,39101853000,66165000
035720,121500,54111400380000,1831322,223268785000,445361320
005935,64100,52747037470000,1409885,90619068700,822886700
006400,705000,48478993650000,351948,252891820000,68764530
005380,209500,44763485176500,607227,126640612500,213668187
000270,84200,34131593817400,1323600,110860839900,405363347
068270,216500,29862866014000,412924,89511656500,137934716
323410,60000,28506014220000,902398,54032544000,475100237
005490,319500,27856193782500,379352,121647070586,87186835
012330,270500,25641531927000,190330,51526522650,94793094
096770,259000,23948581076000,290437,75503943500,92465564
259960,486000,23790402270000,178931,86408060000,48951445
105560,55900,23243662728000,848627,47350446600,415807920
028260,120500,22519893260500,280537,33886105500,186887081
017670,296000,21329802328000,408348,120859329500,72060143
051900,1345000,21006474965000,34452,46425334000,15618197
055550,39350,20328192449900,1233543,48268414750,516599554
066570,123500,20210505029000,716291,89254466500,163647814
034730,261000,18364037517000,109915,28720022500,70360297
302440,230500,17633250000000,323202,74954026000,76500000
003550,95800,15069435129400,138311,13185892700,157300993
015760,22950,14733075567150,1283441,29490073900,641964077
032830,70400,14080000000000,217602,15304652900,200000000
361610,195000,13903030440000,172502,33486275000,71297592
091990,88300,13688192622700,393845,34910091000,155019169
086790,44500,13360771759000,714304,31640623750,300242062
036570,596000,13084597112000,150754,90670135800,21954022
003670,160500,12432846810000,331830,53595381000,77463220
018260,158500,12264381300000,90404,14312289000,77377800
010950,108500,12215232932000,262802,28525630000,112582792
009150,160500,11988338208000,376368,60520136000,74693696
034020,23100,11982060066900,13269028,311529943000,518703899
352820,305000,11910499185000,332715,102439082000,39050817
011200,29100,11796921371700,3695159,107874499850,405392487
010130,607000,11454090000000,138489,84486698000,18870000
000810,241500,11441023135500,129943,31253819250,47374837
033780,81800,11230526254600,288666,23588348600,137292497
090430,188500,11025885071500,209221,39181580000,58492759
003490,30950,10765054533750,1594113,49490635200,347820825
251270,120500,10357396991000,204927,24768650500,85953502
247540,452000,9907598632000,287795,129619440400,21919466
329180,101500,9010471274000,659149,67144906000,88773116
316140,12000,8736726588000,1717955,20578480750,728060549
009830,43800,8377998168600,1278722,56676979200,191278497
011170,243000,8328926817000,76811,18616460500,34275419
030200,31300,8172799590400,591691,18399788950,261111808
018880,15300,8167140000000,508201,7808501300,533800000
024110,10900,8112876398300,1258161,13644548400,744300587
326030,99900,7823493675000,120834,12090731900,78313250
066970,212200,7337606293800,808138,170951900200,34578729
009540,95800,6780064512800,203395,19497444000,70773116
383220,868000,6650108220000,37130,32147296000,7661415
086280,176500,6618750000000,106311,18793722000,37500000
034220,18200,6512245740000,2062018,37407060700,357815700
032640,14750,6440017574750,1313786,19213774100,436611361
004020,46750,6238590448750,434036,20318925750,133445785
035250,29150,6236365575000,828829,24230828500,213940500
021240,84300,6221307881700,375598,31153924800,73799619
011790,164000,6210400872000,472057,77496433000,37868298
097950,410000,6172216260000,46859,19149877500,15054186
263750,90900,6019534350000,861572,79985595100,66221500
000720,51100,5690279591500,281158,14381155500,111355765
006800,8720,5539959077760,900675,7862763630,635316408
161390,44500,5512440570500,182924,8113824400,123875069
011780,179500,5468950534500,149012,26707217000,30467691
293490,71100,5310309334500,1614638,113662550100,74687895
088980,13000,5262992111000,1545877,20045278850,404845547
028300,49150,5239884645600,665821,33034909050,106610064
020150,110500,5095247267500,600526,67537074000,46110835
267250,64100,5063456748500,122605,7848384700,78993085
028050,25200,4939200000000,1502940,38363312750,196000000
071050,86700,4831443506400,144516,12470723800,55725992
011070,200500,4745254953500,141597,28534974000,23667107
137310,45900,4740155102700,531564,24554235350,103271353
271560,117500,4645495510000,70450,8265701000,39536132
005830,65300,4623240000000,150162,9805935000,70800000
139480,161500,4501944768500,90183,14641152500,27875819
138040,33400,4475977219600,99823,3277832000,134011294
068760,122300,4469883139900,104926,12903318400,36548513
036460,48300,4458717900000,603626,29337123300,92313000
000100,62300,4359315345700,170844,10610776300,69972959
002790,52000,4287825360000,156852,8147244400,82458180
016360,47600,4250680000000,195803,9273704950,89300000
036490,402800,4248602684400,27894,11251492700,10547673
078930,45350,4213712392300,171414,7752911100,92915378
112040,126000,4190436684000,1634416,204568514400,33257434
014680,362000,4103340590000,53953,19372940000,11335195
029780,35100,4066647074100,160129,5584034450,115858891
008930,59000,3970972049000,54168,3211916600,67304611
285130,336500,3954344754000,342489,113896352000,11751396
241560,39150,3924754848900,148854,5800518250,100249166
035760,178300,3909968158200,255595,45164822800,21929154
003410,7700,3879718881500,421570,3229119740,503859595
180640,58100,3877528521300,85344,4972918400,66738873
010140,6080,3830400000000,7456299,45461733810,630000000
005940,13050,3672385975350,427377,5535022200,281408887
005387,100000,3648545100000,43648,4354665300,36485451
008770,91600,3595127883600,398519,36534309100,39248121
006360,41650,3564469058500,492232,20495516600,85581490
000060,29150,3516218750000,257260,7467813400,120625000
004990,33150,3477741206550,129093,4304930900,104909237
007070,33050,3460927322100,140841,4645493850,104717922
028670,6440,3442627657280,6348139,41138363795,534569512
298050,762000,3413720376000,45398,34886099000,4479948
010060,142500,3398535367500,240436,34481673500,23849371
000120,147000,3353414568000,34951,5134313000,22812344
008560,4910,3347297142890,960657,4665040780,681730579
272210,17550,3315535276950,581602,10175938100,188919389
336260,50500,3307433163000,409679,20665373100,65493726
002380,372000,3305767212000,68218,25381878000,8886471
047810,33650,3280037350550,1252858,42577990100,97475107
128940,269500,3255096999000,18798,5072067000,12078282
012750,85200,3237529965600,55791,4745117932,37999178
019170,60500,3205591895000,438183,26660280300,52984990
088350,3670,3187505100000,2527920,9202848060,868530000
307950,116000,3181181912000,115509,13170448500,27423982
006280,272000,3178738336000,41323,11265248500,11686538
196170,75000,3169818750000,130132,9764586400,42264250
051915,399500,3071675600000,15442,6168740500,7688800
278280,303000,3030000000000,272924,82072240500,10000000
204320,63200,2967689984000,384147,24224332400,46957120
112610,70300,2964649630900,596082,42191487600,42171403
023530,104500,2956174897500,43715,4564323500,28288755
026960,29600,2951120000000,89732,2634792800,99700000
282330,169500,2929622067000,28397,4768972500,17283906
012510,95700,2907632428800,56960,5434385000,30382784
138930,8890,2897564336940,1446709,12741790830,325935246
001040,99100,2891440501800,66894,6582883600,29176998
047050,23150,2856134699350,1031842,23830485350,123375149
039490,107500,2818597647500,62795,6720560500,26219513
253450,92500,2776312112500,367717,33717296000,30014185
047040,6620,2751421863560,723893,4795061880,415622638
030000,23650,2720724971250,417140,9922345200,115041225
298020,628000,2717784296000,41912,26386030000,4327682
096530,51400,2684416091600,353923,18296117300,52225994
336370,86900,2658249970200,504639,43402482400,30589758
010620,66400,2652158693600,227510,15076322400,39942149
058470,173800,2649123906000,19904,3439983600,15242370
375500,136500,2642467737000,73295,10009805500,19358738
064350,23850,2603043688050,691516,16456061900,109142293
012450,51400,2602382000000,572656,29065296800,50630000
042660,24100,2585705122900,322643,7825377050,107290669
009240,109500,2576965116000,62452,6850790500,23533928
004170,259000,2549901879000,87546,22795144000,9845181
271940,70200,2549185938000,123127,8669430500,36313190
000880,33950,2544849053250,319830,10849719100,74958735
001450,28250,2525550000000,495227,14014372750,89400000
000080,35950,2521303315450,348355,12502442200,70133611
120110,92600,2498240584000,273561,25327158300,26978840
005385,99800,2430797163000,31567,3151074200,24356685
081660,39250,2384524713500,433571,17180688950,60752222
000990,52900,2348685305200,428819,22792191600,44398588
011210,85800,2333338121400,367186,31308551800,27195083
004000,90300,2329740000000,156638,14087784700,25800000
052690,60500,2312310000000,1080551,64868927900,38220000
004800,108000,2275670700000,38967,4194110500,21071025
145020,181200,2262364446000,138657,24810864300,12485455
006260,66200,2131640000000,117465,7735849500,32200000
111770,46200,2047189821600,131903,6109542850,44311468
357780,262700,2043429288200,31404,8260880500,7778566
093370,22050,2041980358950,3654352,80420203250,92606819
001440,2345,2008429206105,7217156,16982548655,856473009
025900,98900,1997896405300,155753,15312834500,20201177
069960,84400,1975166020400,97317,8228420500,23402441
017800,48000,1959129168000,134432,6422076900,40815191
240810,39900,1958447649900,277557,11053636650,49083901
048260,135500,1935714653500,126779,17223795700,14285717
051600,43000,1935000000000,845793,36250663300,45000000
010120,63900,1917000000000,83721,5337339600,30000000
003090,32950,1915778241000,71927,2350168900,58141980
067160,161800,1859853300600,126747,20517137300,11494767
086520,99100,1853307451700,394102,39542196800,18701387
195940,64100,1852778385900,2647907,169743259700,28904499
108320,110400,1795578720000,135414,14869663300,16264300
007310,486000,1784582766000,3766,1829526000,3671981
175330,9030,1778755532820,303885,2706643550,196982894
004370,292000,1776131464000,14091,4099059000,6082642
256840,34400,1772688278400,8538649,294234822350,51531636
005290,34150,1755804970100,731391,25031184050,51414494
020560,23500,1748676454000,632816,14881506350,74411764
139130,10300,1742202079900,882886,8972753190,169145833
001230,18200,1736875813400,498412,9103285800,95432737
041510,72800,1726098992800,1299928,94645762600,23710151
383310,112400,1720274356800,311201,35470585400,15304932
294870,26100,1720181313000,250176,6531718400,65907330
206650,46750,1693720102250,251015,11745943600,36229307
095700,67100,1679414497200,98663,6626602100,25028532
000240,17650,1675606986000,107945,1911656300,94935240
178920,56200,1650387296400,119107,6669964400,29366322
034230,18100,1646062363200,1120082,20303097250,90942672
069620,142000,1645293650000,21073,2965901500,11586575
000150,98600,1629250131000,53930,5347648100,16523835
073240,5650,1623020621550,361780,2048050900,287260287
014820,62800,1608842490800,77105,4871645000,25618511
078600,103800,1606885553400,502245,52412534700,15480593
067630,16850,1586948266100,945311,16111922550,94180906
005850,32900,1585887813300,179419,5860011700,48203277
032500,39650,1578898010950,332589,13046620850,39820883
237690,83600,1559641600000,128302,10773971300,18656000
042700,31150,1540675168550,306081,9506988250,49459877
009900,29300,1537374896900,345231,10115912000,52470133
