티커,종가,시가총액,거래량,거래대금,상장주식수
005930,40050,239089791127500,11984996,481959001650,5969782550
000660,62100,45208946866500,3282892,206235691400,728002365
005935,33050,27196405435000,1099766,36170843250,822886700
207940,403000,26664495000000,186932,75440056500,66165000
068270,211000,26471244063000,710387,150537766000,125456133
005380,121500,25960684720500,297709,36267408000,213668187
051910,350500,24742616221500,116345,40709478500,70592343
015760,34700,22276153471900,1082232,37482708950,641964077
005490,250000,21796708750000,181225,45474942500,87186835
017670,267000,21559104837000,132809,35288798500,80745711
035420,127000,20931301165000,525411,66443718500,164813395
028260,109500,20771059708500,232956,25437753500,189690043
012330,195000,18982053285000,130372,25354421500,97343863
105560,44550,18626868973350,1189035,53339047150,418111537
055550,38350,18185554161450,967288,37079331800,474199587
034730,252000,17730794844000,77195,19296612500,70360297
051900,1102000,17211253094000,39695,43712927758,15618197
018260,216000,16713604800000,99261,21311973500,77377800
096770,178000,16458870392000,154743,27521208250,92465564
032830,82200,16440000000000,127048,10442384400,200000000
006400,232000,15953370960000,192426,44464055000,68764530
033780,102000,14003834694000,192629,19629701500,137292497
000270,33800,13701281128600,728776,24586341050,405363347
000810,267500,12672768897500,65622,17490669500,47374837
003550,70000,12078999170000,169610,11827183900,172557131
010950,98200,11055630174400,259674,25526166600,112582792
090430,185500,10844049895000,334776,62415354000,58458490
066570,65900,10784390942600,401456,26465684900,163647814
036570,482500,10585578115000,64728,31478668500,21939022
086790,35100,10538496376200,778230,27391094250,300242062
000030,14800,10004800000000,0,0,676000000
091990,71100,9991437633900,572651,40988337700,140526549
251270,113000,9635042745000,134281,15263379500,85265865
009540,135000,9554370660000,137851,18570062500,70773116
011170,265000,9082986035000,117457,31295851500,34275419
035720,100000,8338777300000,243305,24375615600,83387773
010130,434000,8189580000000,43935,19126902000,18870000
030200,29200,7624464793600,360664,10579400165,261111808
024110,13400,7503716121000,1053857,14152377000,559978815
032640,16800,7335070864800,1937468,32331385020,436611361
034220,20000,7156314000000,1299966,25768599200,357815700
009150,94100,7028676793600,1506639,143524954900,74693696
035250,32300,6910278150000,358698,11555295250,213940500
000720,60900,6781566088500,931084,56195383000,111355765
