티커,종가,시가총액,거래량,거래대금,상장주식수
005930,61000,364156735550000,17877075,1086697538650,5969782550
000660,81900,59623393693500,5899410,481035213300,728002365
035420,312000,51250179240000,797985,247446069000,164263395
051910,726000,51250041018000,435166,313640813000,70592343
207940,773000,51145545000000,93709,72266654000,66165000
005935,52000,42790108400000,2939585,153332091300,822886700
068270,296000,39958146448000,413089,122516338500,134993738
005380,179000,38246605473000,2644009,479451731000,213668187
035720,381000,33541154025000,860038,326129989875,88034525
006400,452500,31115949825000,410696,183194146000,68764530
051900,1533000,23942696001000,20656,31360800000,15618197
012330,234000,22242798396000,306934,71627325500,95054694
028260,113500,21211683693500,492371,55665403500,186887081
017670,246000,19863444906000,242579,59676491000,80745711
000270,44650,18099473443550,2173691,97453772700,405363347
036570,824000,18090114128000,70656,58308947000,21954022
005490,189500,16521905232500,276837,52248294500,87186835
105560,38350,15946233732000,1494998,57095673200,415807920
251270,184500,15831348142500,548135,100487303000,85806765
091990,99700,15130434313400,695660,69522715600,151759622
066570,91800,15022869325200,952767,87798569900,163647814
034730,212000,14916382964000,136374,28788584000,70360297
096770,159500,14748257458000,640461,101959585500,92465564
018260,180000,13928004000000,300773,54864084500,77377800
055550,28750,13725159006250,1471145,42325225700,477396835
003550,78000,13459456218000,234892,18315403200,172557131
326030,171500,13430722375000,213266,36594803000,78313250
032830,65500,13100000000000,451239,29492697300,200000000
015760,20400,13096067170800,2490530,50728594050,641964077
033780,84700,11628674495900,301403,25578200700,137292497
009150,143000,10681198528000,528771,75545066000,74693696
090430,169500,9908714055000,187317,31668443500,58458490
000810,189500,8977531611500,67965,12821818500,47374837
086790,28600,8586922973200,889883,25400640750,300242062
019170,146500,7762301035000,797504,117734173000,52984990
010130,401500,7576305000000,34493,13835450500,18870000
011170,211500,7249251118500,201509,43073752700,34275419
009830,43150,6898153045550,7579173,331033124050,159864497
018880,12550,6699190000000,1054255,13346464550,533800000
096530,253200,6642453864000,1002706,256577932900,26234020
010950,55400,6237086676800,396211,21940344600,112582792
316140,8530,6160943335990,1160176,9830427030,722267683
009540,86900,6150183780400,326374,28258383800,70773116
030200,23550,6149183078400,748321,17666333900,261111808
024110,8170,6034887821200,1801216,14724633890,738664360
006800,9280,5988536266240,1903391,17723527780,645316408
196170,211900,5931483610000,359774,75268769500,27991900
097950,394000,5931349284000,47654,18703057500,15054186
021240,79700,5881829634300,114315,9083780100,73799619
034220,16250,5814505125000,3019521,49047105000,357815700
028300,110100,5797286874000,922695,101884004800,52654740
271560,139000,5495522348000,97332,13352050500,39536132
086280,145000,5437500000000,130969,19208583000,37500000
003670,88300,5385259826000,242685,21409273300,60988220
032640,11950,5217505763950,1671590,20005141650,436611361
293490,67500,4941319342500,8309414,571735411600,73204731
000100,68700,4593062847000,1481070,100677289400,66856810
180640,77400,4579793526600,185905,14228643200,59170459
035250,21250,4546235625000,475053,10058802200,213940500
071050,81100,4519377951200,3712374,313323818100,55725992
285130,363500,4267997446000,580159,205305324000,11741396
068760,119000,4261390238000,365712,43795720400,35810002
002790,51500,4246596270000,83084,4265266200,82458180
095700,174800,4239077072400,670245,116155020000,24251013
161390,33350,4131233551150,491994,16414152200,123875069
139480,144500,4028055845500,370439,54115227000,27875819
011070,169500,4011574636500,174968,29508179000,23667107
008930,58200,3841848871800,129792,7512120600,66011149
088980,11000,3839487696000,2305773,25387187900,349044336
034020,15000,3797111670000,4132818,60671245450,253140778
000120,162500,3707005900000,177451,28778963500,22812344
267250,231000,3649480527000,37579,8675384000,15798617
000720,32250,3591223421250,772092,24930394550,111355765
012510,119000,3531051300000,171349,20285113500,29672700
010140,5540,3490200000000,2988664,16464360830,630000000
128940,292000,3458164468000,38183,11118824000,11843029
032500,86100,3428578026300,702423,60780529900,39820883
004020,25300,3376178360500,519775,13024389400,133445785
029780,29000,3359907839000,110183,3177761550,115858891
003490,19150,3336116003950,2734410,51982749800,174209713
012750,87400,3321128157200,97542,8568529936,37999178
011790,88400,3318054662000,250379,22148959000,37534555
004990,30800,3231204499600,159543,4906503200,104909237
005387,88500,3228962413500,106031,9407576900,36485451
005830,45500,3221400000000,148016,6725117150,70800000
011780,103500,3153406018500,162462,16827723000,30467691
247540,150000,3144624900000,166123,24971222000,20964166
078930,33100,3075499011800,385323,12772995750,92915378
006280,261000,3050186418000,107749,28065975500,11686538
035760,135500,2971400367000,169950,22812852700,21929154
008770,75500,2963233135500,597650,44628605300,39248121
336260,53000,2941167478000,1027354,55233097700,55493726
000210,83000,2888400000000,634599,52524677800,34800000
003410,5710,2877038287450,573422,3272957880,503859595
016360,31700,2830810000000,400533,12721543350,89300000
051915,365000,2806412000000,67562,24408902000,7688800
026960,28050,2796585000000,399186,11307093450,99700000
241560,27350,2741814690100,281241,7614693150,100249166
000080,38500,2700144023500,579275,22140247550,70133611
005940,9470,2664942159890,1134377,10683418020,281408887
263750,201800,2639513730000,63664,12864419800,13079850
007070,34200,2633400000000,380679,12751202200,77000000
042660,24400,2615820348800,643041,15838321250,107205752
036490,247300,2608439532900,27837,6911723500,10547673
039490,111500,2466239733000,73124,8087929000,22118742
011200,7400,2417774790200,6961274,51528965930,326726323
145020,190800,2417461758000,169109,31563407400,12670135
001040,82500,2407102335000,62682,5147905500,29176998
235980,118000,2399511356000,475397,56649109200,20334842
253450,84100,2365480700000,457385,38247037500,28127000
023530,81500,2305533532500,109929,8909937100,28288755
020150,49950,2303236208250,225092,11246868000,46110835
047810,23500,2290665014500,262067,6148393450,97475107
009240,96900,2280437623200,45828,4447212600,23533928
081660,37150,2256945047300,188483,6980647100,60752222
003000,34600,2243394038800,1108512,37988773300,64837978
030000,19500,2243303887500,512306,9907040300,115041225
008560,3310,2237433316370,2052402,6740249600,675961727
036460,23950,2210896350000,223974,5308699700,92313000
028050,11250,2205000000000,860258,9686152850,196000000
004170,216500,2131481686500,134456,28875622500,9845181
005385,87400,2128774269000,105494,9255471700,24356685
007310,586000,2112668882000,3666,2155007000,3605237
004370,345500,2101552811000,26480,9104034500,6082642
282330,121000,2091352626000,32894,3955223012,17283906
006260,64700,2083340000000,529506,33303126300,32200000
006360,25550,2046498892200,354107,8998709500,80097804
001450,22800,2038320000000,220620,5034946650,89400000
