티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,5970,6120,150,2.51,252947,1542277120
006840,AK홀딩스,27700,27650,-50,-0.18,12702,354114200
027410,BGF,6440,6430,-10,-0.16,153050,989509410
282330,BGF리테일,174500,173000,-1500,-0.86,28312,4904653000
138930,BNK금융지주,7870,7910,40,0.51,1279185,10098596430
001460,BYC,413500,414000,500,0.12,503,207795500
001465,BYC우,179500,178000,-1500,-0.84,45,8043000
001040,CJ,100500,100500,0,0.0,66798,6739243500
079160,CJCGV,30100,29600,-500,-1.66,458753,13635602850
00104K,CJ4우전환,84500,84700,200,0.24,6335,533595500
000120,CJ대한통운,167500,169000,1500,0.9,46668,7898674500
011150,CJ씨푸드,4560,4520,-40,-0.88,244222,1107767635
011155,CJ씨푸드1우,41500,41300,-200,-0.48,74,3049700
001045,CJ우,64000,64000,0,0.0,838,53125800
097950,CJ제일제당,451500,449000,-2500,-0.55,79794,36052827500
097955,CJ제일제당우,205000,204500,-500,-0.24,3390,700562000
000590,CS홀딩스,66000,66000,0,0.0,1333,88230000
012030,DB,1110,1140,30,2.7,8009741,9284585415
016610,DB금융투자,6920,6980,60,0.87,207885,1453296280
005830,DB손해보험,58300,58000,-300,-0.51,166339,9689123600
000990,DB하이텍,62600,64300,1700,2.72,2506242,162380331400
000995,DB하이텍1우,111500,114500,3000,2.69,2011,230503000
139130,DGB금융지주,9410,9340,-70,-0.74,349895,3283282650
001530,DI동일,335000,357000,22000,6.57,37026,12780154000
000210,DL,74400,74900,500,0.67,102123,7632277200
001880,DL건설,32950,32900,-50,-0.15,23287,761144800
000215,DL우,44100,44250,150,0.34,1370,60528500
375500,DL이앤씨,137500,139000,1500,1.09,139691,19467775500
37550K,DL이앤씨우,78500,78500,0,0.0,6416,504641600
004840,DRB동일,7400,7400,0,0.0,11224,82801470
155660,DSR,6480,6590,110,1.7,103004,681697760
069730,DSR제강,6210,6340,130,2.09,95115,600127000
