티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,5350,5240,-110,-2.06,77233,407484670
068400,AJ렌터카,10050,10050,0,0.0,67696,679929340
006840,AK홀딩스,46350,47750,1400,3.02,38585,1826638000
027410,BGF,7210,7120,-90,-1.25,267432,1929683290
282330,BGF리테일,185500,188500,3000,1.62,27658,5194211500
138930,BNK금융지주,7040,7140,100,1.42,1206224,8591000620
001460,BYC,235500,235500,0,0.0,177,41563000
001465,BYC우,137000,139000,2000,1.46,55,7521000
001040,CJ,101500,100000,-1500,-1.48,58124,5848703000
079160,CJCGV,34850,34950,100,0.29,136399,4783699450
000120,CJ대한통운,159000,159500,500,0.31,61722,9770807500
011150,CJ씨푸드,2855,2830,-25,-0.88,828897,2376606615
011155,CJ씨푸드1우,36000,36500,500,1.39,21046,770992900
001045,CJ우,52300,51900,-400,-0.76,5616,291870400
097950,CJ제일제당,280000,282000,2000,0.71,20942,5909964000
097955,CJ제일제당우,125500,126500,1000,0.8,1883,236464500
037560,CJ헬로,7230,7180,-50,-0.69,89589,645912440
000590,CS홀딩스,62700,62900,200,0.32,58,3639500
012030,DB,950,969,19,2.0,1713906,1650870697
016610,DB금융투자,4865,4930,65,1.34,54291,266220530
005830,DB손해보험,63300,63700,400,0.63,121650,7711074600
000990,DB하이텍,14850,14850,0,0.0,423470,6266562800
000995,DB하이텍1우,45400,44300,-1100,-2.42,1776,79706800
139130,DGB금융지주,8090,8210,120,1.48,1494373,12308469480
001530,DI동일,88800,88500,-300,-0.34,6273,553248300
004840,DRB동일,5940,5950,10,0.17,4789,28350680
155660,DSR,4660,4735,75,1.61,99635,471223580
069730,DSR제강,4535,4565,30,0.66,64262,292960675
017940,E1,57600,58300,700,1.22,5654,327362700
007700,FF,79400,75800,-3600,-4.53,196222,14824345100
114090,GKL,19650,19950,300,1.53,159289,3169163850
078930,GS,49950,50100,150,0.3,140318,7030014450
006360,GS건설,40500,40950,450,1.11,507298,20848751900
001250,GS글로벌,2615,2630,15,0.57,203742,533229300
007070,GS리테일,34350,35100,750,2.18,189169,6615686200
078935,GS우,36500,36550,50,0.14,2486,90685150
