티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3180,3240,60,1.89,57460,185464005
006840,AK홀딩스,17750,17900,150,0.85,19716,353071500
027410,BGF,4210,4245,35,0.83,63508,268797160
282330,BGF리테일,121500,122000,500,0.41,26889,3280481500
138930,BNK금융지주,5070,5160,90,1.78,1069101,5505906930
001460,BYC,209000,212500,3500,1.67,967,204155500
001465,BYC우,135500,136500,1000,0.74,4494,608547500
001040,CJ,81400,83800,2400,2.95,86350,7186450800
079160,CJCGV,19350,19300,-50,-0.26,135143,2618340050
00104K,CJ4우전환,56100,57600,1500,2.67,20073,1147566100
000120,CJ대한통운,151000,152500,1500,0.99,41764,6346750000
011150,CJ씨푸드,3695,3830,135,3.65,2846575,10790907515
011155,CJ씨푸드1우,45650,48000,2350,5.15,27616,1313812550
001045,CJ우,42900,43800,900,2.1,10300,449254600
097950,CJ제일제당,414000,415000,1000,0.24,102043,42031923000
097955,CJ제일제당우,154000,155000,1000,0.65,21212,3262334500
000590,CS홀딩스,62200,62300,100,0.16,1429,89852000
012030,DB,725,739,14,1.93,1190197,883550428
016610,DB금융투자,3560,3765,205,5.76,532438,1971259345
005830,DB손해보험,45700,46150,450,0.98,158271,7331549950
000990,DB하이텍,34900,35200,300,0.86,994568,34395799750
000995,DB하이텍1우,71100,70600,-500,-0.7,3632,252900200
139130,DGB금융지주,5130,5280,150,2.92,1119179,5890671830
001530,DI동일,73100,73700,600,0.82,7024,516793500
004840,DRB동일,6540,6750,210,3.21,72044,482254980
155660,DSR,3980,4005,25,0.63,27322,109096235
069730,DSR제강,4320,4400,80,1.85,59656,260415555
017940,E1,37550,37950,400,1.07,8897,336823500
007700,FF,81000,84700,3700,4.57,92924,7737380300
114090,GKL,12600,12650,50,0.4,261575,3311188150
078930,GS,34300,34800,500,1.46,219579,7585791700
006360,GS건설,26500,28250,1750,6.6,3501113,99823286400
001250,GS글로벌,1665,1700,35,2.1,233268,395271235
007070,GS리테일,33750,34250,500,1.48,213971,7344612300
078935,GS우,29000,29350,350,1.21,7381,216138400
012630,HDC,9670,10600,930,9.62,1900969,19712516560
039570,HDC아이콘트롤스,8080,8050,-30,-0.37,44830,359689700
089470,HDC현대EP,4110,4195,85,2.07,228399,968443020
294870,HDC현대산업개발,21500,22450,950,4.42,2642411,59855370800
011200,HMM,6040,6030,-10,-0.17,2401602,14395973890
082740,HSD엔진,4635,4695,60,1.29,283337,1334060750
003560,IHQ,1475,1485,10,0.68,521946,772336035
175330,JB금융지주,4525,4635,110,2.43,192358,884222775
234080,JW생명과학,19350,20450,1100,5.68,335090,6716458500
001060,JW중외제약,35450,37050,1600,4.51,550247,20277933200
001067,JW중외제약2우B,61000,64400,3400,5.57,9136,584175100
001065,JW중외제약우,64100,69600,5500,8.58,125823,8965693700
096760,JW홀딩스,5340,5510,170,3.18,332738,1832177990
105560,KB금융,35250,35500,250,0.71,1345023,47717877250
002380,KCC,135000,136500,1500,1.11,29644,4051532500
009070,KCTC,2445,2435,-10,-0.41,108411,262321935
009440,KC그린홀딩스,4170,4270,100,2.4,119290,503619995
119650,KC코트렐,6000,6300,300,5.0,951939,5945556700
092220,KEC,811,818,7,0.86,339511,276137334
016380,KG동부제철,11850,12050,200,1.69,28716,342975700
016385,KG동부제철우,101000,104000,3000,2.97,2421,250936400
001390,KG케미칼,13900,16200,2300,16.55,1563725,23844816400
001940,KISCO홀딩스,11400,11550,150,1.32,4471,51647100
025000,KPX케미칼,45250,45450,200,0.44,2668,120552200
