티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,5950,5930,-20,-0.34,38127,225087270
006840,AK홀딩스,25400,25700,300,1.18,27786,708124850
027410,BGF,6140,6190,50,0.81,113397,699079250
282330,BGF리테일,173000,175500,2500,1.45,31915,5591311500
138930,BNK금융지주,7600,7740,140,1.84,914515,7036322960
001460,BYC,400000,401000,1000,0.25,330,131987500
001465,BYC우,173000,172500,-500,-0.29,140,23772500
001040,CJ,100500,102000,1500,1.49,66607,6722994600
079160,CJCGV,29150,29400,250,0.86,395484,11706794650
00104K,CJ4우전환,82500,84100,1600,1.94,4621,383497900
000120,CJ대한통운,169000,168000,-1000,-0.59,116814,19586270000
011150,CJ씨푸드,4145,4190,45,1.09,177862,744344385
011155,CJ씨푸드1우,38400,38000,-400,-1.04,343,13086400
001045,CJ우,62600,63000,400,0.64,1317,82089800
097950,CJ제일제당,443000,441500,-1500,-0.34,31087,13780100000
097955,CJ제일제당우,205500,205000,-500,-0.24,3204,652711000
000590,CS홀딩스,62900,64000,1100,1.75,1350,85593200
012030,DB,1055,1050,-5,-0.47,669043,699944285
016610,DB금융투자,6620,6720,100,1.51,66336,440438380
005830,DB손해보험,58500,59000,500,0.85,125450,7319304800
000990,DB하이텍,59000,58800,-200,-0.34,449344,26396973500
000995,DB하이텍1우,116000,112500,-3500,-3.02,505,57109000
139130,DGB금융지주,9140,9240,100,1.09,334703,3071581440
001530,DI동일,380500,376000,-4500,-1.18,33280,12426621500
000210,DL,71400,71600,200,0.28,57131,4072883600
001880,DL건설,30550,30400,-150,-0.49,35901,1095667200
000215,DL우,42550,42600,50,0.12,845,36071300
375500,DL이앤씨,131500,132000,500,0.38,89015,11690293000
37550K,DL이앤씨우,76100,76200,100,0.13,3784,288657600
004840,DRB동일,6510,6520,10,0.15,18352,119130280
155660,DSR,5920,6320,400,6.76,634931,4055377010
069730,DSR제강,5720,6220,500,8.74,656623,4042904920
017940,E1,54200,54100,-100,-0.18,11907,641761400
365550,ESR켄달스퀘어리츠,6700,6710,10,0.15,137256,918789490
383220,FF,701000,716000,15000,2.14,45099,32513993000
007700,FF홀딩스,48250,43200,-5050,-10.47,811366,36632590550
114090,GKL,15700,15500,-200,-1.27,254419,3971300600
078930,GS,41150,41500,350,0.85,176988,7351951550
006360,GS건설,40700,40950,250,0.61,458544,18816549450
001250,GS글로벌,2690,2730,40,1.49,358801,969493365
007070,GS리테일,33600,34050,450,1.34,320970,10868628600
078935,GS우,35500,35500,0,0.0,2583,91820350
012630,HDC,11200,11300,100,0.89,139274,1574199800
039570,HDC아이콘트롤스,12150,12200,50,0.41,11787,143604000
089470,HDC현대EP,5290,5380,90,1.7,56533,301376960
294870,HDC현대산업개발,28700,28600,-100,-0.35,260536,7450639200
011200,HMM,39300,39650,350,0.89,4132592,164498144300
082740,HSD엔진,7360,7440,80,1.09,231690,1728647870
003560,IHQ,1635,1685,50,3.06,1421558,2367976510
175330,JB금융지주,7920,8080,160,2.02,880381,7034386580
234080,JW생명과학,16900,16950,50,0.3,41105,694470950
001060,JW중외제약,27650,27500,-150,-0.54,53077,1464293550
001067,JW중외제약2우B,63200,62600,-600,-0.95,252,15946700
001065,JW중외제약우,38600,38800,200,0.52,478,18561800
096760,JW홀딩스,4110,4120,10,0.24,33834,138695150
105560,KB금융,52500,53700,1200,2.29,1215743,64832084900
002380,KCC,332000,363000,31000,9.34,248394,88019944000
344820,KCC글라스,66700,67100,400,0.6,117267,7826179400
009070,KCTC,6920,6930,10,0.14,157438,1093176680
009440,KC그린홀딩스,5650,5800,150,2.65,209990,1213915310
119650,KC코트렐,7600,8020,420,5.53,614730,4928069390
092220,KEC,2170,2205,35,1.61,1205775,2656102195
016380,KG동부제철,15000,15050,50,0.33,223151,3384468650
016385,KG동부제철우,112500,111000,-1500,-1.33,125,14034000
001390,KG케미칼,33250,33100,-150,-0.45,82721,2744556400
033180,KH필룩스,2995,3190,195,6.51,2220678,6975269000
001940,KISCO홀딩스,20100,20050,-50,-0.25,15891,318029000
025000,KPX케미칼,58900,58600,-300,-0.51,8091,474151500
092230,KPX홀딩스,65400,65300,-100,-0.15,2884,189241300
000040,KR모터스,1100,1105,5,0.45,447160,494106635
044450,KSS해운,11000,11050,50,0.45,54673,600217500
030200,KT,32600,32800,200,0.61,555321,18233207350
033780,KTG,81300,81500,200,0.25,247876,20176838000
030210,KTB투자증권,7330,7480,150,2.05,305135,2261685420
058850,KTcs,2840,2860,20,0.7,212656,604032605
058860,KTis,2650,2655,5,0.19,126833,336117750
093050,LF,18400,18350,-50,-0.27,60549,1115461500
003550,LG,93300,93800,500,0.54,209420,19616897200
034220,LG디스플레이,19950,20100,150,0.75,2351026,47190332500
051900,LG생활건강,1450000,1441000,-9000,-0.62,22413,32332100336
051905,LG생활건강우,677000,670000,-7000,-1.03,4327,2901046000
003555,LG우,69000,69200,200,0.29,8273,571722000
032640,LG유플러스,14000,14000,0,0.0,1017028,14229641000
011070,LG이노텍,208000,207000,-1000,-0.48,89070,18423195500
066570,LG전자,142000,142000,0,0.0,806947,114166855000
066575,LG전자우,68600,68700,100,0.15,37317,2563432400
037560,LG헬로비전,7950,7800,-150,-1.89,1427005,11419257570
051910,LG화학,787000,799000,12000,1.52,459360,367334264280
051915,LG화학우,366000,368000,2000,0.55,9698,3568127500
079550,LIG넥스원,47000,48800,1800,3.83,279158,13454103200
006260,LS,65800,65900,100,0.15,79207,5231423100
010120,LSELECTRIC,65000,64000,-1000,-1.54,70603,4539998100
000680,LS네트웍스,3870,3885,15,0.39,79035,306148605
229640,LS전선아시아,8410,8340,-70,-0.83,88474,737572870
001120,LX인터내셔널,27100,27150,50,0.18,112280,3049854350
108670,LX하우시스,84800,85700,900,1.06,50069,4270198900
108675,LX하우시스우,37750,38800,1050,2.78,2041,77575050
383800,LX홀딩스,9810,9830,20,0.2,197597,1937501970
38380K,LX홀딩스1우,15250,15050,-200,-1.31,8764,132164750
023150,MH에탄올,9850,9810,-40,-0.41,20564,200996140
035420,NAVER,437500,430500,-7000,-1.6,677224,292231681500
181710,NHN,69600,69800,200,0.29,34211,2386574500
005940,NH투자증권,12900,13000,100,0.78,645875,8401240200
005945,NH투자증권우,11550,11750,200,1.73,86440,1006073100
338100,NH프라임리츠,4865,4980,115,2.36,169344,837178090
034310,NICE,18400,18300,-100,-0.54,37594,686602150
008260,NI스틸,4415,4450,35,0.79,84912,379405330
004250,NPC,5510,5530,20,0.36,188379,1040284050
004255,NPC우,3175,3155,-20,-0.63,24442,76082445
010060,OCI,108000,115000,7000,6.48,741647,84582524000
178920,PI첨단소재,58500,59900,1400,2.39,236427,13979836400
005490,POSCO,320000,326000,6000,1.88,434977,142844555500
010950,S-Oil,90500,91500,1000,1.1,132738,12118547700
010955,S-Oil우,53900,54000,100,0.19,8169,439228900
034120,SBS,53000,51900,-1100,-2.08,127702,6722117600
101060,SBS미디어홀딩스,2155,2150,-5,-0.23,112168,240378745
005090,SGC에너지,46100,47250,1150,2.49,68392,3204511700
001380,SG글로벌,2680,2680,0,0.0,203677,548534865
004060,SG세계물산,741,737,-4,-0.54,380626,278950355
001770,SHD,29400,29850,450,1.53,8650,256914300
002360,SH에너지화학,980,996,16,1.63,530494,525589182
009160,SIMPAC,6410,6590,180,2.81,446215,2893722110
123700,SJM,4495,4535,40,0.89,67748,306267260
025530,SJM홀딩스,3930,3945,15,0.38,25618,100815270
034730,SK,265000,262500,-2500,-0.94,234325,61376244000
011790,SKC,149500,152500,3000,2.01,505443,76134280500
018670,SK가스,114500,114500,0,0.0,4391,504444500
001740,SK네트웍스,5550,5490,-60,-1.08,454692,2506540360
001745,SK네트웍스우,105500,106500,1000,0.95,72,7647500
006120,SK디스커버리,49100,48750,-350,-0.71,96789,4717771100
006125,SK디스커버리우,42450,41850,-600,-1.41,16117,675374250
210980,SK디앤디,38050,38000,-50,-0.13,62097,2339884000
068400,SK렌터카,12150,12150,0,0.0,78836,960781350
302440,SK바이오사이언스,304000,280000,-24000,-7.89,2029857,577586873000
326030,SK바이오팜,117000,118000,1000,0.85,151128,17695956500
361610,SK아이이테크놀로지,204000,208000,4000,1.96,234014,48290927200
03473K,SK우,245000,243500,-1500,-0.61,3526,861779500
096770,SK이노베이션,238000,243000,5000,2.1,379658,91920951000
096775,SK이노베이션우,151500,152500,1000,0.66,4572,695495500
001510,SK증권,906,912,6,0.66,2378895,2159854972
001515,SK증권우,4360,4300,-60,-1.38,10668,45646040
285130,SK케미칼,278000,280000,2000,0.72,227352,62695185500
28513K,SK케미칼우,147000,143000,-4000,-2.72,60885,8728304500
017670,SK텔레콤,296000,294000,-2000,-0.68,262572,77870905000
000660,SK하이닉스,105000,103500,-1500,-1.43,3194555,331965325500
064960,SNT모티브,53800,54800,1000,1.86,34268,1867447300
100840,SNT에너지,19850,19950,100,0.5,6421,127865550
003570,SNT중공업,9650,9920,270,2.8,68316,673894110
036530,SNT홀딩스,18300,18450,150,0.82,8140,149574450
005610,SPC삼립,79400,80900,1500,1.89,12790,1030676100
011810,STX,5110,5150,40,0.78,162745,831404110
077970,STX엔진,11350,11350,0,0.0,28203,318415450
071970,STX중공업,5840,5880,40,0.68,150214,876021040
002820,SUNL,5850,5830,-20,-0.34,14090,81972040
084870,TBH글로벌,2620,2950,330,12.6,1532306,4400118830
002710,TCC스틸,7890,7900,10,0.13,1072677,8384582020
002900,TYM,2170,2220,50,2.3,2653800,5842956540
024070,WISCOM,4015,4005,-10,-0.25,49699,198748270
037270,YGPLUS,7940,8110,170,2.14,5810434,47357571950
000500,가온전선,29600,29800,200,0.68,12487,369064300
000860,강남제비스코,25200,25150,-50,-0.2,49262,1234103650
035250,강원랜드,26950,27300,350,1.3,1069788,29087918600
011420,갤럭시아에스엠,2330,2275,-55,-2.36,947178,2137742600
002100,경농,14900,14850,-50,-0.34,101515,1510485850
009450,경동나비엔,67700,67700,0,0.0,41494,2786585800
267290,경동도시가스,22200,22200,0,0.0,7124,157676300
012320,경동인베스트,37450,37400,-50,-0.13,1681,62969550
000050,경방,13400,13450,50,0.37,30562,408486400
214390,경보제약,12000,12150,150,1.25,84073,1013180650
012610,경인양행,6790,6760,-30,-0.44,90215,609536850
009140,경인전자,28900,28600,-300,-1.04,7742,221275250
013580,계룡건설,34500,34400,-100,-0.29,91108,3162099900
012200,계양전기,4600,4650,50,1.09,119744,552928755
