티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4300,4365,65,1.51,22241,95764520
068400,AJ렌터카,12300,12500,200,1.63,427857,5375827150
006840,AK홀딩스,31200,31450,250,0.8,22550,707380050
027410,BGF,6000,6000,0,0.0,88087,524707680
282330,BGF리테일,192000,197000,5000,2.6,28870,5582227000
138930,BNK금융지주,7070,7190,120,1.7,483219,3461914470
001460,BYC,245000,240000,-5000,-2.04,659,159037500
001465,BYC우,132000,130500,-1500,-1.14,279,36287500
001040,CJ,82700,82000,-700,-0.85,37051,3050995100
079160,CJCGV,33700,33400,-300,-0.89,39774,1332703550
00104K,CJ4우전환,60000,60000,0,0.0,7029,419483600
000120,CJ대한통운,146500,144500,-2000,-1.37,35245,5136448500
011150,CJ씨푸드,3305,3100,-205,-6.2,1695096,5360220110
011155,CJ씨푸드1우,37000,35400,-1600,-4.32,15500,553546150
001045,CJ우,44200,43800,-400,-0.9,2656,115827000
097950,CJ제일제당,234000,234500,500,0.21,16739,3908686000
097955,CJ제일제당우,106500,105000,-1500,-1.41,3579,376875500
037560,CJ헬로,6140,6250,110,1.79,355178,2199414130
000590,CS홀딩스,58400,58100,-300,-0.51,431,24808900
012030,DB,770,762,-8,-1.04,242187,185019061
016610,DB금융투자,4500,4535,35,0.78,41268,185062120
005830,DB손해보험,52200,51600,-600,-1.15,131708,6819069500
000990,DB하이텍,16150,16000,-150,-0.93,206852,3309810450
000995,DB하이텍1우,39000,38350,-650,-1.67,1066,41779500
139130,DGB금융지주,7390,7450,60,0.81,543687,4041956070
001530,DI동일,81700,81700,0,0.0,3248,262754900
004840,DRB동일,5650,5640,-10,-0.18,1767,9868380
155660,DSR,4270,4145,-125,-2.93,35671,149749680
069730,DSR제강,4660,4530,-130,-2.79,107292,492019080
017940,E1,49500,49400,-100,-0.2,4792,236572750
007700,FF,95000,96900,1900,2.0,43770,4190541100
114090,GKL,20600,20650,50,0.24,115332,2381945000
078930,GS,49750,50300,550,1.11,112061,5617193100
006360,GS건설,32200,33000,800,2.48,214447,6986936200
001250,GS글로벌,2435,2395,-40,-1.64,128954,310159250
007070,GS리테일,41100,41250,150,0.36,120087,4949268350
078935,GS우,36650,36700,50,0.14,1507,55290300
012630,HDC,12950,12900,-50,-0.39,187689,2427086500
039570,HDC아이콘트롤스,9570,9560,-10,-0.1,16925,161142900
089470,HDC현대EP,4645,4680,35,0.75,35201,162993685
294870,HDC현대산업개발,32600,32850,250,0.77,113202,3699138050
082740,HSD엔진,3385,3430,45,1.33,48013,161197235
003560,IHQ,1905,1875,-30,-1.57,530354,996293835
175330,JB금융지주,5590,5620,30,0.54,138350,775380050
234080,JW생명과학,21250,21250,0,0.0,24571,517827750
001060,JW중외제약,28400,27500,-900,-3.17,87532,2440508400
001067,JW중외제약2우B,40100,40700,600,1.5,1873,75667450
001065,JW중외제약우,25550,25300,-250,-0.98,1014,26117800
096760,JW홀딩스,5900,5850,-50,-0.85,43569,256312560
105560,KB금융,42400,42700,300,0.71,815797,34789744800
002380,KCC,219500,218000,-1500,-0.68,14678,3200721500
009070,KCTC,3185,3170,-15,-0.47,32058,102349320
009440,KC그린홀딩스,4470,4400,-70,-1.57,32707,144201570
119650,KC코트렐,6630,6780,150,2.26,258727,1745035160
092220,KEC,1115,1065,-50,-4.48,1320785,1423034855
001390,KG케미칼,11600,11450,-150,-1.29,15059,172538850
001940,KISCO홀딩스,12200,12550,350,2.87,49210,601143100
025000,KPX케미칼,54000,54300,300,0.56,1758,95919100
092230,KPX홀딩스,54600,54600,0,0.0,68,3697100
000040,KR모터스,500,504,4,0.8,141311,70793144
044450,KSS해운,7030,7070,40,0.57,16701,117596410
030200,KT,27450,27450,0,0.0,276201,7591082900
033780,KTG,104500,105500,1000,0.96,172361,18134440000
030210,KTB투자증권,2480,2480,0,0.0,62930,155560445
058850,KTcs,2035,2015,-20,-0.98,37603,75946270
058860,KTis,2260,2255,-5,-0.22,19457,43455165
093050,LF,20200,20200,0,0.0,43087,871234700
003550,LG,68900,70000,1100,1.6,222478,15497709700
034220,LG디스플레이,13700,14150,450,3.28,1249666,17621435050
001120,LG상사,17200,17150,-50,-0.29,62394,1069741900
051900,LG생활건강,1306000,1307000,1000,0.08,20282,26510782840
051905,LG생활건강우,755000,771000,16000,2.12,2025,1545848000
003555,LG우,46200,46600,400,0.87,7417,345995650
032640,LG유플러스,13550,13650,100,0.74,974958,13234672700
011070,LG이노텍,114500,114000,-500,-0.44,132093,15014142477
066570,LG전자,66700,67400,700,1.05,364683,24538560300
066575,LG전자우,27300,27450,150,0.55,17732,487085200
108670,LG하우시스,60100,60300,200,0.33,12479,749227800
108675,LG하우시스우,29100,29150,50,0.17,457,13223450
051910,LG화학,301500,299500,-2000,-0.66,214811,64293379352
051915,LG화학우,168000,167500,-500,-0.3,20679,3438581500
079550,LIG넥스원,34800,35650,850,2.44,142401,5084441600
006260,LS,47100,47450,350,0.74,23371,1105849950
000680,LS네트웍스,2480,2465,-15,-0.6,10962,26780075
010120,LS산전,47650,48150,500,1.05,30319,1451374400
229640,LS전선아시아,7870,8020,150,1.91,67672,538225270
023150,MH에탄올,5970,5940,-30,-0.5,4208,25098990
035420,NAVER,156000,157000,1000,0.64,313910,49019728000
