티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
005940,NH투자증권,13250,13100,-150,-1.13,811501,10754000700
005945,NH투자증권우,12700,12600,-100,-0.79,75254,953785550
338100,NH프라임리츠,4950,4955,5,0.1,49143,243145950
034310,NICE,17350,17050,-300,-1.73,78988,1353527450
008260,NI스틸,4040,3940,-100,-2.48,155945,623166805
004250,NPC,6520,6360,-160,-2.45,338070,2192471570
004255,NPC우,3195,3190,-5,-0.16,3798,12126115
010060,OCI,134500,130500,-4000,-2.97,643372,86069342500
178920,PI첨단소재,47300,47500,200,0.42,243495,11551152150
005490,POSCO,308000,301000,-7000,-2.27,462448,140203806000
010950,S-Oil,106500,101500,-5000,-4.69,471481,48312944000
010955,S-Oil우,64000,62700,-1300,-2.03,17320,1084970200
034120,SBS,55500,54300,-1200,-2.16,88202,4846170400
101060,SBS미디어홀딩스,2125,2120,-5,-0.24,376922,798512315
005090,SGC에너지,47700,47800,100,0.21,32651,1567045500
001380,SG글로벌,2280,2235,-45,-1.97,115774,261696400
004060,SG세계물산,711,703,-8,-1.13,481038,339481795
001770,SHD,29900,29550,-350,-1.17,5250,153907900
002360,SH에너지화학,1095,1110,15,1.37,2228499,2436033990
009160,SIMPAC,8020,7820,-200,-2.49,507617,3988451280
123700,SJM,4945,4895,-50,-1.01,21030,103774070
025530,SJM홀딩스,3855,3795,-60,-1.56,8788,33673450
034730,SK,252500,247000,-5500,-2.18,185324,46100520500
011790,SKC,175000,171500,-3500,-2.0,258417,44910149500
018670,SK가스,139000,138000,-1000,-0.72,11215,1566640500
001740,SK네트웍스,5210,5160,-50,-0.96,332000,1723971650
001745,SK네트웍스우,90200,90300,100,0.11,50,4519800
006120,SK디스커버리,48800,47800,-1000,-2.05,76611,3690909600
006125,SK디스커버리우,39750,39550,-200,-0.5,3964,157127200
210980,SK디앤디,31350,31400,50,0.16,12434,391547150
068400,SK렌터카,12200,12050,-150,-1.23,58557,710971650
395400,SK리츠,6470,6400,-70,-1.08,410396,2628137000
302440,SK바이오사이언스,229000,245500,16500,7.21,823510,198407843500
326030,SK바이오팜,99100,97000,-2100,-2.12,166833,16317959700
361610,SK아이이테크놀로지,178000,176000,-2000,-1.12,147562,26297393500
03473K,SK우,228000,226000,-2000,-0.88,1085,245522500
096770,SK이노베이션,251000,243500,-7500,-2.99,383513,94839697000
096775,SK이노베이션우,151000,149000,-2000,-1.32,8183,1226585000
001510,SK증권,1005,974,-31,-3.08,5325930,5270783517
001515,SK증권우,4310,4220,-90,-2.09,5713,24197920
285130,SK케미칼,187000,186000,-1000,-0.53,134249,25214385000
28513K,SK케미칼우,113000,113500,500,0.44,18036,2035791500
017670,SK텔레콤,309500,309500,0,0.0,0,0
000660,SK하이닉스,101500,106500,5000,4.93,6329703,669797071750
064960,SNT모티브,52800,51800,-1000,-1.89,26885,1408259600
100840,SNT에너지,23300,22650,-650,-2.79,58073,1337989250
003570,SNT중공업,9400,9310,-90,-0.96,24141,224921000
036530,SNT홀딩스,18100,17900,-200,-1.1,7028,126143150
005610,SPC삼립,78100,77100,-1000,-1.28,7310,565713100
011810,STX,4340,4420,80,1.84,202217,891304035
077970,STX엔진,12100,12200,100,0.83,370762,4533335200
071970,STX중공업,5530,5780,250,4.52,1030452,5948998880
002820,SUNL,5680,5690,10,0.18,5988,33903800
084870,TBH글로벌,2850,2830,-20,-0.7,52428,149484910
002710,TCC스틸,8540,8370,-170,-1.99,238498,1999884820
002900,TYM,2070,2005,-65,-3.14,1381285,2821259650
024070,WISCOM,3970,3950,-20,-0.5,36059,142368715
037270,YGPLUS,8060,7590,-470,-5.83,3128649,24354212650
000500,가온전선,28450,28450,0,0.0,10464,296107200
000860,강남제비스코,25200,25200,0,0.0,7391,186574650
035250,강원랜드,28450,27850,-600,-2.11,770279,21607527350
011420,갤럭시아에스엠,2460,2340,-120,-4.88,548719,1303959920
002100,경농,13500,13500,0,0.0,86264,1168431500
009450,경동나비엔,66300,66000,-300,-0.45,27585,1816782100
267290,경동도시가스,24300,24000,-300,-1.23,13925,334441800
012320,경동인베스트,37150,36800,-350,-0.94,2662,98316450
000050,경방,13300,13150,-150,-1.13,10129,134543250
214390,경보제약,10450,10200,-250,-2.39,39069,402406950
012610,경인양행,7230,7120,-110,-1.52,231669,1657689680
009140,경인전자,27600,28450,850,3.08,6119,174792700
013580,계룡건설,36250,35700,-550,-1.52,88945,3210937350
012200,계양전기,4640,4605,-35,-0.75,138392,644595035
012205,계양전기우,7190,7170,-20,-0.28,2694,19344590
