티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4330,4300,-30,-0.69,10581,45641625
068400,AJ렌터카,12100,12300,200,1.65,126536,1546786700
006840,AK홀딩스,31300,31200,-100,-0.32,27836,871204750
027410,BGF,6100,6000,-100,-1.64,147404,888841750
282330,BGF리테일,197000,192000,-5000,-2.54,16475,3178206000
138930,BNK금융지주,7210,7070,-140,-1.94,655667,4651380960
001460,BYC,246500,245000,-1500,-0.61,875,212789500
001465,BYC우,131000,132000,1000,0.76,268,35191500
001040,CJ,84000,82700,-1300,-1.55,39202,3264707300
079160,CJCGV,34250,33700,-550,-1.61,66486,2248311200
00104K,CJ4우전환,60800,60000,-800,-1.32,5727,344100600
000120,CJ대한통운,149000,146500,-2500,-1.68,39555,5822014000
011150,CJ씨푸드,3440,3305,-135,-3.92,5328767,18362446895
011155,CJ씨푸드1우,38100,37000,-1100,-2.89,38638,1453392650
001045,CJ우,43650,44200,550,1.26,1971,85041500
097950,CJ제일제당,236500,234000,-2500,-1.06,17984,4204837000
097955,CJ제일제당우,106500,106500,0,0.0,1144,120784500
037560,CJ헬로,6110,6140,30,0.49,301156,1828688970
000590,CS홀딩스,58300,58400,100,0.17,1149,67388700
012030,DB,769,770,1,0.13,188989,145290269
016610,DB금융투자,4560,4500,-60,-1.32,38515,173600865
005830,DB손해보험,51200,52200,1000,1.95,165713,8667134100
000990,DB하이텍,15900,16150,250,1.57,388291,6205588000
000995,DB하이텍1우,38750,39000,250,0.65,3542,135565350
139130,DGB금융지주,7580,7390,-190,-2.51,752821,5597660480
001530,DI동일,81200,81700,500,0.62,10392,835017800
004840,DRB동일,5680,5650,-30,-0.53,3019,16937290
155660,DSR,4305,4270,-35,-0.81,20296,87089020
069730,DSR제강,4650,4660,10,0.22,80569,379360020
017940,E1,49900,49500,-400,-0.8,4136,204970750
007700,FF,95400,95000,-400,-0.42,60139,5765801700
114090,GKL,20700,20600,-100,-0.48,64590,1325788450
078930,GS,50400,49750,-650,-1.29,61348,3064133100
006360,GS건설,32800,32200,-600,-1.83,298125,9589837950
001250,GS글로벌,2470,2435,-35,-1.42,43663,106618655
007070,GS리테일,41700,41100,-600,-1.44,78820,3252117350
078935,GS우,36800,36650,-150,-0.41,2411,88249400
012630,HDC,13000,12950,-50,-0.38,169845,2191455350
039570,HDC아이콘트롤스,9500,9570,70,0.74,23095,222194910
089470,HDC현대EP,4710,4645,-65,-1.38,34063,157927350
294870,HDC현대산업개발,33200,32600,-600,-1.81,136464,4458640050
082740,HSD엔진,3360,3385,25,0.74,33721,113342075
003560,IHQ,1895,1905,10,0.53,670984,1268137560
175330,JB금융지주,5710,5590,-120,-2.1,199256,1122484180
234080,JW생명과학,21600,21250,-350,-1.62,42260,898599050
001060,JW중외제약,28150,28400,250,0.89,194479,5580237450
001067,JW중외제약2우B,40250,40100,-150,-0.37,2129,86039100
001065,JW중외제약우,25900,25550,-350,-1.35,5118,135416650
096760,JW홀딩스,5890,5900,10,0.17,100824,595775350
105560,KB금융,43950,42400,-1550,-3.53,1120239,47689951050
002380,KCC,221500,219500,-2000,-0.9,13037,2870887000
009070,KCTC,3210,3185,-25,-0.78,37226,119817805
009440,KC그린홀딩스,4440,4470,30,0.68,32576,144549760
119650,KC코트렐,6630,6630,0,0.0,48512,320724700
092220,KEC,1110,1115,5,0.45,797660,885066195
001390,KG케미칼,11400,11600,200,1.75,27577,317551300
001940,KISCO홀딩스,12300,12200,-100,-0.81,19374,237183250
025000,KPX케미칼,53900,54000,100,0.19,1514,81949800
092230,KPX홀딩스,53900,54600,700,1.3,517,28264800
000040,KR모터스,500,500,0,0.0,78339,39388667
044450,KSS해운,7070,7030,-40,-0.57,5653,39806180
030200,KT,27500,27450,-50,-0.18,397500,10953970950
033780,KTG,105000,104500,-500,-0.48,173040,18092400000
030210,KTB투자증권,2545,2480,-65,-2.55,89641,223948790
058850,KTcs,2045,2035,-10,-0.49,67521,136781215
058860,KTis,2250,2260,10,0.44,45453,102359980
093050,LF,20350,20200,-150,-0.74,57231,1158282750
003550,LG,70000,68900,-1100,-1.57,212315,14661951200
034220,LG디스플레이,14000,13700,-300,-2.14,938123,12982743350
001120,LG상사,17400,17200,-200,-1.15,103148,1775278100
051900,LG생활건강,1279000,1306000,27000,2.11,23773,30979463000
051905,LG생활건강우,751000,755000,4000,0.53,1125,851154000
003555,LG우,46100,46200,100,0.22,18298,832464300
032640,LG유플러스,13750,13550,-200,-1.45,752875,10252008950
011070,LG이노텍,114000,114500,500,0.44,158698,18237470500
066570,LG전자,67100,66700,-400,-0.6,293599,19547201900
066575,LG전자우,27300,27300,0,0.0,10959,297938650
108670,LG하우시스,61000,60100,-900,-1.48,8668,523713300
108675,LG하우시스우,29300,29100,-200,-0.68,143,4174500
051910,LG화학,304500,301500,-3000,-0.99,273366,82576583668
051915,LG화학우,170000,168000,-2000,-1.18,14090,2368322000
079550,LIG넥스원,34950,34800,-150,-0.43,46220,1613326400
006260,LS,47700,47100,-600,-1.26,38134,1807437800
000680,LS네트웍스,2505,2480,-25,-1.0,16398,40610800
010120,LS산전,47350,47650,300,0.63,34388,1631088950
229640,LS전선아시아,7940,7870,-70,-0.88,59977,478773240
023150,MH에탄올,5970,5970,0,0.0,4485,26662270
035420,NAVER,158000,156000,-2000,-1.27,241249,37608422485
181710,NHN,63300,62700,-600,-0.95,32252,2029661000
005940,NH투자증권,12550,12500,-50,-0.4,482365,6055403100
005945,NH투자증권우,9090,9020,-70,-0.77,70432,634114170
034310,NICE,18900,19150,250,1.32,36756,702543600
008260,NI스틸,2355,2380,25,1.06,22032,51498070
004250,NPC,3960,4000,40,1.01,11698,46261485
004255,NPC우,2325,2310,-15,-0.65,3777,8726355
010060,OCI,67200,66700,-500,-0.74,98941,6645191000
005490,POSCO,230500,225000,-5500,-2.39,202714,45762412000
100840,STC,17350,17350,0,0.0,4332,75228050
064960,ST모티브,54700,52200,-2500,-4.57,66929,3521129000
003570,ST중공업,6150,6160,10,0.16,10899,66597260
036530,ST홀딩스,14900,14800,-100,-0.67,1544,22858150
010950,S-Oil,100500,100000,-500,-0.5,161542,16283017500
010955,S-Oil우,60300,59500,-800,-1.33,10868,645172700
034120,SBS,18200,17950,-250,-1.37,44726,804212600
101060,SBS미디어홀딩스,2145,2120,-25,-1.17,328972,730876715
004060,SG세계물산,1080,1085,5,0.46,730084,792117900
001380,SG충방,2025,2075,50,2.47,143597,294502120
002360,SH에너지화학,1080,1080,0,0.0,624670,676227920
009160,SIMPAC,3870,3755,-115,-2.97,508413,1937029760
123700,SJM,3110,3100,-10,-0.32,3104,9575270
025530,SJM홀딩스,3100,3095,-5,-0.16,228,703800
034730,SK,206500,202500,-4000,-1.94,98193,19927538500
011790,SKC,39500,39350,-150,-0.38,173491,6824255800
018670,SK가스,75000,74600,-400,-0.53,5859,438019900
001740,SK네트웍스,5620,5470,-150,-2.67,880913,4860492440
001745,SK네트웍스우,89000,90400,1400,1.57,7931,720585500
006120,SK디스커버리,22550,22200,-350,-1.55,23874,532715700
006125,SK디스커버리우,14800,14700,-100,-0.68,5084,74793150
210980,SK디앤디,27150,27050,-100,-0.37,4109,111698850
03473K,SK우,140500,139000,-1500,-1.07,276,38515500
096770,SK이노베이션,166500,164000,-2500,-1.5,144471,23856794500
096775,SK이노베이션우,117000,116500,-500,-0.43,1970,229708000
001510,SK증권,629,620,-9,-1.43,704916,438622077
001515,SK증권우,2855,2820,-35,-1.23,11711,32790600
285130,SK케미칼,46900,46150,-750,-1.6,15758,728852350
28513K,SK케미칼우,20850,20600,-250,-1.2,1865,38479350
017670,SK텔레콤,239500,239500,0,0.0,113525,27248365000
000660,SK하이닉스,83300,81400,-1900,-2.28,2625620,212449788024
005610,SPC삼립,99600,98200,-1400,-1.41,10448,1036215100
011810,STX,8270,8200,-70,-0.85,22016,180035460
077970,STX엔진,8100,8200,100,1.23,14795,120415510
071970,STX중공업,2520,2490,-30,-1.19,96827,242247555
084870,TBH글로벌,3015,3080,65,2.16,87665,267684135
002710,TCC스틸,2840,2840,0,0.0,18516,52509390
024070,WISCOM,2695,2690,-5,-0.19,5662,15140455
037270,YGPLUS,1145,1140,-5,-0.44,81332,93121965
000500,가온전선,16700,16800,100,0.6,4146,69366150
000860,강남제비스코,22750,22650,-100,-0.44,5112,114741500
035250,강원랜드,29700,29500,-200,-0.67,134566,3994764750
011420,갤럭시아에스엠,1985,2005,20,1.01,469371,977057985
002100,경농,15850,15750,-100,-0.63,110379,1745599300
009450,경동나비엔,39500,39650,150,0.38,41273,1630061650
267290,경동도시가스,27150,27100,-50,-0.18,1047,28322200
012320,경동인베스트,34500,34450,-50,-0.14,769,26341150
000050,경방,9940,9780,-160,-1.61,5960,58802040
214390,경보제약,8450,8280,-170,-2.01,17187,142704260
012610,경인양행,8300,8620,320,3.86,1196162,10198700240
009140,경인전자,21000,20550,-450,-2.14,2218,45747300
013580,계룡건설,22500,22500,0,0.0,1025,23124350
012200,계양전기,2925,2880,-45,-1.54,38908,112434425
012205,계양전기우,7830,7800,-30,-0.38,7086,55376670
004200,고려개발,9570,9690,120,1.25,2622,25340780
002140,고려산업,4555,4570,15,0.33,2448416,11393759595
010130,고려아연,445500,443000,-2500,-0.56,15464,6871575500
002240,고려제강,23800,23700,-100,-0.42,5598,132440350
009290,광동제약,6940,6870,-70,-1.01,136130,931916800
017040,광명전기,2450,2420,-30,-1.22,149681,362380850
017900,광전자,2215,2205,-10,-0.45,110366,242176615
037710,광주신세계,173000,171500,-1500,-0.87,237,40779000
030610,교보증권,9790,9760,-30,-0.31,21491,208116580
007690,국도화학,44800,44400,-400,-0.89,2277,101064050
005320,국동,1725,1655,-70,-4.06,1149589,1924613865
002720,국제약품,4325,4305,-20,-0.46,129943,556533830
083420,그린케미칼,3380,3445,65,1.92,26471,91752830
014530,극동유화,3440,3405,-35,-1.02,93148,318775535
014280,금강공업,4195,4110,-85,-2.03,84210,348341235
014285,금강공업우,9170,9240,70,0.76,1118,10253520
008870,금비,66100,65000,-1100,-1.66,131,8492300
001570,금양,2260,2190,-70,-3.1,25622,56445635
002990,금호산업,12450,12500,50,0.4,46215,571809800
002995,금호산업우,48200,48600,400,0.83,16046,799956450
011780,금호석유,71100,69600,-1500,-2.11,89105,6235121400
011785,금호석유우,29250,29250,0,0.0,6380,185274550
214330,금호에이치티,3995,3960,-35,-0.88,59647,234204640
001210,금호전기,2230,2190,-40,-1.79,18407,41064015
073240,금호타이어,4415,4370,-45,-1.02,243683,1061816850
092440,기신정기,3610,3590,-20,-0.55,13702,49072660
000270,기아차,44900,45350,450,1.0,729470,32993282161
024110,기업은행,13400,12850,-550,-4.1,1332146,17282560100
013700,까뮤이앤씨,1245,1260,15,1.2,67959,83916400
004540,깨끗한나라,2390,2360,-30,-1.26,140193,330066700
004545,깨끗한나라우,18650,18800,150,0.8,7424,138784600
074610,나노메딕스,6820,6850,30,0.44,821910,5590402840
001260,남광토건,13950,13800,-150,-1.08,43332,597382750
008350,남선알미늄,3355,3365,10,0.3,4766392,16151551595
008355,남선알미우,32750,32300,-450,-1.37,10634,347742300
004270,남성,3415,3415,0,0.0,1617640,5630662335
003920,남양유업,495500,492000,-3500,-0.71,338,166761500
003925,남양유업우,177500,177500,0,0.0,0,0
002070,남영비비안,18150,17900,-250,-1.38,141840,2542859450
025860,남해화학,9200,9160,-40,-0.43,39477,363098220
005720,넥센,5970,5850,-120,-2.01,42303,247353610
005725,넥센우,3650,3615,-35,-0.96,11314,41154625
002350,넥센타이어,9080,8960,-120,-1.32,59069,531777640
002355,넥센타이어1우B,3690,3620,-70,-1.9,14036,51154060
003580,넥스트사이언스,4190,4010,-180,-4.3,113817,461751885
251270,넷마블,95400,94100,-1300,-1.36,98908,9368469700
090350,노루페인트,7580,7570,-10,-0.13,14062,106210330
090355,노루페인트우,11500,11850,350,3.04,3671,42768050
000320,노루홀딩스,11600,11550,-50,-0.43,1734,19908550
000325,노루홀딩스우,17800,17750,-50,-0.28,186,3278150
006280,녹십자,116000,114000,-2000,-1.72,16660,1903896500
005250,녹십자홀딩스,20800,20400,-400,-1.92,70181,1428600400
005257,녹십자홀딩스2우,16200,16050,-150,-0.93,161,2573550
004370,농심,252000,250000,-2000,-0.79,6467,1630263500
072710,농심홀딩스,88200,88500,300,0.34,12601,1111373900
058730,다스코,6100,6020,-80,-1.31,15282,92498550
023590,다우기술,19950,19500,-450,-2.26,80785,1585772900
019680,대교,6040,6040,0,0.0,24555,148400180
019685,대교우B,4220,4215,-5,-0.12,2594,10949715
006370,대구백화점,5740,5850,110,1.92,22771,130983400
008060,대덕전자,10900,10900,0,0.0,1207842,13269230850
00806K,대덕전자1우,6390,6390,0,0.0,6645,42609340
000490,대동공업,7330,7110,-220,-3.0,261092,1871703840
008110,대동전자,3865,3840,-25,-0.65,10597,40530680
005750,대림BCo,4050,3990,-60,-1.48,15463,61651385
000210,대림산업,100500,102500,2000,1.99,319159,32794507000
000215,대림산업우,41600,43800,2200,5.29,49169,2127053400
004440,대림씨엔에스,7360,7400,40,0.54,2481,18289730
006570,대림통상,4185,4200,15,0.36,798,3336015
001680,대상,22450,22150,-300,-1.34,50911,1129211050
001685,대상우,13000,13100,100,0.77,21893,289229400
084690,대상홀딩스,6710,6800,90,1.34,35756,244711430
084695,대상홀딩스우,6440,6620,180,2.8,148345,1000885720
128820,대성산업,4065,4045,-20,-0.49,26331,106769775
117580,대성에너지,5410,5380,-30,-0.55,2882,15470610
016710,대성홀딩스,7710,7800,90,1.17,2664,20518240
003540,대신증권,13000,12950,-50,-0.38,108943,1418764950
