티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3260,3355,95,2.91,177476,588397480
006840,AK홀딩스,19050,18900,-150,-0.79,98311,1889831050
027410,BGF,4400,4400,0,0.0,67623,297450530
282330,BGF리테일,129000,128000,-1000,-0.78,27909,3589137000
138930,BNK금융지주,5160,5210,50,0.97,805748,4197423900
001460,BYC,207000,209000,2000,0.97,358,74676000
001465,BYC우,120500,117500,-3000,-2.49,367,43355500
001040,CJ,88900,88200,-700,-0.79,52096,4624215800
079160,CJCGV,19850,19550,-300,-1.51,234630,4615221450
00104K,CJ4우전환,60700,60900,200,0.33,7855,477255300
000120,CJ대한통운,161000,163000,2000,1.24,32680,5294940000
011150,CJ씨푸드,3695,3685,-10,-0.27,780159,2908558610
011155,CJ씨푸드1우,44800,43500,-1300,-2.9,8234,363438350
001045,CJ우,45300,44800,-500,-1.1,5878,265309100
097950,CJ제일제당,392500,384000,-8500,-2.17,85788,32976898000
097955,CJ제일제당우,153500,150000,-3500,-2.28,11920,1801982500
000590,CS홀딩스,61300,61000,-300,-0.49,3255,197920300
012030,DB,693,718,25,3.61,2894502,2111047487
016610,DB금융투자,3325,3455,130,3.91,500918,1742297760
005830,DB손해보험,47950,49150,1200,2.5,295716,14456615000
000990,DB하이텍,31850,30900,-950,-2.98,970085,30507784150
000995,DB하이텍1우,66200,66300,100,0.15,1703,114388400
139130,DGB금융지주,5180,5270,90,1.74,754123,3968127900
001530,DI동일,69600,69800,200,0.29,8052,561947700
004840,DRB동일,6990,7070,80,1.14,234883,1688719690
155660,DSR,4010,4040,30,0.75,44476,179419330
069730,DSR제강,4085,4175,90,2.2,63146,262499075
017940,E1,35100,35050,-50,-0.14,9125,319792250
007700,FF,85900,86800,900,1.05,76056,6640499200
114090,GKL,13050,13150,100,0.77,849256,11185514300
078930,GS,35750,35900,150,0.42,169712,6094644750
006360,GS건설,27150,27850,700,2.58,598387,16476946450
001250,GS글로벌,1690,1785,95,5.62,1054626,1858023905
007070,GS리테일,36800,36850,50,0.14,106273,3903943050
078935,GS우,29000,29050,50,0.17,4880,141489400
012630,HDC,8540,8750,210,2.46,196263,1699730500
039570,HDC아이콘트롤스,7990,8010,20,0.25,15667,124828430
089470,HDC현대EP,4090,4175,85,2.08,194850,811034180
294870,HDC현대산업개발,21050,21350,300,1.43,415899,8792321900
011200,HMM,4995,5000,5,0.1,1576233,7896838835
082740,HSD엔진,4890,4825,-65,-1.33,260071,1263945690
003560,IHQ,1595,1580,-15,-0.94,883231,1408071260
175330,JB금융지주,4880,4835,-45,-0.92,144089,700976780
234080,JW생명과학,18850,18350,-500,-2.65,178290,3303056700
001060,JW중외제약,33900,33750,-150,-0.44,130453,4434475600
001067,JW중외제약2우B,54000,53500,-500,-0.93,21519,1155034600
001065,JW중외제약우,49700,51000,1300,2.62,72660,3689036300
096760,JW홀딩스,5140,5090,-50,-0.97,123408,627162680
105560,KB금융,35650,35950,300,0.84,1721130,62022637250
002380,KCC,140000,144500,4500,3.21,61486,8754937500
009070,KCTC,2350,2345,-5,-0.21,156219,367956730
009440,KC그린홀딩스,4165,4180,15,0.36,41884,174535635
119650,KC코트렐,6050,6040,-10,-0.17,364402,2210509440
092220,KEC,850,854,4,0.47,626805,537211128
016380,KG동부제철,12200,12300,100,0.82,35405,432955450
016385,KG동부제철우,113000,109500,-3500,-3.1,1655,183550500
001390,KG케미칼,13600,14000,400,2.94,404962,5702828450
001940,KISCO홀딩스,11450,11300,-150,-1.31,3780,42876500
025000,KPX케미칼,45650,45750,100,0.22,3145,143618300
092230,KPX홀딩스,42200,42200,0,0.0,2215,93243950
000040,KR모터스,795,798,3,0.38,1592461,1276032498
044450,KSS해운,8560,8550,-10,-0.12,20010,171449300
030200,KT,24700,24450,-250,-1.01,908630,22288440550
033780,KTG,80700,83700,3000,3.72,671017,55404288500
030210,KTB투자증권,2420,2500,80,3.31,620216,1554566555
058850,KTcs,1790,1810,20,1.12,154946,279338980
058860,KTis,2055,2055,0,0.0,49306,102022050
093050,LF,12200,12150,-50,-0.41,80966,986959300
003550,LG,73600,73400,-200,-0.27,237423,17303055700
034220,LG디스플레이,12700,12750,50,0.39,1438333,18261031400
001120,LG상사,15000,15000,0,0.0,153391,2306979400
051900,LG생활건강,1350000,1339000,-11000,-0.81,25129,33613969000
051905,LG생활건강우,710000,710000,0,0.0,1734,1221911000
003555,LG우,47400,47450,50,0.11,4151,196995000
032640,LG유플러스,12300,12250,-50,-0.41,1288427,15803966900
011070,LG이노텍,169000,163500,-5500,-3.25,246792,40531083500
066570,LG전자,74900,74500,-400,-0.53,1184023,88219289700
066575,LG전자우,27900,27800,-100,-0.36,93048,2577225200
108670,LG하우시스,67300,65200,-2100,-3.12,79320,5214007200
108675,LG하우시스우,30900,29750,-1150,-3.72,12459,372943950
037560,LG헬로비전,3990,4000,10,0.25,83075,331644425
051910,LG화학,544000,523000,-21000,-3.86,504937,267316522000
051915,LG화학우,269500,258500,-11000,-4.08,68313,17911639000
079550,LIG넥스원,31250,31100,-150,-0.48,59298,1833704100
006260,LS,38100,37050,-1050,-2.76,115527,4322379150
010120,LSELECTRIC,54300,53100,-1200,-2.21,78755,4227537700
000680,LS네트웍스,2085,2015,-70,-3.36,89779,183840670
229640,LS전선아시아,6710,6680,-30,-0.45,50062,335175960
