티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3015,3030,15,0.5,61016,184341955
006840,AK홀딩스,16950,16950,0,0.0,28226,473289900
027410,BGF,4175,4145,-30,-0.72,199224,824056630
282330,BGF리테일,122500,126000,3500,2.86,45135,5550465780
138930,BNK금융지주,5130,5120,-10,-0.19,871730,4446986300
001460,BYC,227500,235000,7500,3.3,1560,361930000
001465,BYC우,130000,130000,0,0.0,1242,159441500
001040,CJ,82200,81200,-1000,-1.22,74105,6034675200
079160,CJCGV,20300,20600,300,1.48,734751,15006042350
00104K,CJ4우전환,57500,57400,-100,-0.17,12312,703817800
000120,CJ대한통운,147500,146000,-1500,-1.02,59749,8760809000
011150,CJ씨푸드,4045,4045,0,0.0,4553739,18843110865
011155,CJ씨푸드1우,49450,47350,-2100,-4.25,25575,1222561400
001045,CJ우,45800,46050,250,0.55,5532,252687200
097950,CJ제일제당,397000,406000,9000,2.27,67976,27516624000
097955,CJ제일제당우,164000,168500,4500,2.74,15632,2618801000
000590,CS홀딩스,52400,51000,-1400,-2.67,14708,751515400
012030,DB,684,690,6,0.88,290783,199193112
016610,DB금융투자,3615,3600,-15,-0.41,156497,567220235
005830,DB손해보험,45200,44850,-350,-0.77,138049,6173895650
000990,DB하이텍,35750,36250,500,1.4,1522673,55394808350
000995,DB하이텍1우,66500,66800,300,0.45,2051,137781800
139130,DGB금융지주,5250,5230,-20,-0.38,619360,3229586310
001530,DI동일,89100,91500,2400,2.69,29801,2729027300
004840,DRB동일,7590,7610,20,0.26,156360,1195331610
155660,DSR,3760,3810,50,1.33,59669,223770875
069730,DSR제강,4010,4050,40,1.0,63244,253479745
017940,E1,40200,40400,200,0.5,12091,481827950
007700,FF,96700,98600,1900,1.96,34688,3384623600
114090,GKL,12300,12100,-200,-1.63,347213,4159252500
078930,GS,32900,32500,-400,-1.22,333247,10807187300
006360,GS건설,24850,24800,-50,-0.2,356338,8811911200
001250,GS글로벌,1630,1630,0,0.0,328089,528879150
007070,GS리테일,31600,32300,700,2.22,309962,10019043150
078935,GS우,28850,28800,-50,-0.17,6001,171244950
012630,HDC,9890,9720,-170,-1.72,369206,3611470140
039570,HDC아이콘트롤스,8190,8210,20,0.24,30434,247441990
089470,HDC현대EP,4590,4630,40,0.87,161563,742563595
294870,HDC현대산업개발,20250,20150,-100,-0.49,301970,6087456650
011200,HMM,5600,5550,-50,-0.89,2784515,15399013020
082740,HSD엔진,4460,4595,135,3.03,453112,2063685900
003560,IHQ,1415,1410,-5,-0.35,376473,525021145
175330,JB금융지주,4360,4310,-50,-1.15,291386,1256464905
234080,JW생명과학,18650,19100,450,2.41,99609,1882163200
001060,JW중외제약,37700,38400,700,1.86,429661,16473703300
001067,JW중외제약2우B,118500,111000,-7500,-6.33,15720,1716665500
001065,JW중외제약우,86800,85000,-1800,-2.07,35080,2943450300
096760,JW홀딩스,5100,5140,40,0.78,81470,413054110
105560,KB금융,36750,36950,200,0.54,1254718,46176708100
002380,KCC,139000,140000,1000,0.72,42009,5846432500
009070,KCTC,2135,2130,-5,-0.23,91936,194632480
009440,KC그린홀딩스,3470,3515,45,1.3,128849,454058925
119650,KC코트렐,5070,5120,50,0.99,169603,866106905
092220,KEC,752,750,-2,-0.27,366584,272579832
016380,KG동부제철,12200,12450,250,2.05,60127,729981050
016385,KG동부제철우,113500,112000,-1500,-1.32,2534,280425000
001390,KG케미칼,22150,22400,250,1.13,360431,7962642700
001940,KISCO홀딩스,11150,11250,100,0.9,3953,43783000
025000,KPX케미칼,45200,45400,200,0.44,3278,147640650
092230,KPX홀딩스,41700,41300,-400,-0.96,6225,256285550
000040,KR모터스,671,679,8,1.19,428678,287746608
044450,KSS해운,8280,8350,70,0.85,22540,186505290
030200,KT,23900,23900,0,0.0,934061,22278878450
033780,KTG,84200,85100,900,1.07,340614,28777690600
030210,KTB투자증권,2575,2575,0,0.0,286842,735840735
058850,KTcs,1900,2060,160,8.42,13591285,28631623310
058860,KTis,2145,2640,495,23.08,14003402,35072002650
093050,LF,12900,12750,-150,-1.16,98924,1268074400
003550,LG,85800,85400,-400,-0.47,302517,25735924100
034220,LG디스플레이,13350,15100,1750,13.11,16215702,236541892800
001120,LG상사,14450,14750,300,2.08,159585,2337744850
051900,LG생활건강,1563000,1543000,-20000,-1.28,25732,40041380000
051905,LG생활건강우,741000,735000,-6000,-0.81,2633,1944135500
003555,LG우,54300,54400,100,0.18,15162,823167500
032640,LG유플러스,11850,12000,150,1.27,1841775,22008373400
011070,LG이노텍,146500,155000,8500,5.8,228720,35034323000
066570,LG전자,90300,90600,300,0.33,1265081,114317456000
066575,LG전자우,35000,35000,0,0.0,189588,6639329050
108670,LG하우시스,56100,56500,400,0.71,32660,1829657800
108675,LG하우시스우,26300,26100,-200,-0.76,2791,72804050
037560,LG헬로비전,3890,3895,5,0.13,162467,635083260
051910,LG화학,699000,702000,3000,0.43,574924,402637412000
051915,LG화학우,367000,371500,4500,1.23,94155,34753428000
079550,LIG넥스원,34000,33650,-350,-1.03,73705,2504065650
006260,LS,39100,39550,450,1.15,141034,5538858000
010120,LSELECTRIC,50400,51300,900,1.79,53830,2739852050
000680,LS네트웍스,2025,2035,10,0.49,41109,83500315
229640,LS전선아시아,6640,6680,40,0.6,84991,562945420
023150,MH에탄올,9810,10000,190,1.94,1859429,18702598810
035420,NAVER,312500,320000,7500,2.4,783392,248511604000
181710,NHN,73100,73400,300,0.41,104366,7642809100
005940,NH투자증권,9040,8980,-60,-0.66,1101628,9889296320
005945,NH투자증권우,7530,7560,30,0.4,92301,697134590
338100,NH프라임리츠,4350,4350,0,0.0,19136,83571055
034310,NICE,19450,19400,-50,-0.26,53140,1028592350
008260,NI스틸,2100,2100,0,0.0,59311,123321520
004250,NPC,3040,3040,0,0.0,14935,45486270
004255,NPC우,2275,2240,-35,-1.54,16481,36307445
010060,OCI,61200,68300,7100,11.6,1882621,124273340200
005490,POSCO,199000,199000,0,0.0,205330,40461018500
