티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,6060,6090,30,0.5,16345,98333190
068400,AJ렌터카,11100,11150,50,0.45,107865,1195638400
006840,AK홀딩스,52000,51700,-300,-0.58,14975,783985500
027410,BGF,8400,8310,-90,-1.07,99237,827223500
282330,BGF리테일,222000,215000,-7000,-3.15,22834,4930207000
138930,BNK금융지주,6990,6980,-10,-0.14,644610,4510133550
001460,BYC,262500,260000,-2500,-0.95,297,77604000
001465,BYC우,137500,135000,-2500,-1.82,404,54362000
001040,CJ,119000,119000,0,0.0,43749,5172613000
079160,CJCGV,43000,42350,-650,-1.51,130468,5521076950
000120,CJ대한통운,155000,158000,3000,1.94,62654,9876259000
011150,CJ씨푸드,3080,2980,-100,-3.25,1722004,5169837140
011155,CJ씨푸드1우,42700,39150,-3550,-8.31,69210,2751034550
001045,CJ우,60400,59300,-1100,-1.82,15918,951200600
097950,CJ제일제당,314000,315500,1500,0.48,26967,8476938000
097955,CJ제일제당우,138000,137500,-500,-0.36,1580,216308500
037560,CJ헬로,8970,8830,-140,-1.56,153289,1352362080
000590,CS홀딩스,63500,63200,-300,-0.47,368,23173700
012030,DB,888,871,-17,-1.91,311044,271879215
016610,DB금융투자,5040,5050,10,0.2,53591,268749090
005830,DB손해보험,69400,68800,-600,-0.86,92235,6333126700
000990,DB하이텍,15250,14750,-500,-3.28,954979,14025624550
000995,DB하이텍1우,77700,71000,-6700,-8.62,34515,2617416900
139130,DGB금융지주,8400,8340,-60,-0.71,583690,4853598066
001530,DI동일,98000,99900,1900,1.94,11706,1172081800
004840,DRB동일,6510,6440,-70,-1.08,17002,109511370
155660,DSR,4650,4635,-15,-0.32,28937,134373495
069730,DSR제강,5090,5110,20,0.39,83269,428518070
017940,E1,64100,63600,-500,-0.78,5585,355303200
007700,FF,83100,80600,-2500,-3.01,116669,9411040000
114090,GKL,23050,23050,0,0.0,86260,1989188000
078930,GS,52500,52000,-500,-0.95,100329,5230953285
006360,GS건설,38450,39550,1100,2.86,716398,27942673475
001250,GS글로벌,2655,2665,10,0.38,199066,529225785
007070,GS리테일,39400,38600,-800,-2.03,144654,5604896000
078935,GS우,38650,38300,-350,-0.91,2757,105412550
012630,HDC,17250,17350,100,0.58,242945,4195559000
039570,HDC아이콘트롤스,10950,10900,-50,-0.46,27684,299361550
089470,HDC현대EP,5580,5580,0,0.0,194213,1083288790
