티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4175,4210,35,0.84,216835,910274405
006840,AK홀딩스,25850,29100,3250,12.57,727088,20462325950
027410,BGF,5010,5220,210,4.19,1547629,7990770515
282330,BGF리테일,156000,152000,-4000,-2.56,62510,9555364000
138930,BNK금융지주,5730,5610,-120,-2.09,2094260,11808815750
001460,BYC,318500,316500,-2000,-0.63,488,154674000
001465,BYC우,151000,150000,-1000,-0.66,330,49335000
001040,CJ,109000,106000,-3000,-2.75,225588,24554560500
079160,CJCGV,28100,28700,600,2.14,793566,22822014800
00104K,CJ4우전환,82000,81500,-500,-0.61,14823,1218016100
000120,CJ대한통운,169000,171000,2000,1.18,109649,18660551500
011150,CJ씨푸드,4785,4935,150,3.13,1849214,9098077670
011155,CJ씨푸드1우,38950,39350,400,1.03,1740,67914050
001045,CJ우,64100,64800,700,1.09,13328,872093300
097950,CJ제일제당,441000,443500,2500,0.57,90512,40527397000
097955,CJ제일제당우,205000,211000,6000,2.93,37786,7980357000
000590,CS홀딩스,59800,59700,-100,-0.17,3500,209225500
012030,DB,842,871,29,3.44,3067115,2671258143
016610,DB금융투자,5310,5210,-100,-1.88,130034,687228480
005830,DB손해보험,41300,40000,-1300,-3.15,523099,21112585350
000990,DB하이텍,71300,69200,-2100,-2.95,2544317,181414098400
000995,DB하이텍1우,119500,124000,4500,3.77,11492,1492228000
139130,DGB금융지주,7120,6950,-170,-2.39,875132,6101884600
001530,DI동일,196000,195500,-500,-0.26,18838,3672063000
004840,DRB동일,7450,7640,190,2.55,162130,1224499320
155660,DSR,5900,5900,0,0.0,64167,379525430
069730,DSR제강,5200,5180,-20,-0.38,154973,800894580
017940,E1,41450,41300,-150,-0.36,14231,587839250
365550,ESR켄달스퀘어리츠,5280,5290,10,0.19,210888,1113548670
007700,FF,96100,106000,9900,10.3,568354,60551291100
114090,GKL,16000,16550,550,3.44,833713,13621883850
078930,GS,39750,39050,-700,-1.76,359488,14168737000
006360,GS건설,43500,42550,-950,-2.18,975631,42244676250
001250,GS글로벌,2335,2300,-35,-1.5,1400577,3228478590
007070,GS리테일,35150,35800,650,1.85,490053,17542244650
078935,GS우,30700,30600,-100,-0.33,4923,150730550
012630,HDC,11800,11750,-50,-0.42,527240,6213509150
039570,HDC아이콘트롤스,11100,10900,-200,-1.8,65109,716271900
