티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3330,3265,-65,-1.95,173927,580228770
006840,AK홀딩스,18850,18900,50,0.27,35559,669284400
027410,BGF,4420,4295,-125,-2.83,89185,386762995
282330,BGF리테일,135500,129500,-6000,-4.43,54173,7093872000
138930,BNK금융지주,5160,5030,-130,-2.52,971176,4914881620
001460,BYC,211000,207000,-4000,-1.9,479,99650000
001465,BYC우,124000,120500,-3500,-2.82,475,56368000
001040,CJ,88400,87100,-1300,-1.47,68243,5954484000
079160,CJCGV,19750,19250,-500,-2.53,226318,4339471300
00104K,CJ4우전환,60000,59100,-900,-1.5,15109,890800500
000120,CJ대한통운,166000,166000,0,0.0,39101,6429499000
011150,CJ씨푸드,3720,3625,-95,-2.55,829234,3031514575
011155,CJ씨푸드1우,50600,47100,-3500,-6.92,21577,1037422600
001045,CJ우,45700,44750,-950,-2.08,8249,370513400
097950,CJ제일제당,382000,390000,8000,2.09,121447,47367810000
097955,CJ제일제당우,153000,154000,1000,0.65,16500,2540674000
000590,CS홀딩스,60600,62900,2300,3.8,14379,869105100
012030,DB,697,687,-10,-1.43,576237,394432004
016610,DB금융투자,3225,3165,-60,-1.86,99145,314825755
005830,DB손해보험,46900,45500,-1400,-2.99,157252,7218897300
000990,DB하이텍,29100,30450,1350,4.64,2477812,74982886300
000995,DB하이텍1우,73800,68500,-5300,-7.18,11847,809429500
139130,DGB금융지주,5110,5010,-100,-1.96,884087,4442547230
001530,DI동일,69600,70200,600,0.86,10708,750302200
004840,DRB동일,6260,6750,490,7.83,540525,3580136200
155660,DSR,3965,3980,15,0.38,50184,199036165
069730,DSR제강,4075,4130,55,1.35,200653,823514070
017940,E1,35850,34450,-1400,-3.91,19490,677292500
007700,FF,91500,88500,-3000,-3.28,58478,5208046000
114090,GKL,12600,12350,-250,-1.98,350881,4328209050
078930,GS,36150,35000,-1150,-3.18,299791,10573486950
006360,GS건설,26500,25650,-850,-3.21,369539,9615797050
001250,GS글로벌,1670,1640,-30,-1.8,164353,271285280
007070,GS리테일,36850,36600,-250,-0.68,163637,5966917300
078935,GS우,29400,28700,-700,-2.38,17228,497557850
