티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4000,4070,70,1.75,161088,653839110
006840,AK홀딩스,28700,29650,950,3.31,103074,3052200350
027410,BGF,6530,6540,10,0.15,1202452,7899654860
282330,BGF리테일,172500,174500,2000,1.16,43402,7618968000
138930,BNK금융지주,6420,6630,210,3.27,2047437,13529317530
001460,BYC,360000,359000,-1000,-0.28,190,68148000
001465,BYC우,159500,159000,-500,-0.31,419,65635000
001040,CJ,96300,94700,-1600,-1.66,87364,8327184300
079160,CJCGV,28600,29100,500,1.75,609843,17722018800
00104K,CJ4우전환,73300,72800,-500,-0.68,3256,237072800
000120,CJ대한통운,170500,172000,1500,0.88,42498,7231045000
011150,CJ씨푸드,4470,4600,130,2.91,1345329,6190952515
011155,CJ씨푸드1우,34750,36850,2100,6.04,1058,37991150
001045,CJ우,55000,55500,500,0.91,2266,125632500
097950,CJ제일제당,407500,421000,13500,3.31,69523,28778173000
097955,CJ제일제당우,184000,189500,5500,2.99,7089,1319978500
000590,CS홀딩스,59100,59600,500,0.85,4332,257165500
012030,DB,866,868,2,0.23,685814,591140538
016610,DB금융투자,5740,5770,30,0.52,97884,562468700
005830,DB손해보험,43050,44550,1500,3.48,305079,13461900050
000990,DB하이텍,52400,52400,0,0.0,605398,31720794500
000995,DB하이텍1우,104000,104000,0,0.0,5409,595605000
139130,DGB금융지주,7870,8310,440,5.59,2077296,17060474950
001530,DI동일,161000,160500,-500,-0.31,16505,2683899500
000210,DL,77800,78300,500,0.64,165211,12965313300
000215,DL우,39750,40300,550,1.38,3332,134460250
375500,DL이앤씨,118500,121000,2500,2.11,576382,70294941500
37550K,DL이앤씨우,70800,73800,3000,4.24,36028,2641140000
004840,DRB동일,6670,6700,30,0.45,9434,63315860
155660,DSR,5330,5320,-10,-0.19,33975,180780220
069730,DSR제강,5260,5200,-60,-1.14,116224,602787880
017940,E1,40400,40450,50,0.12,10632,426884000
365550,ESR켄달스퀘어리츠,5840,5820,-20,-0.34,338205,1972708950
007700,FF,143000,147500,4500,3.15,73134,10583851000
114090,GKL,16700,16750,50,0.3,264262,4433192650
078930,GS,40000,40300,300,0.75,315527,12668448650
006360,GS건설,39050,40350,1300,3.33,1999652,81051307150
001250,GS글로벌,2295,2375,80,3.49,834388,1965764435
007070,GS리테일,36750,36950,200,0.54,191766,7085763100
078935,GS우,31700,31900,200,0.63,9817,312689250
012630,HDC,10900,11050,150,1.38,250163,2755946350
039570,HDC아이콘트롤스,9710,9990,280,2.88,60144,599674260
089470,HDC현대EP,6180,6190,10,0.16,60982,376944660
294870,HDC현대산업개발,27400,28500,1100,4.01,924491,26341170250
011200,HMM,21600,21450,-150,-0.69,5058110,108857133400
082740,HSD엔진,7320,7700,380,5.19,2460053,18491887840
003560,IHQ,1915,2035,120,6.27,3993899,7930519530
175330,JB금융지주,6240,6400,160,2.56,712397,4527709110
234080,JW생명과학,20250,20400,150,0.74,73244,1489378950
001060,JW중외제약,29700,29500,-200,-0.67,27502,810677900
001067,JW중외제약2우B,60800,62700,1900,3.13,2945,184653900
001065,JW중외제약우,30300,34100,3800,12.54,7179,245116500
096760,JW홀딩스,5010,4965,-45,-0.9,93821,466441235
105560,KB금융,50400,51200,800,1.59,2062574,105237260300
002380,KCC,204000,207000,3000,1.47,30142,6251078000
009070,KCTC,8240,7440,-800,-9.71,3971669,30694259850
009440,KC그린홀딩스,4320,4360,40,0.93,46157,201592185
119650,KC코트렐,8180,8300,120,1.47,242623,2023806490
092220,KEC,2375,2330,-45,-1.89,1709222,3994297020
016380,KG동부제철,12850,13000,150,1.17,247010,3176908800
016385,KG동부제철우,112000,117000,5000,4.46,1204,137874000
001390,KG케미칼,25400,25150,-250,-0.98,87151,2204402050
001940,KISCO홀딩스,15250,15350,100,0.66,16736,255212450
025000,KPX케미칼,61500,62100,600,0.98,5017,311832000
092230,KPX홀딩스,56100,57300,1200,2.14,6533,371550800
000040,KR모터스,1340,1320,-20,-1.49,1790399,2368454445
044450,KSS해운,10650,10700,50,0.47,115680,1234981750
030200,KT,27000,27050,50,0.19,1232936,33381085300
033780,KTG,80400,80200,-200,-0.25,482523,38767999500
030210,KTB투자증권,4245,4385,140,3.3,519307,2269840290
058850,KTcs,2890,2830,-60,-2.08,1182659,3365789245
058860,KTis,2850,2850,0,0.0,175273,497261165
093050,LF,16000,15950,-50,-0.31,46688,744026100
003550,LG,91900,91600,-300,-0.33,301761,27733358100
034220,LG디스플레이,22700,22200,-500,-2.2,1331372,29802992350
001120,LG상사,29550,30000,450,1.52,698317,20885045450
051900,LG생활건강,1571000,1580000,9000,0.57,24591,38606485000
051905,LG생활건강우,699000,695000,-4000,-0.57,3697,2573303000
003555,LG우,66700,67500,800,1.2,8336,560955000
032640,LG유플러스,12100,12100,0,0.0,1361033,16475851850
011070,LG이노텍,218000,217000,-1000,-0.46,192660,42006231000
066570,LG전자,152500,151500,-1000,-0.66,819248,124627434500
066575,LG전자우,70200,70500,300,0.43,83959,5930737700
108670,LG하우시스,73200,75600,2400,3.28,111461,8416273100
108675,LG하우시스우,34300,35400,1100,3.21,12550,440055450
037560,LG헬로비전,4520,4535,15,0.33,227740,1032767560
051910,LG화학,944000,966000,22000,2.33,336241,324571794000
051915,LG화학우,415000,417500,2500,0.6,25174,10567018500
079550,LIG넥스원,38150,37900,-250,-0.66,92918,3529341000
006260,LS,66000,65300,-700,-1.06,103147,6719086900
010120,LSELECTRIC,59700,61400,1700,2.85,192241,11809729300
000680,LS네트웍스,2690,2700,10,0.37,47856,129564910
229640,LS전선아시아,7540,7640,100,1.33,288880,2217217350
023150,MH에탄올,8130,8220,90,1.11,44292,364005710
035420,NAVER,380500,383000,2500,0.66,609496,232530367000
181710,NHN,69500,70500,1000,1.44,82847,5840336800
005940,NH투자증권,11350,11400,50,0.44,696861,7898378300
005945,NH투자증권우,8890,8950,60,0.67,120940,1080316130
338100,NH프라임리츠,4220,4225,5,0.12,33030,139483510
034310,NICE,17350,17300,-50,-0.29,42787,738914200
008260,NI스틸,3565,3495,-70,-1.96,478146,1691257465
004250,NPC,4165,4140,-25,-0.6,281152,1164023285
004255,NPC우,2395,2370,-25,-1.04,17615,41723900
010060,OCI,124500,123500,-1000,-0.8,225507,27941646000
005490,POSCO,301000,308000,7000,2.33,402453,122725193500
010950,S-Oil,85500,84400,-1100,-1.29,370213,31209829400
010955,S-Oil우,48500,48200,-300,-0.62,8636,415474350
034120,SBS,22200,22250,50,0.23,104422,2312323400
101060,SBS미디어홀딩스,1940,1945,5,0.26,61905,120138305
005090,SGC에너지,38350,39550,1200,3.13,91206,3552297550
004060,SG세계물산,704,720,16,2.27,2987171,2142091169
001380,SG충방,2700,2690,-10,-0.37,746879,1987536590
002360,SH에너지화학,927,926,-1,-0.11,970806,895503975
009160,SIMPAC,3320,3310,-10,-0.3,85014,282101875
123700,SJM,4070,4120,50,1.23,12984,53230670
025530,SJM홀딩스,3500,3540,40,1.14,2997,10536070
034730,SK,257500,251000,-6500,-2.52,225390,56999032000
011790,SKC,114000,114000,0,0.0,0,0
018670,SK가스,91600,94800,3200,3.49,26271,2462415000
001740,SK네트웍스,5590,5610,20,0.36,4713454,26898859420
001745,SK네트웍스우,118000,113000,-5000,-4.24,2133,246827000
006120,SK디스커버리,63000,62700,-300,-0.48,87960,5445261000
006125,SK디스커버리우,53700,52400,-1300,-2.42,37847,1984481500
210980,SK디앤디,35450,36350,900,2.54,64336,2338287550
068400,SK렌터카,11200,11150,-50,-0.45,55919,618462400
326030,SK바이오팜,108500,109000,500,0.46,407201,44743735000
03473K,SK우,247000,243000,-4000,-1.62,2843,692399500
096770,SK이노베이션,242500,228500,-14000,-5.77,1316842,304035079500
096775,SK이노베이션우,172000,165500,-6500,-3.78,20435,3398471500
001510,SK증권,882,899,17,1.93,16227401,14533306812
001515,SK증권우,4985,4920,-65,-1.3,37590,184853975
285130,SK케미칼,303500,299500,-4000,-1.32,238602,71074304500
28513K,SK케미칼우,163000,158500,-4500,-2.76,60184,9545284500
017670,SK텔레콤,255000,257000,2000,0.78,178239,45569640000
000660,SK하이닉스,140000,136500,-3500,-2.5,4289990,594535565128
064960,SNT모티브,64800,65400,600,0.93,57655,3747447800
100840,SNT에너지,16300,16300,0,0.0,16136,262991950
003570,SNT중공업,7460,7510,50,0.67,39130,292939990
036530,SNT홀딩스,18400,18400,0,0.0,35476,652413250
005610,SPC삼립,73200,73400,200,0.27,15034,1097623800
011810,STX,5660,5610,-50,-0.88,15729,88788190
077970,STX엔진,6850,7060,210,3.07,19308,134121970
071970,STX중공업,3480,3620,140,4.02,174650,621812005
084870,TBH글로벌,1715,1735,20,1.17,38544,66054580
002710,TCC스틸,4645,4765,120,2.58,614986,2883709490
024070,WISCOM,3545,3555,10,0.28,59663,211786405
037270,YGPLUS,6110,6100,-10,-0.16,827640,5031671500
000500,가온전선,20900,21000,100,0.48,6098,127551550
000860,강남제비스코,24750,24650,-100,-0.4,21511,526253300
035250,강원랜드,25500,25900,400,1.57,610289,15761240250
011420,갤럭시아에스엠,1565,1595,30,1.92,495422,800199120
002100,경농,13450,13650,200,1.49,160842,2202138100
009450,경동나비엔,50600,50300,-300,-0.59,33308,1668027050
267290,경동도시가스,18900,19000,100,0.53,11444,216164200
012320,경동인베스트,33850,34300,450,1.33,3867,131788950
000050,경방,13150,13000,-150,-1.14,17014,221426450
214390,경보제약,12000,11950,-50,-0.42,62609,745493350
012610,경인양행,6610,6710,100,1.51,163226,1089492620
