티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4745,4900,155,3.27,45308,218545230
006840,AK홀딩스,30700,31100,400,1.3,16554,513108300
027410,BGF,5280,5270,-10,-0.19,146761,773571000
282330,BGF리테일,172000,168000,-4000,-2.33,37616,6352202500
138930,BNK금융지주,6910,6920,10,0.14,665065,4573918200
001460,BYC,224000,225000,1000,0.45,572,128116000
001465,BYC우,121000,120500,-500,-0.41,63,7510500
001040,CJ,86200,84700,-1500,-1.74,77808,6616379500
079160,CJCGV,28250,28200,-50,-0.18,181025,5140420250
00104K,CJ4우전환,64100,63200,-900,-1.4,10533,667423000
000120,CJ대한통운,136000,139000,3000,2.21,45905,6314602500
011150,CJ씨푸드,2760,2735,-25,-0.91,343226,938344970
011155,CJ씨푸드1우,29700,30000,300,1.01,1532,45862300
001045,CJ우,41900,41800,-100,-0.24,3629,151867600
097950,CJ제일제당,242500,237500,-5000,-2.06,37747,9009784000
097955,CJ제일제당우,104000,103000,-1000,-0.96,3486,361914000
000590,CS홀딩스,56800,56800,0,0.0,287,16265100
012030,DB,799,807,8,1.0,159964,128498899
016610,DB금융투자,3950,3970,20,0.51,13728,54330460
005830,DB손해보험,42900,43200,300,0.7,156538,6734193850
000990,DB하이텍,29800,29350,-450,-1.51,584311,17299219350
000995,DB하이텍1우,51100,50600,-500,-0.98,1781,90366600
139130,DGB금융지주,6640,6690,50,0.75,407735,2718489980
001530,DI동일,74300,74400,100,0.13,3019,224321000
004840,DRB동일,5270,5340,70,1.33,5211,27677540
155660,DSR,4450,4535,85,1.91,41262,185545880
069730,DSR제강,4450,4550,100,2.25,47701,213906475
017940,E1,44800,45450,650,1.45,5390,241686150
007700,FF,102500,104000,1500,1.46,159575,16761695500
114090,GKL,18850,19150,300,1.59,315790,5980670400
078930,GS,46550,46550,0,0.0,125544,5829979250
006360,GS건설,29050,29250,200,0.69,306349,8959453050
001250,GS글로벌,2065,2075,10,0.48,192181,397349525
007070,GS리테일,40650,40500,-150,-0.37,123016,4982994150
078935,GS우,35550,35700,150,0.42,3112,110670900
012630,HDC,10400,10500,100,0.96,196588,2052969900
039570,HDC아이콘트롤스,10100,10100,0,0.0,49929,505477350
089470,HDC현대EP,4480,4485,5,0.11,44084,197271500
294870,HDC현대산업개발,22650,22900,250,1.1,246613,5610963800
082740,HSD엔진,4355,4320,-35,-0.8,111198,481313415
003560,IHQ,1715,1740,25,1.46,635719,1100081035
175330,JB금융지주,5150,5180,30,0.58,136466,706484410
234080,JW생명과학,20300,19650,-650,-3.2,78521,1550895300
001060,JW중외제약,32150,29700,-2450,-7.62,349307,10529568700
001067,JW중외제약2우B,48900,43500,-5400,-11.04,8762,387982150
001065,JW중외제약우,28400,27150,-1250,-4.4,10079,275692900
096760,JW홀딩스,5990,5800,-190,-3.17,112563,656548390
105560,KB금융,44500,44250,-250,-0.56,1357149,60040713600
002380,KCC,206000,210000,4000,1.94,44353,9316022500
009070,KCTC,2645,2645,0,0.0,27861,73285335
009440,KC그린홀딩스,4975,5060,85,1.71,36068,180620945
119650,KC코트렐,7000,7050,50,0.71,159099,1122236780
092220,KEC,1030,1035,5,0.49,310665,322355215
001390,KG케미칼,12300,12350,50,0.41,95496,1176081200
001940,KISCO홀딩스,11950,11850,-100,-0.84,2270,27032100
025000,KPX케미칼,54400,54400,0,0.0,867,47050500
092230,KPX홀딩스,52700,52200,-500,-0.95,3114,162672900
000040,KR모터스,266,264,-2,-0.75,1192277,313136607
044450,KSS해운,7220,7250,30,0.42,25449,183889850
030200,KT,25450,25600,150,0.59,627148,15997927650
033780,KTG,93200,95100,1900,2.04,1675200,161741247880
030210,KTB투자증권,2255,2255,0,0.0,201048,452722565
058850,KTcs,2075,2125,50,2.41,74931,158029190
058860,KTis,2175,2180,5,0.23,62243,135059560
093050,LF,15800,15750,-50,-0.32,219245,3436517950
003550,LG,71900,71900,0,0.0,239752,17185187200
034220,LG디스플레이,14600,14800,200,1.37,1472424,21904850050
001120,LG상사,13200,13000,-200,-1.52,173076,2258327850
