티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3390,3100,-290,-8.55,136513,440992375
006840,AK홀딩스,19500,17400,-2100,-10.77,122239,2248555600
027410,BGF,4200,3985,-215,-5.12,244925,998898855
282330,BGF리테일,143500,136500,-7000,-4.88,48751,6874095500
138930,BNK금융지주,5160,5100,-60,-1.16,1841461,9388500915
001460,BYC,205000,203500,-1500,-0.73,1346,271561500
001465,BYC우,119000,118500,-500,-0.42,893,106290000
001040,CJ,87900,84700,-3200,-3.64,111841,9774729800
079160,CJCGV,24400,22600,-1800,-7.38,311237,7296204450
00104K,CJ4우전환,61100,58900,-2200,-3.6,27613,1651023500
000120,CJ대한통운,161000,155500,-5500,-3.42,61292,9889446500
011150,CJ씨푸드,3655,3410,-245,-6.7,882462,3154306460
011155,CJ씨푸드1우,39500,36800,-2700,-6.84,33239,1293407150
001045,CJ우,47000,45500,-1500,-3.19,66489,3168859950
097950,CJ제일제당,328500,316500,-12000,-3.65,194015,64362231500
097955,CJ제일제당우,139500,135500,-4000,-2.87,56018,7973818000
000590,CS홀딩스,58200,56800,-1400,-2.41,6293,361271300
012030,DB,703,673,-30,-4.27,815453,567231490
016610,DB금융투자,3720,3455,-265,-7.12,207593,745540285
005830,DB손해보험,45900,45550,-350,-0.76,236074,10769854350
000990,DB하이텍,28850,27000,-1850,-6.41,1371735,38261919300
000995,DB하이텍1우,59100,58000,-1100,-1.86,5993,366411900
139130,DGB금융지주,5300,5130,-170,-3.21,1070516,5586952830
001530,DI동일,64900,63500,-1400,-2.16,23002,1486732100
004840,DRB동일,6300,5770,-530,-8.41,305997,1856322680
155660,DSR,4010,3775,-235,-5.86,83107,326853230
069730,DSR제강,3885,3640,-245,-6.31,137583,520952640
017940,E1,36600,34200,-2400,-6.56,22668,799894350
007700,FF,103000,97000,-6000,-5.83,95624,9516506500
114090,GKL,14300,13500,-800,-5.59,682545,9436356300
078930,GS,37700,36200,-1500,-3.98,357897,13262861200
006360,GS건설,26800,25350,-1450,-5.41,522259,13609582900
001250,GS글로벌,1790,1650,-140,-7.82,657245,1131325670
007070,GS리테일,38950,37450,-1500,-3.85,421677,16097334200
078935,GS우,30300,29450,-850,-2.81,15339,459805500
012630,HDC,9450,8820,-630,-6.67,472899,4309804340
039570,HDC아이콘트롤스,8760,8290,-470,-5.37,41966,356347260
089470,HDC현대EP,4195,3790,-405,-9.65,146384,579344225
294870,HDC현대산업개발,20500,19450,-1050,-5.12,1164699,23503299000
011200,HMM,5160,4750,-410,-7.95,6954895,34573123615
082740,HSD엔진,4895,4420,-475,-9.7,897957,4177455280
003560,IHQ,1565,1390,-175,-11.18,1570722,2310088505
