티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4800,4870,70,1.46,30852,149268365
068400,AJ렌터카,11450,11650,200,1.75,116850,1358233850
006840,AK홀딩스,53400,53900,500,0.94,20071,1082693300
027410,BGF,7950,7930,-20,-0.25,188350,1480272770
282330,BGF리테일,185500,195500,10000,5.39,67670,13278546500
138930,BNK금융지주,7250,7320,70,0.97,1054907,7710616960
001460,BYC,241000,241000,0,0.0,399,96145500
001465,BYC우,112000,111000,-1000,-0.89,146,16210500
001040,CJ,125000,123000,-2000,-1.6,70354,8685321500
079160,CJCGV,39400,40800,1400,3.55,401433,16111202300
000120,CJ대한통운,173000,175500,2500,1.45,56672,9907634500
011150,CJ씨푸드,2460,2480,20,0.81,123395,305390410
011155,CJ씨푸드1우,28300,28350,50,0.18,449,12719100
001045,CJ우,54600,54300,-300,-0.55,5145,280525500
097950,CJ제일제당,332000,333500,1500,0.45,30438,10142305500
097955,CJ제일제당우,126500,127000,500,0.4,4449,560534000
037560,CJ헬로,10900,10500,-400,-3.67,2049977,21591877350
000590,CS홀딩스,67700,65900,-1800,-2.66,663,43825000
012030,DB,921,909,-12,-1.3,893968,817560656
016610,DB금융투자,4960,4940,-20,-0.4,58760,290089030
005830,DB손해보험,70700,71700,1000,1.41,117975,8434448300
000990,DB하이텍,12600,12650,50,0.4,305075,3856644150
000995,DB하이텍1우,35350,35350,0,0.0,382,13463450
139130,DGB금융지주,8820,8860,40,0.45,495451,4382541080
004840,DRB동일,6830,6870,40,0.59,10277,70296740
155660,DSR,5510,5360,-150,-2.72,3760885,21853562000
069730,DSR제강,6170,6530,360,5.83,10066877,68960841960
017940,E1,60200,59600,-600,-1.0,5628,335236600
007700,FF,50700,54800,4100,8.09,493380,27129457000
114090,GKL,23000,23000,0,0.0,416000,9506587250
078930,GS,53400,52800,-600,-1.12,144883,7684201000
006360,GS건설,46100,46500,400,0.87,542069,25575878850
001250,GS글로벌,2815,2825,10,0.36,290547,821783825
007070,GS리테일,34950,35600,650,1.86,223357,7901621850
078935,GS우,36550,36550,0,0.0,904,33049750
012630,HDC,18600,18950,350,1.88,495702,9415269050
