티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,5140,5050,-90,-1.75,128834,647691145
006840,AK홀딩스,17600,16550,-1050,-5.97,54978,927823700
027410,BGF,4850,4700,-150,-3.09,267155,1260465525
282330,BGF리테일,153000,157000,4000,2.61,46130,7167923000
138930,BNK금융지주,8300,7970,-330,-3.98,2107834,16828003960
001460,BYC,488500,467000,-21500,-4.4,624,296748500
001465,BYC우,184000,180000,-4000,-2.17,75,13374000
001040,CJ,78000,76700,-1300,-1.67,119508,9089905400
079160,CJCGV,22950,21500,-1450,-6.32,304275,6678790500
00104K,CJ4우전환,68300,67800,-500,-0.73,9888,658848700
000120,CJ대한통운,121000,117500,-3500,-2.89,44706,5289721000
011150,CJ씨푸드,3700,3640,-60,-1.62,181946,658457080
011155,CJ씨푸드1우,37000,36150,-850,-2.3,583,21084850
001045,CJ우,47750,46300,-1450,-3.04,6755,315299750
097950,CJ제일제당,367000,351500,-15500,-4.22,50608,18050743500
097955,CJ제일제당우,159500,154000,-5500,-3.45,5329,830886000
000590,CS홀딩스,62200,62300,100,0.16,910,56126200
012030,DB,901,867,-34,-3.77,1031303,906276152
016610,DB금융투자,6320,6210,-110,-1.74,209693,1302765690
005830,DB손해보험,63400,61600,-1800,-2.84,163677,10056664100
000990,DB하이텍,79000,76500,-2500,-3.16,1297084,99701158200
000995,DB하이텍1우,101000,97400,-3600,-3.56,708,69769400
139130,DGB금융지주,9450,9100,-350,-3.7,572538,5218331640
001530,DI동일,241500,233500,-8000,-3.31,13645,3186294000
000210,DL,58700,57100,-1600,-2.73,106342,6093986200
001880,DL건설,27400,26600,-800,-2.92,35305,944420350
000215,DL우,35600,34700,-900,-2.53,2905,100919100
375500,DL이앤씨,115000,113500,-1500,-1.3,227794,26056233000
37550K,DL이앤씨우,63500,62800,-700,-1.1,10654,665761100
004840,DRB동일,4990,4885,-105,-2.1,15549,76443880
155660,DSR,5450,5150,-300,-5.5,168723,873100985
069730,DSR제강,4535,4260,-275,-6.06,164374,724502480
017940,E1,45600,44550,-1050,-2.3,13691,612762100
365550,ESR켄달스퀘어리츠,6050,6000,-50,-0.83,252578,1524923640
383220,FF,839000,824000,-15000,-1.79,37869,31409102000
007700,FF홀딩스,27650,26550,-1100,-3.98,90859,2444095300
