티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,3790,3815,25,0.66,92383,352145810
006840,AK홀딩스,24550,24200,-350,-1.43,39610,962363350
027410,BGF,4700,4760,60,1.28,138823,657303585
282330,BGF리테일,153500,159500,6000,3.91,71067,11315796500
138930,BNK금융지주,4845,4845,0,0.0,1559566,7609640120
001460,BYC,193500,197500,4000,2.07,1725,341963500
001465,BYC우,106000,107500,1500,1.42,153,16360500
001040,CJ,78600,83300,4700,5.98,147753,12075354300
079160,CJCGV,26200,25950,-250,-0.95,249614,6475650550
00104K,CJ4우전환,55300,58000,2700,4.88,20451,1164914000
000120,CJ대한통운,141500,146000,4500,3.18,101053,14679939000
011150,CJ씨푸드,4100,4280,180,4.39,20478093,88408390880
011155,CJ씨푸드1우,34300,34150,-150,-0.44,37390,1301061850
001045,CJ우,38700,40250,1550,4.01,8617,343971800
097950,CJ제일제당,271000,286500,15500,5.72,106384,30217702000
097955,CJ제일제당우,112500,117000,4500,4.0,10825,1253025000
000590,CS홀딩스,48600,48650,50,0.1,489,23617100
012030,DB,770,801,31,4.03,1747558,1387698645
016610,DB금융투자,3515,3585,70,1.99,485614,1749396145
005830,DB손해보험,43400,44550,1150,2.65,251375,11147484100
000990,DB하이텍,25450,26600,1150,4.52,741881,19288191350
000995,DB하이텍1우,42600,42550,-50,-0.12,252,10708000
139130,DGB금융지주,5170,5070,-100,-1.93,983546,5022968790
001530,DI동일,61500,61400,-100,-0.16,5962,367050500
004840,DRB동일,7000,7020,20,0.29,1642229,11630615200
155660,DSR,3840,3835,-5,-0.13,31666,121443060
069730,DSR제강,3680,3715,35,0.95,44124,163240790
017940,E1,34700,35700,1000,2.88,16291,578227950
007700,FF,108000,107500,-500,-0.46,54776,5939762000
114090,GKL,15100,15250,150,0.99,249073,3778725950
078930,GS,37250,38800,1550,4.16,382368,14812907450
006360,GS건설,24350,24800,450,1.85,404917,9955193900
001250,GS글로벌,1735,1740,5,0.29,409827,717659620
007070,GS리테일,37500,37400,-100,-0.27,521902,19530906000
078935,GS우,29500,30200,700,2.37,4510,135949700
012630,HDC,9600,9430,-170,-1.77,629543,6002081150
039570,HDC아이콘트롤스,8580,8760,180,2.1,48535,421057290
089470,HDC현대EP,4005,4025,20,0.5,181472,725731070
294870,HDC현대산업개발,19200,19250,50,0.26,678053,13171136450
011200,HMM,3505,3495,-10,-0.29,1222688,4286068500
082740,HSD엔진,3280,3320,40,1.22,288039,945019915
003560,IHQ,1580,1595,15,0.95,1054673,1679962200
175330,JB금융지주,4660,4635,-25,-0.54,499765,2329353225
234080,JW생명과학,15250,15550,300,1.97,53574,831470550
001060,JW중외제약,28900,29250,350,1.21,97535,2838405900
001067,JW중외제약2우B,41650,41850,200,0.48,89,3693550
001065,JW중외제약우,25550,25800,250,0.98,2239,57428600
096760,JW홀딩스,4870,4970,100,2.05,105993,521718980
105560,KB금융,33000,32700,-300,-0.91,3285676,107678178050
002380,KCC,159500,157500,-2000,-1.25,54290,8557265000
009070,KCTC,2315,2350,35,1.51,589100,1382390390
009440,KC그린홀딩스,3815,3885,70,1.83,143098,553507235
119650,KC코트렐,4980,5030,50,1.0,527482,2616520090
092220,KEC,764,774,10,1.31,743567,573693103
016380,KG동부제철,12050,13250,1200,9.96,496879,6598319050
016385,KG동부제철우,65600,67000,1400,2.13,374,24933800
001390,KG케미칼,14200,14650,450,3.17,275686,4004503850
001940,KISCO홀딩스,10450,10500,50,0.48,7110,74821150
025000,KPX케미칼,48650,48950,300,0.62,4997,241140250
092230,KPX홀딩스,44050,44700,650,1.48,843,37447900
000040,KR모터스,821,829,8,0.97,330953,272884169
044450,KSS해운,7160,7300,140,1.96,46656,338026870
030200,KT,23650,23500,-150,-0.63,878191,20561071900
033780,KTG,78500,79000,500,0.64,415323,32895596800
030210,KTB투자증권,2565,2705,140,5.46,1067105,2888050460
058850,KTcs,1755,1790,35,1.99,459301,815811015
058860,KTis,1950,2030,80,4.1,209312,416422430
093050,LF,12500,12600,100,0.8,133032,1671388200
003550,LG,59600,61400,1800,3.02,276946,16876846200
034220,LG디스플레이,10700,10950,250,2.34,1486919,16182732000
001120,LG상사,12950,13350,400,3.09,226370,3007052650
051900,LG생활건강,1362000,1381000,19000,1.4,38996,53387725000
051905,LG생활건강우,690000,689000,-1000,-0.14,9207,6399363000
003555,LG우,43000,43350,350,0.81,4867,210904100
032640,LG유플러스,12750,12700,-50,-0.39,1989007,25165116350
011070,LG이노텍,131500,131500,0,0.0,226286,29683468500
066570,LG전자,55200,55500,300,0.54,805783,44790457600
066575,LG전자우,21450,21600,150,0.7,67353,1455938450
108670,LG하우시스,50400,52500,2100,4.17,106827,5590057200
108675,LG하우시스우,21750,22550,800,3.68,3392,75549200
037560,LG헬로비전,4535,4635,100,2.21,255934,1189694045
051910,LG화학,360000,361000,1000,0.28,344167,124262386500
051915,LG화학우,167000,165000,-2000,-1.2,26471,4403067000
079550,LIG넥스원,24000,23950,-50,-0.21,161815,3882788750
006260,LS,35400,35750,350,0.99,154507,5487469750
010120,LSELECTRIC,37700,38000,300,0.8,66466,2523852600
000680,LS네트웍스,1995,2015,20,1.0,27916,55933980
229640,LS전선아시아,6910,6970,60,0.87,74775,519936490
023150,MH에탄올,9370,9030,-340,-3.63,512534,4676377230
035420,NAVER,199000,212000,13000,6.53,992225,205787370500
181710,NHN,76900,79500,2600,3.38,153532,12224913600
005940,NH투자증권,9380,9610,230,2.45,1613782,15499440350
005945,NH투자증권우,7260,7330,70,0.96,56299,413243840
338100,NH프라임리츠,4890,4885,-5,-0.1,45540,223149975
034310,NICE,19500,21050,1550,7.95,50775,1039946200
008260,NI스틸,1780,1820,40,2.25,42852,76604010
004250,NPC,3625,3575,-50,-1.38,38139,136908565
004255,NPC우,2260,2280,20,0.88,2640,5962940
010060,OCI,38450,38650,200,0.52,105367,4087858750
005490,POSCO,178500,180000,1500,0.84,369838,66435644500
100840,STC,15800,16250,450,2.85,16736,271469700
064960,ST모티브,34100,34550,450,1.32,44827,1543796100
003570,ST중공업,5390,5450,60,1.11,41698,226259460
036530,ST홀딩스,15200,15200,0,0.0,6704,101998750
010950,S-Oil,68200,69800,1600,2.35,898242,63297687200
010955,S-Oil우,38150,39000,850,2.23,12538,490733550
034120,SBS,17400,17600,200,1.15,80535,1423250100
101060,SBS미디어홀딩스,1880,1880,0,0.0,28126,52774055
004060,SG세계물산,699,738,39,5.58,3018445,2181499295
001380,SG충방,1255,1270,15,1.2,135076,171245270
002360,SH에너지화학,894,909,15,1.68,6112647,5606414839
009160,SIMPAC,2335,2500,165,7.07,253213,620932315
123700,SJM,2640,2675,35,1.33,12783,34008050
025530,SJM홀딩스,2595,2645,50,1.93,8683,22828970
034730,SK,176000,180000,4000,2.27,177000,31791348000
011790,SKC,48550,48750,200,0.41,262215,12777932750
018670,SK가스,77300,77300,0,0.0,11600,896452700
001740,SK네트웍스,5260,5320,60,1.14,1266123,6764154730
001745,SK네트웍스우,77400,76800,-600,-0.78,726,56098500
006120,SK디스커버리,24450,25700,1250,5.11,358821,9215333500
006125,SK디스커버리우,15850,16250,400,2.52,69260,1136580200
210980,SK디앤디,24350,25000,650,2.67,64563,1603633150
068400,SK렌터카,9300,9340,40,0.43,79690,739781190
03473K,SK우,162000,170500,8500,5.25,84704,14634766500
096770,SK이노베이션,96700,100000,3300,3.41,1419621,143086873400
096775,SK이노베이션우,71400,72700,1300,1.82,17641,1283360700
001510,SK증권,652,689,37,5.67,16058095,11052540417
001515,SK증권우,2495,2585,90,3.61,117029,305569370
285130,SK케미칼,75500,77700,2200,2.91,687188,54161302500
28513K,SK케미칼우,28950,30900,1950,6.74,576446,18036284650
017670,SK텔레콤,208500,206500,-2000,-0.96,301863,62354335000
000660,SK하이닉스,81000,82400,1400,1.73,3351424,274199173244
005610,SPC삼립,70800,73700,2900,4.1,24775,1805357500
011810,STX,6350,6380,30,0.47,25931,164917580
077970,STX엔진,6510,6480,-30,-0.46,71957,465651820
071970,STX중공업,2235,2250,15,0.67,78686,176320465
084870,TBH글로벌,1445,1510,65,4.5,48345,71760025
002710,TCC스틸,1760,1810,50,2.84,34297,61901455
024070,WISCOM,2125,2230,105,4.94,16445,35666410
037270,YGPLUS,1780,1800,20,1.12,807711,1461325985
000500,가온전선,15700,15650,-50,-0.32,3004,47079750
000860,강남제비스코,17350,17400,50,0.29,13775,237399100
035250,강원랜드,24400,24400,0,0.0,878012,21523519300
011420,갤럭시아에스엠,1270,1310,40,3.15,182544,238767065
002100,경농,12650,13050,400,3.16,597139,7740823200
