티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
095570,AJ네트웍스,4175,4200,25,0.6,56549,235616625
068400,AJ렌터카,11050,11050,0,0.0,63879,704784650
006840,AK홀딩스,32700,33550,850,2.6,38097,1268482150
027410,BGF,5760,5960,200,3.47,227070,1356083940
282330,BGF리테일,188500,186000,-2500,-1.33,15119,2824935500
138930,BNK금융지주,7070,7090,20,0.28,585914,4159327430
001460,BYC,237000,239500,2500,1.05,469,111611500
001465,BYC우,126500,126500,0,0.0,134,16753500
001040,CJ,92100,91500,-600,-0.65,81198,7441487600
079160,CJCGV,35550,36050,500,1.41,98606,3560688150
00104K,CJ4우전환,66800,66500,-300,-0.45,11742,773962100
000120,CJ대한통운,162500,165000,2500,1.54,70477,11549737500
011150,CJ씨푸드,2985,2995,10,0.34,254693,761983890
011155,CJ씨푸드1우,31900,32150,250,0.78,3222,102877550
001045,CJ우,42850,42800,-50,-0.12,4640,198365350
097950,CJ제일제당,245500,243500,-2000,-0.81,51049,12445646640
097955,CJ제일제당우,100000,99800,-200,-0.2,3946,394290700
037560,CJ헬로,6490,6440,-50,-0.77,570140,3678908760
000590,CS홀딩스,57600,57800,200,0.35,184,10597000
012030,DB,775,770,-5,-0.65,379567,292793664
016610,DB금융투자,4320,4360,40,0.93,25522,110745255
005830,DB손해보험,52300,51500,-800,-1.53,106923,5532094100
000990,DB하이텍,17400,17350,-50,-0.29,359349,6320171200
000995,DB하이텍1우,37450,37800,350,0.93,431,16374550
139130,DGB금융지주,7030,7110,80,1.14,599351,4254290670
001530,DI동일,73900,75400,1500,2.03,2999,224342200
004840,DRB동일,5450,5450,0,0.0,6783,37069080
155660,DSR,4120,4135,15,0.36,18435,76263645
069730,DSR제강,4210,4255,45,1.07,28090,118992690
017940,E1,49700,49500,-200,-0.4,5235,258925150
007700,FF,102500,110500,8000,7.8,258962,28181739500
114090,GKL,21750,21600,-150,-0.69,84912,1844953050
078930,GS,50500,50000,-500,-0.99,81169,4065538000
006360,GS건설,32750,32200,-550,-1.68,322269,10392375000
001250,GS글로벌,2400,2430,30,1.25,225326,544015555
007070,GS리테일,38950,38550,-400,-1.03,104920,4048854900
078935,GS우,37100,37050,-50,-0.13,1080,40076600
012630,HDC,12400,12450,50,0.4,245458,3057543350
039570,HDC아이콘트롤스,9740,9800,60,0.62,16054,157179450
089470,HDC현대EP,4530,4530,0,0.0,16799,76107435
294870,HDC현대산업개발,32550,32600,50,0.15,142553,4651739850
082740,HSD엔진,3895,3785,-110,-2.82,261680,1000741600
003560,IHQ,1785,1760,-25,-1.4,541168,956224030
175330,JB금융지주,5440,5480,40,0.74,363294,1986697550
234080,JW생명과학,20650,20800,150,0.73,59761,1239247600
001060,JW중외제약,30200,30200,0,0.0,83351,2541975100
001067,JW중외제약2우B,39250,39400,150,0.38,578,22777350
001065,JW중외제약우,26900,26900,0,0.0,399,10711500
096760,JW홀딩스,6540,6550,10,0.15,165847,1097289360
105560,KB금융,43950,43250,-700,-1.59,1289885,56253193925
002380,KCC,239500,243000,3500,1.46,33063,7966698500
009070,KCTC,2890,2935,45,1.56,47072,138148150
009440,KC그린홀딩스,4495,4495,0,0.0,55039,245999435
119650,KC코트렐,7120,7150,30,0.42,173740,1249082720
092220,KEC,1005,1010,5,0.5,627941,634100555
001390,KG케미칼,11200,11450,250,2.23,61313,703020050
001940,KISCO홀딩스,12850,13000,150,1.17,34668,441498150
025000,KPX케미칼,54500,54200,-300,-0.55,787,42561200
092230,KPX홀딩스,54000,54100,100,0.19,1361,73083800
000040,KR모터스,494,493,-1,-0.2,81075,39847406
044450,KSS해운,7350,7420,70,0.95,19586,144299820
030200,KT,26550,26750,200,0.75,666561,17840890500
033780,KTG,100500,99700,-800,-0.8,390038,38980797400
030210,KTB투자증권,2400,2420,20,0.83,134222,325589295
058850,KTcs,2080,2115,35,1.68,318700,671607725
058860,KTis,2220,2245,25,1.13,28689,64000760
093050,LF,19650,20100,450,2.29,133538,2673668450
003550,LG,72200,72100,-100,-0.14,211722,15271601300
034220,LG디스플레이,14550,14650,100,0.69,1889288,27571848450
001120,LG상사,15600,15550,-50,-0.32,173250,2693471900
051900,LG생활건강,1258000,1250000,-8000,-0.64,33100,41544427000
051905,LG생활건강우,765000,753000,-12000,-1.57,997,753317000
003555,LG우,45900,46000,100,0.22,7009,320618450
032640,LG유플러스,13550,13450,-100,-0.74,1145331,15513103300
011070,LG이노텍,123000,121000,-2000,-1.63,96572,11736837500
066570,LG전자,68300,68700,400,0.59,417686,28654537300
066575,LG전자우,28600,28450,-150,-0.52,16311,464316550
108670,LG하우시스,59700,59600,-100,-0.17,14281,854404400
108675,LG하우시스우,28450,28500,50,0.18,354,10026600
051910,LG화학,321500,317500,-4000,-1.24,201082,64384680500
051915,LG화학우,178000,177500,-500,-0.28,22848,4087737250
079550,LIG넥스원,33300,33850,550,1.65,63819,2149570500
006260,LS,49200,49350,150,0.3,181681,9126885150
000680,LS네트웍스,2550,2580,30,1.18,28597,73675340
010120,LS산전,50600,50300,-300,-0.59,109139,5550214200
229640,LS전선아시아,7500,7830,330,4.4,5166109,44730978640
023150,MH에탄올,6320,6320,0,0.0,12171,77132100
035420,NAVER,161500,161500,0,0.0,332755,53895253500
181710,NHN,60700,62500,1800,2.97,123446,7564814700
005940,NH투자증권,12900,12550,-350,-2.71,776438,9830383150
005945,NH투자증권우,9180,9170,-10,-0.11,43350,397074790
034310,NICE,19500,19350,-150,-0.77,38538,745303200
008260,NI스틸,2280,2280,0,0.0,23899,54329290
004250,NPC,4025,4070,45,1.12,15091,60819705
004255,NPC우,2310,2315,5,0.22,7007,16199570
010060,OCI,64700,64700,0,0.0,100499,6486510000
005490,POSCO,219000,217000,-2000,-0.91,210177,45730755500
100840,STC,17650,17700,50,0.28,10799,190307800
064960,ST모티브,45000,45650,650,1.44,93509,4287581500
003570,ST중공업,6000,6010,10,0.17,5632,33783950
036530,ST홀딩스,15400,15250,-150,-0.97,6183,94155100
010950,S-Oil,101500,99600,-1900,-1.87,226288,22630222500
010955,S-Oil우,59700,59600,-100,-0.17,5516,329006900
034120,SBS,16400,16100,-300,-1.83,123306,1993523700
101060,SBS미디어홀딩스,1960,1985,25,1.28,130016,257935185
004060,SG세계물산,996,995,-1,-0.1,340088,337190492
001380,SG충방,1900,1900,0,0.0,155103,293691110
002360,SH에너지화학,1070,1075,5,0.47,607556,652745355
009160,SIMPAC,3230,3225,-5,-0.15,55350,177849060
123700,SJM,3105,3120,15,0.48,16846,52489890
025530,SJM홀딩스,3100,3115,15,0.48,426,1327305
034730,SK,267500,268000,500,0.19,184380,49389966500
011790,SKC,46000,44700,-1300,-2.83,200934,9091600450
018670,SK가스,85200,85200,0,0.0,8815,751696100
001740,SK네트웍스,6020,5930,-90,-1.5,901036,5374746030
001745,SK네트웍스우,92300,88800,-3500,-3.79,5446,488332600
006120,SK디스커버리,23250,23250,0,0.0,38563,894578700
006125,SK디스커버리우,14900,15050,150,1.01,8819,131661100
210980,SK디앤디,29150,29400,250,0.86,8166,239966150
03473K,SK우,158000,158000,0,0.0,1679,263869500
096770,SK이노베이션,161000,159500,-1500,-0.93,188805,30274159000
096775,SK이노베이션우,121000,121000,0,0.0,4069,491936500
001510,SK증권,625,624,-1,-0.16,817277,507964383
001515,SK증권우,2755,2750,-5,-0.18,5718,15789915
285130,SK케미칼,51000,50400,-600,-1.18,91999,4616361500
28513K,SK케미칼우,21700,21600,-100,-0.46,1590,34029800
017670,SK텔레콤,238000,237500,-500,-0.21,199061,47359283500
000660,SK하이닉스,85100,83500,-1600,-1.88,2127745,179156269777
005610,SPC삼립,93900,97300,3400,3.62,12931,1242347600
011810,STX,7680,7600,-80,-1.04,18877,143851110
077970,STX엔진,7530,7370,-160,-2.12,22707,168786820
071970,STX중공업,2565,2570,5,0.19,98395,250584095
084870,TBH글로벌,2685,2705,20,0.74,85909,230752645
002710,TCC스틸,2875,2875,0,0.0,15756,45175415
024070,WISCOM,2645,2615,-30,-1.13,23797,62353755
037270,YGPLUS,1290,1300,10,0.78,43092,55834280
000500,가온전선,18150,19300,1150,6.34,20263,385856400
000860,강남제비스코,22150,22300,150,0.68,4521,100264250
035250,강원랜드,30350,30200,-150,-0.49,370376,11248393800
011420,갤럭시아에스엠,1910,1870,-40,-2.09,154164,289846470
